#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    1.47341143E-09  4.30147445E-10  1.29260853E-09  2.00669003E-09
      2 -0.400000 -0.450000 -0.450000        1    9.63792933E-10  5.11737218E-10  4.84329472E-09  4.96470296E-09
      3 -0.350000 -0.450000 -0.450000        1    7.18217459E-10  8.07441455E-10  1.19079524E-10  1.08718810E-09
      4 -0.300000 -0.450000 -0.450000        1    4.33897066E-09  7.39301221E-09  1.11578397E-10  8.57296598E-09
      5 -0.250000 -0.450000 -0.450000        1    1.35155561E-09  1.42042360E-10  7.67182739E-11  1.36116285E-09
      6 -0.200000 -0.450000 -0.450000        1    2.49842547E-09  3.96952468E-09  4.98048005E-09  6.84137688E-09
      7 -0.150000 -0.450000 -0.450000        1    2.04033321E-09  1.27994739E-09  6.27412436E-09  6.72055514E-09
      8 -0.100000 -0.450000 -0.450000        1    1.22971392E-09  1.75011890E-10  2.73694533E-09  3.00561063E-09
      9 -0.050000 -0.450000 -0.450000        1    1.97430703E-09  4.56571382E-10  1.40683981E-09  2.46688953E-09
     10  0.000000 -0.450000 -0.450000        1    4.60431029E-09  1.11487592E-08  6.38751754E-09  1.36489884E-08
     11  0.050000 -0.450000 -0.450000        1    2.04942016E-09  6.97995372E-09  4.20092279E-09  8.40045411E-09
     12  0.100000 -0.450000 -0.450000        1    5.63282308E-09  4.83638842E-10  3.55125884E-09  6.67637939E-09
     13  0.150000 -0.450000 -0.450000        1    7.97770227E-09  8.63568557E-10  8.77682833E-09  1.18921066E-08
     14  0.200000 -0.450000 -0.450000        1    2.49734831E-09  1.86995076E-09  4.87457205E-09  5.78747934E-09
     15  0.250000 -0.450000 -0.450000        1    5.31758376E-10  1.05438003E-09  6.16615192E-09  6.27820943E-09
     16  0.300000 -0.450000 -0.450000        1    8.85703404E-11  3.06645937E-09  4.09710911E-10  3.09497671E-09
     17  0.350000 -0.450000 -0.450000        1    2.59217226E-10  3.45346045E-10  5.57404739E-10  7.05093968E-10
     18  0.400000 -0.450000 -0.450000        1    5.53987058E-09  8.41482210E-10  4.57053480E-09  7.23104741E-09
     19  0.450000 -0.450000 -0.450000        1    1.12385036E-09  1.32165529E-09  7.05322317E-09  7.26345437E-09
     20  0.500000 -0.450000 -0.450000        1    2.22956465E-09  3.23119093E-09  6.51441030E-09  7.60585925E-09
     21 -0.450000 -0.400000 -0.450000        1    2.67771569E-10  2.33117019E-09  1.22471835E-09  2.64688328E-09
     22 -0.400000 -0.400000 -0.450000        1    3.45004984E-09  1.49502460E-10  2.97627465E-09  4.55888206E-09
     23 -0.350000 -0.400000 -0.450000        1    2.98630792E-10  4.99118102E-09  4.97210234E-10  5.02476729E-09
     24 -0.300000 -0.400000 -0.450000        1    2.32812797E-10  1.54349010E-10  1.01510544E-09  1.05283639E-09
     25 -0.250000 -0.400000 -0.450000        1    4.43655995E-09  5.41716271E-09  3.64518969E-09  7.89405624E-09
     26 -0.200000 -0.400000 -0.450000        1    2.91566468E-09  5.30724970E-09  2.51326022E-09  6.55625479E-09
     27 -0.150000 -0.400000 -0.450000        1    1.27336078E-09  7.14369333E-09  1.00966707E-08  1.24336866E-08
     28 -0.100000 -0.400000 -0.450000        1    2.56843985E-11  7.47809124E-09  2.35798893E-09  7.84108539E-09
     29 -0.050000 -0.400000 -0.450000        1    5.93090384E-11  4.39254200E-10  4.71449928E-09  4.73528935E-09
     30  0.000000 -0.400000 -0.450000        1    1.17197680E-10  9.10738382E-09  1.07776972E-09  9.17168266E-09
     31  0.050000 -0.400000 -0.450000        1    2.89882580E-09  4.97664324E-09  4.08369283E-09  7.06022068E-09
     32  0.100000 -0.400000 -0.450000        1    8.89830524E-09  3.44793735E-09  1.42658952E-09  9.64900336E-09
     33  0.150000 -0.400000 -0.450000        1    3.57345375E-09  1.68940117E-10  3.47042205E-09  4.98416911E-09
     34  0.200000 -0.400000 -0.450000        1    4.90152370E-10  1.52915299E-09  3.01831312E-09  3.41888466E-09
     35  0.250000 -0.400000 -0.450000        1    3.89509669E-09  3.34041694E-11  1.38706489E-10  3.89770876E-09
