#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    2.08176539E-10  1.36796187E-09  7.42104432E-11  1.38569994E-09
      2 -0.400000 -0.450000 -0.450000        1    1.96751278E-10  4.15345108E-10  5.69884346E-11  4.63109388E-10
      3 -0.350000 -0.450000 -0.450000        1    2.11289880E-10  2.47999052E-09  1.54656759E-11  2.48902301E-09
      4 -0.300000 -0.450000 -0.450000        1    4.39848926E-10  4.59605689E-10  7.02689062E-12  6.36202676E-10
      5 -0.250000 -0.450000 -0.450000        1    6.30280125E-10  5.52696252E-10  2.59214502E-11  8.38688324E-10
      6 -0.200000 -0.450000 -0.450000        1    4.78377543E-10  4.11700409E-10  3.57230248E-11  6.32153806E-10
      7 -0.150000 -0.450000 -0.450000        1    7.19780410E-11  6.02831053E-10  4.65556446E-11  6.08895348E-10
      8 -0.100000 -0.450000 -0.450000        1    9.86456200E-10  6.19294807E-11  3.01168528E-10  1.03326356E-09
      9 -0.050000 -0.450000 -0.450000        1    2.51585486E-10  6.79510197E-10  2.92225656E-11  7.25178131E-10
     10  0.000000 -0.450000 -0.450000        1    2.93890799E-11  3.82375537E-10  1.89082102E-10  4.27582519E-10
     11  0.050000 -0.450000 -0.450000        1    1.09272136E-09  4.93560426E-10  1.01650599E-10  1.20331821E-09
     12  0.100000 -0.450000 -0.450000        1    2.48884043E-09  4.76640729E-10  1.31971049E-11  2.53410482E-09
     13  0.150000 -0.450000 -0.450000        1    6.41978213E-10  1.26439616E-09  4.94818961E-12  1.41804730E-09
     14  0.200000 -0.450000 -0.450000        1    1.05635032E-10  4.47417097E-10  6.69815605E-11  4.64572221E-10
     15  0.250000 -0.450000 -0.450000        1    6.05743240E-11  1.20091563E-09  7.97426177E-11  1.20508360E-09
     16  0.300000 -0.450000 -0.450000        1    1.12061074E-10  6.79667657E-10  4.36422259E-11  6.90224929E-10
     17  0.350000 -0.450000 -0.450000        1    2.25337898E-09  7.50930911E-11  4.10595580E-11  2.25500370E-09
     18  0.400000 -0.450000 -0.450000        1    8.90927118E-10  1.30645132E-10  2.68411640E-11  9.00854998E-10
     19  0.450000 -0.450000 -0.450000        1    2.92184816E-10  2.24281861E-10  1.50822644E-11  3.68648605E-10
     20  0.500000 -0.450000 -0.450000        1    8.72301989E-11  1.74594857E-10  2.29346619E-10  3.01151695E-10
     21 -0.450000 -0.400000 -0.450000        1    3.66305474E-10  1.43005519E-09  6.81908354E-11  1.47779821E-09
     22 -0.400000 -0.400000 -0.450000        1    1.71050660E-09  4.72627735E-10  9.80326857E-11  1.77730701E-09
     23 -0.350000 -0.400000 -0.450000        1    2.90489839E-10  6.19227885E-11  1.22955787E-10  3.21460579E-10
     24 -0.300000 -0.400000 -0.450000        1    1.17949335E-09  2.29042064E-10  8.28076935E-12  1.20155458E-09
     25 -0.250000 -0.400000 -0.450000        1    3.34414225E-12  1.41455769E-10  7.60606132E-12  1.41699577E-10
     26 -0.200000 -0.400000 -0.450000        1    7.76256109E-10  5.73143987E-10  3.92656535E-10  1.04175176E-09
     27 -0.150000 -0.400000 -0.450000        1    2.61144675E-10  1.10817766E-09  3.56817020E-11  1.13909062E-09
     28 -0.100000 -0.400000 -0.450000        1    8.33678112E-10  1.95158113E-09  7.18244009E-11  2.12340454E-09
     29 -0.050000 -0.400000 -0.450000        1    2.96425855E-10  1.18494166E-10  1.46909889E-10  3.51413816E-10
     30  0.000000 -0.400000 -0.450000        1    1.71682744E-11  2.70874764E-10  5.36761890E-11  2.76674937E-10
     31  0.050000 -0.400000 -0.450000        1    7.55918083E-10  5.30388955E-10  4.60499330E-11  9.24578384E-10
     32  0.100000 -0.400000 -0.450000        1    3.27598085E-10  1.13754134E-09  1.25183987E-10  1.19037466E-09
     33  0.150000 -0.400000 -0.450000        1    1.36864396E-09  1.44115299E-10  1.76492005E-12  1.37621169E-09
     34  0.200000 -0.400000 -0.450000        1    2.18638690E-10  2.17756900E-10  4.06031724E-11  3.11238754E-10
     35  0.250000 -0.400000 -0.450000        1    3.46151995E-10  2.27699463E-10  2.12438053E-11  4.14872930E-10
     36  0.300000 -0.400000 -0.450000        1    1.10640963E-09  1.39257960E-10  1.61933368E-11  1.11525660E-09
     37  0.350000 -0.400000 -0.450000        1    4.04384734E-10  1.97705095E-10  9.83531554E-12  4.50234440E-10
     38  0.400000 -0.400000 -0.450000        1    5.34771224E-10  1.01431442E-10  1.72200904E-11  5.44577938E-10
     39  0.450000 -0.400000 -0.450000        1    3.98592902E-10  2.10159179E-10  8.51267920E-12  4.50683534E-10
     40  0.500000 -0.400000 -0.450000        1    2.29167959E-11  3.19899384E-10  2.05208608E-10  3.80751058E-10
     41 -0.450000 -0.350000 -0.450000        1    2.17496627E-09  1.70260289E-09  4.26456498E-10  2.79485242E-09
     42 -0.400000 -0.350000 -0.450000        1    1.09189195E-10  3.52808540E-11  7.08143432E-12  1.14965933E-10
     43 -0.350000 -0.350000 -0.450000        1    9.01534505E-12  1.43405651E-09  3.81870026E-11  1.43459319E-09
     44 -0.300000 -0.350000 -0.450000        1    3.50065735E-10  4.14368015E-10  5.70120145E-12  5.42475229E-10
     45 -0.250000 -0.350000 -0.450000        1    3.69943043E-10  3.46185982E-12  2.11637894E-10  4.26216421E-10
     46 -0.200000 -0.350000 -0.450000        1    6.09412108E-10  5.44261427E-11  4.08209461E-12  6.11851277E-10
     47 -0.150000 -0.350000 -0.450000        1    1.70228241E-10  2.88637247E-10  3.97727229E-11  3.37447750E-10
