   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  5.25068121E-01  2.75696932E-01  7.60092394E-02  6.66664732E-01  2.31018716E-04  7.88256756E-01 -1.28122204E+00 -1.28099958E+00  0.00000000E+00
     371  5.25080218E-01  2.75709631E-01  7.60162365E-02  6.66664754E-01  2.28349241E-04  8.02687468E-01 -1.28126330E+00 -1.28104176E+00  0.00000000E+00
     381  5.25101891E-01  2.75732389E-01  7.60287836E-02  6.66664768E-01  2.26795854E-04  8.02882315E-01 -1.28130708E+00 -1.28108515E+00  0.00000000E+00
     391  5.25093098E-01  2.75723149E-01  7.60236829E-02  6.66664791E-01  2.24031208E-04  7.91714580E-01 -1.28129131E+00 -1.28106979E+00  0.00000000E+00
     401  5.25089077E-01  2.75718926E-01  7.60213543E-02  6.66664791E-01  2.24027368E-04  8.05247280E-01 -1.28126260E+00 -1.28104140E+00  0.00000000E+00
     411  5.25086421E-01  2.75716126E-01  7.60197983E-02  6.66664843E-01  2.17808888E-04  8.04030820E-01 -1.28128697E+00 -1.28106590E+00  0.00000000E+00
     421  5.25098236E-01  2.75728529E-01  7.60266317E-02  6.66664870E-01  2.14591422E-04  8.22046674E-01 -1.28130969E+00 -1.28108772E+00  0.00000000E+00
     431  5.25100350E-01  2.75730737E-01  7.60278358E-02  6.66664928E-01  2.07651529E-04  8.32032392E-01 -1.28132115E+00 -1.28109932E+00  0.00000000E+00
     441  5.25105873E-01  2.75736533E-01  7.60310275E-02  6.66664950E-01  2.05075603E-04  8.33787271E-01 -1.28132341E+00 -1.28110139E+00  0.00000000E+00
     451  5.25120725E-01  2.75752126E-01  7.60396216E-02  6.66664972E-01  2.02464008E-04  8.25712979E-01 -1.28136416E+00 -1.28114184E+00  0.00000000E+00
     461  5.25104709E-01  2.75735316E-01  7.60303613E-02  6.66664926E-01  2.07870353E-04  8.47216828E-01 -1.28136153E+00 -1.28113930E+00  0.00000000E+00
     471  5.25098342E-01  2.75728633E-01  7.60266805E-02  6.66664906E-01  2.10271698E-04  8.58733529E-01 -1.28134570E+00 -1.28112466E+00  0.00000000E+00
     481  5.25100856E-01  2.75731283E-01  7.60281533E-02  6.66664856E-01  2.16206578E-04  8.65255374E-01 -1.28132266E+00 -1.28110196E+00  0.00000000E+00
     491  5.25110579E-01  2.75741491E-01  7.60337795E-02  6.66664872E-01  2.14356310E-04  8.77916155E-01 -1.28132677E+00 -1.28110522E+00  0.00000000E+00
     501  5.25101105E-01  2.75731535E-01  7.60282819E-02  6.66664902E-01  2.10731548E-04  8.61898886E-01 -1.28132883E+00 -1.28110785E+00  0.00000000E+00
     511  5.25119965E-01  2.75751362E-01  7.60392374E-02  6.66664809E-01  2.21881778E-04  8.87718339E-01 -1.28136237E+00 -1.28114102E+00  0.00000000E+00
