   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     411  7.47399226E-02  5.59006197E-03  3.13385320E-05  6.65709412E-01  2.49549755E-25  0.00000000E+00 -6.09024922E+00 -5.85190170E+00  0.00000000E+00
     421  7.46722070E-02  5.57984984E-03  3.12223757E-05  6.65728255E-01  2.43655796E-25  0.00000000E+00 -6.09027722E+00 -5.85188914E+00  0.00000000E+00
     431  7.46087136E-02  5.57027625E-03  3.11135225E-05  6.65747658E-01  2.37723881E-25  0.00000000E+00 -6.09030348E+00 -5.85187699E+00  0.00000000E+00
     441  7.45489904E-02  5.56127325E-03  3.10112024E-05  6.65767342E-01  2.31815912E-25  0.00000000E+00 -6.09032815E+00 -5.85186520E+00  0.00000000E+00
     451  7.44926446E-02  5.55278165E-03  3.09147450E-05  6.65787090E-01  2.25977990E-25  0.00000000E+00 -6.09035135E+00 -5.85185373E+00  0.00000000E+00
     461  7.44393330E-02  5.54474981E-03  3.08235641E-05  6.65806738E-01  2.20244039E-25  0.00000000E+00 -6.09037322E+00 -5.85184254E+00  0.00000000E+00
     471  7.43887555E-02  5.53713247E-03  3.07371455E-05  6.65826158E-01  2.14638593E-25  0.00000000E+00 -6.09039386E+00 -5.85183160E+00  0.00000000E+00
     481  7.43406481E-02  5.52988985E-03  3.06550371E-05  6.65845256E-01  2.09178946E-25  0.00000000E+00 -6.09041336E+00 -5.85182090E+00  0.00000000E+00
     491  7.42947784E-02  5.52298687E-03  3.05768396E-05  6.65863962E-01  2.03876812E-25  0.00000000E+00 -6.09043181E+00 -5.85181039E+00  0.00000000E+00
     501  7.42509406E-02  5.51639249E-03  3.05021995E-05  6.65882222E-01  1.98739614E-25  0.00000000E+00 -6.09044929E+00 -5.85180008E+00  0.00000000E+00
     511  7.42089525E-02  5.51007918E-03  3.04308027E-05  6.65900001E-01  1.93771486E-25  0.00000000E+00 -6.09046588E+00 -5.85178994E+00  0.00000000E+00
     521  7.41686515E-02  5.50402240E-03  3.03623696E-05  6.65917273E-01  1.88974044E-25  0.00000000E+00 -6.09048163E+00 -5.85177994E+00  0.00000000E+00
     531  7.41298928E-02  5.49820027E-03  3.02966500E-05  6.65934025E-01  1.84346995E-25  0.00000000E+00 -6.09049661E+00 -5.85177009E+00  0.00000000E+00
     541  7.40925467E-02  5.49259318E-03  3.02334199E-05  6.65950247E-01  1.79888608E-25  0.00000000E+00 -6.09051087E+00 -5.85176037E+00  0.00000000E+00
     551  7.40564970E-02  5.48718354E-03  3.01724782E-05  6.65965938E-01  1.75596076E-25  0.00000000E+00 -6.09052446E+00 -5.85175077E+00  0.00000000E+00
     561  7.40216388E-02  5.48195550E-03  3.01136438E-05  6.65981100E-01  1.71465810E-25  0.00000000E+00 -6.09053743E+00 -5.85174127E+00  0.00000000E+00
     741  7.35224986E-02  5.40747688E-03  2.92838285E-05  6.66176230E-01  1.19548605E-25  0.00000000E+00 -6.09069932E+00 -5.85158164E+00  0.00000000E+00
     751  7.34992440E-02  5.40402714E-03  2.92458325E-05  6.66183583E-01  1.17628842E-25  0.00000000E+00 -6.09070565E+00 -5.85157315E+00  0.00000000E+00
    1241  7.25505029E-02  5.26485745E-03  2.77468763E-05  6.66328119E-01  7.98611918E-26  0.00000000E+00 -6.09089148E+00 -5.85117235E+00  0.00000000E+00
    1251  7.25331700E-02  5.26234091E-03  2.77203276E-05  6.66328476E-01  7.97471622E-26  0.00000000E+00 -6.09089401E+00 -5.85116433E+00  0.00000000E+00
    1461  7.21779772E-02  5.21095112E-03  2.71819789E-05  6.66323350E-01  8.04057299E-26  0.00000000E+00 -6.09094266E+00 -5.85099598E+00  0.00000000E+00
    1471  7.21614025E-02  5.20856127E-03  2.71571149E-05  6.66322578E-01  8.05629544E-26  0.00000000E+00 -6.09094482E+00 -5.85098795E+00  0.00000000E+00
    1481  7.21448521E-02  5.20617563E-03  2.71323096E-05  6.66321764E-01  8.07302761E-26  0.00000000E+00 -6.09094696E+00 -5.85097991E+00  0.00000000E+00
    1491  7.21283252E-02  5.20379408E-03  2.71075617E-05  6.66320908E-01  8.09075663E-26  0.00000000E+00 -6.09094909E+00 -5.85097187E+00  0.00000000E+00
    1501  7.21118209E-02  5.20141650E-03  2.70828698E-05  6.66320009E-01  8.10947027E-26  0.00000000E+00 -6.09095122E+00 -5.85096382E+00  0.00000000E+00
    1511  7.20953385E-02  5.19904279E-03  2.70582326E-05  6.66319069E-01  8.12915690E-26  0.00000000E+00 -6.09095333E+00 -5.85095576E+00  0.00000000E+00
    1521  7.20788773E-02  5.19667282E-03  2.70336489E-05  6.66318088E-01  8.14980552E-26  0.00000000E+00 -6.09095543E+00 -5.85094770E+00  0.00000000E+00
    1531  7.20624365E-02  5.19430648E-03  2.70091174E-05  6.66317066E-01  8.17140570E-26  0.00000000E+00 -6.09095753E+00 -5.85093964E+00  0.00000000E+00
    1541  7.20460153E-02  5.19194367E-03  2.69846368E-05  6.66316004E-01  8.19394756E-26  0.00000000E+00 -6.09095961E+00 -5.85093156E+00  0.00000000E+00
    1551  7.20296130E-02  5.18958426E-03  2.69602059E-05  6.66314901E-01  8.21742175E-26  0.00000000E+00 -6.09096169E+00 -5.85092349E+00  0.00000000E+00
    1561  7.20132288E-02  5.18722816E-03  2.69358234E-05  6.66313759E-01  8.24181947E-26  0.00000000E+00 -6.09096375E+00 -5.85091540E+00  0.00000000E+00
    1571  7.19968621E-02  5.18487525E-03  2.69114883E-05  6.66312577E-01  8.26713238E-26  0.00000000E+00 -6.09096581E+00 -5.85090731E+00  0.00000000E+00
    1581  7.19805121E-02  5.18252543E-03  2.68871993E-05  6.66311356E-01  8.29335264E-26  0.00000000E+00 -6.09096787E+00 -5.85089921E+00  0.00000000E+00
    1591  7.19641782E-02  5.18017860E-03  2.68629552E-05  6.66310096E-01  8.32047288E-26  0.00000000E+00 -6.09096991E+00 -5.85089110E+00  0.00000000E+00
    1601  7.19478595E-02  5.17783464E-03  2.68387550E-05  6.66308797E-01  8.34848615E-26  0.00000000E+00 -6.09097195E+00 -5.85088298E+00  0.00000000E+00
    1611  7.19315554E-02  5.17549346E-03  2.68145974E-05  6.66307460E-01  8.37738596E-26  0.00000000E+00 -6.09097398E+00 -5.85087486E+00  0.00000000E+00
    1621  7.19152653E-02  5.17315496E-03  2.67904814E-05  6.66306085E-01  8.40716621E-26  0.00000000E+00 -6.09097600E+00 -5.85086672E+00  0.00000000E+00
    1631  7.18989884E-02  5.17081904E-03  2.67664059E-05  6.66304671E-01  8.43782121E-26  0.00000000E+00 -6.09097802E+00 -5.85085858E+00  0.00000000E+00
    1641  7.18827241E-02  5.16848559E-03  2.67423698E-05  6.66303220E-01  8.46934566E-26  0.00000000E+00 -6.09098003E+00 -5.85085042E+00  0.00000000E+00
    1651  7.18664718E-02  5.16615452E-03  2.67183721E-05  6.66301730E-01  8.50173462E-26  0.00000000E+00 -6.09098203E+00 -5.85084226E+00  0.00000000E+00
    1661  7.18502306E-02  5.16382574E-03  2.66944116E-05  6.66300203E-01  8.53498351E-26  0.00000000E+00 -6.09098403E+00 -5.85083408E+00  0.00000000E+00
    1671  7.18340001E-02  5.16149915E-03  2.66704874E-05  6.66298639E-01  8.56908812E-26  0.00000000E+00 -6.09098603E+00 -5.85082590E+00  0.00000000E+00
    1681  7.18177796E-02  5.15917465E-03  2.66465985E-05  6.66297037E-01  8.60404456E-26  0.00000000E+00 -6.09098801E+00 -5.85081770E+00  0.00000000E+00
    1691  7.18015684E-02  5.15685215E-03  2.66227438E-05  6.66295397E-01  8.63984928E-26  0.00000000E+00 -6.09099000E+00 -5.85080950E+00  0.00000000E+00
    1701  7.17853659E-02  5.15453157E-03  2.65989223E-05  6.66293721E-01  8.67649903E-26  0.00000000E+00 -6.09099198E+00 -5.85080128E+00  0.00000000E+00
    1711  7.17691715E-02  5.15221281E-03  2.65751332E-05  6.66292007E-01  8.71399088E-26  0.00000000E+00 -6.09099395E+00 -5.85079305E+00  0.00000000E+00
    1721  7.17529846E-02  5.14989578E-03  2.65513753E-05  6.66290257E-01  8.75232221E-26  0.00000000E+00 -6.09099592E+00 -5.85078481E+00  0.00000000E+00
    1731  7.17368045E-02  5.14758039E-03  2.65276479E-05  6.66288469E-01  8.79149069E-26  0.00000000E+00 -6.09099788E+00 -5.85077655E+00  0.00000000E+00
    1741  7.17206307E-02  5.14526656E-03  2.65039499E-05  6.66286644E-01  8.83149425E-26  0.00000000E+00 -6.09099984E+00 -5.85076829E+00  0.00000000E+00
    1751  7.17044625E-02  5.14295420E-03  2.64802804E-05  6.66284782E-01  8.87233114E-26  0.00000000E+00 -6.09100180E+00 -5.85076001E+00  0.00000000E+00
    1761  7.16882995E-02  5.14064322E-03  2.64566385E-05  6.66282883E-01  8.91399985E-26  0.00000000E+00 -6.09100375E+00 -5.85075171E+00  0.00000000E+00
    1771  7.16721409E-02  5.13833354E-03  2.64330234E-05  6.66280948E-01  8.95649916E-26  0.00000000E+00 -6.09100570E+00 -5.85074341E+00  0.00000000E+00
    1781  7.16559862E-02  5.13602508E-03  2.64094341E-05  6.66278975E-01  8.99982811E-26  0.00000000E+00 -6.09100764E+00 -5.85073509E+00  0.00000000E+00
    1791  7.16398349E-02  5.13371775E-03  2.63858698E-05  6.66276965E-01  9.04398600E-26  0.00000000E+00 -6.09100958E+00 -5.85072675E+00  0.00000000E+00
    1801  7.16236864E-02  5.13141147E-03  2.63623295E-05  6.66274918E-01  9.08897240E-26  0.00000000E+00 -6.09101152E+00 -5.85071840E+00  0.00000000E+00
    1811  7.16075400E-02  5.12910616E-03  2.63388125E-05  6.66272834E-01  9.13478712E-26  0.00000000E+00 -6.09101346E+00 -5.85071004E+00  0.00000000E+00
    1821  7.15913953E-02  5.12680175E-03  2.63153180E-05  6.66270713E-01  9.18143026E-26  0.00000000E+00 -6.09101539E+00 -5.85070166E+00  0.00000000E+00
    1831  7.15752516E-02  5.12449814E-03  2.62918449E-05  6.66268555E-01  9.22890215E-26  0.00000000E+00 -6.09101732E+00 -5.85069327E+00  0.00000000E+00
    1841  7.15591085E-02  5.12219526E-03  2.62683927E-05  6.66266360E-01  9.27720341E-26  0.00000000E+00 -6.09101925E+00 -5.85068487E+00  0.00000000E+00
    1851  7.15429654E-02  5.11989303E-03  2.62449603E-05  6.66264127E-01  9.32633490E-26  0.00000000E+00 -6.09102117E+00 -5.85067644E+00  0.00000000E+00
