#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     54  0.200000 -0.350000 -0.450000        1    1.34972590E-09  1.23276622E-08  2.93960860E-10  1.24048147E-08
     55  0.250000 -0.350000 -0.450000        1    2.87720148E-09  3.96252872E-09  1.41082550E-10  4.89896177E-09
     56  0.300000 -0.350000 -0.450000        1    3.22879161E-09  5.88036331E-09  4.01602208E-10  6.72049494E-09
     57  0.350000 -0.350000 -0.450000        1    4.16205218E-09  4.67871480E-09  4.66436433E-10  6.27938002E-09
     58  0.400000 -0.350000 -0.450000        1    2.81335621E-09  2.49889825E-09  1.70081977E-09  4.12943744E-09
     59  0.450000 -0.350000 -0.450000        1    5.92118778E-09  8.85959997E-10  1.64892253E-09  6.21001895E-09
     60  0.500000 -0.350000 -0.450000        1    6.44907356E-09  3.13220456E-09  3.54586501E-10  7.17823006E-09
     61 -0.450000 -0.300000 -0.450000        1    3.09722215E-09  1.06738734E-09  3.55888726E-09  4.83712511E-09
     62 -0.400000 -0.300000 -0.450000        1    1.77357273E-09  1.37237301E-10  9.90389082E-10  2.03599235E-09
     63 -0.350000 -0.300000 -0.450000        1    1.34980958E-09  2.37318386E-10  2.02245183E-09  2.44307538E-09
     64 -0.300000 -0.300000 -0.450000        1    6.40674808E-10  2.92555363E-09  3.36620718E-10  3.01374215E-09
     65 -0.250000 -0.300000 -0.450000        1    4.06657582E-10  1.34770856E-09  1.39125502E-09  1.97921178E-09
     66 -0.200000 -0.300000 -0.450000        1    1.02397231E-09  9.72420763E-09  5.04175067E-09  1.10012719E-08
     67 -0.150000 -0.300000 -0.450000        1    6.97662744E-10  1.10043972E-10  1.89175092E-10  7.31184105E-10
     68 -0.100000 -0.300000 -0.450000        1    1.50390129E-09  2.19193044E-08  3.18284295E-09  2.22001828E-08
     69 -0.050000 -0.300000 -0.450000        1    1.03564685E-09  7.57144772E-09  4.12859462E-09  8.68588962E-09
     70  0.000000 -0.300000 -0.450000        1    2.02936500E-09  4.42333157E-09  1.40153111E-09  5.06443224E-09
     71  0.050000 -0.300000 -0.450000        1    9.07032728E-09  3.57695326E-09  2.85731938E-09  1.01602021E-08
     72  0.100000 -0.300000 -0.450000        1    1.65778931E-09  4.34186316E-09  1.41073834E-09  4.85697681E-09
     73  0.150000 -0.300000 -0.450000        1    5.22818495E-09  5.26881297E-09  2.16273514E-09  7.73121797E-09
     74  0.200000 -0.300000 -0.450000        1    2.40302987E-10  2.05020127E-09  1.27524730E-09  2.42638135E-09
     75  0.250000 -0.300000 -0.450000        1    7.93011287E-09  2.58404449E-09  2.16637721E-09  8.61725979E-09
     76  0.300000 -0.300000 -0.450000        1    2.07255124E-09  4.03112855E-09  1.86427692E-09  4.90112175E-09
     77  0.350000 -0.300000 -0.450000        1    9.19137734E-10  2.16768821E-09  4.49313693E-10  2.39699169E-09
     78  0.400000 -0.300000 -0.450000        1    2.51417482E-10  3.92991493E-09  1.61416173E-09  4.25593235E-09
     79  0.450000 -0.300000 -0.450000        1    1.71401991E-09  2.28655728E-09  6.22915246E-10  2.92476185E-09
     80  0.500000 -0.300000 -0.450000        1    2.26272390E-09  1.35790751E-09  2.37490086E-09  3.55020934E-09
     81 -0.450000 -0.250000 -0.450000        1    4.09842743E-11  8.37485335E-10  8.33136814E-10  1.18202299E-09
     82 -0.400000 -0.250000 -0.450000        1    1.17640060E-09  5.28780193E-09  5.84475326E-10  5.44852081E-09
     83 -0.350000 -0.250000 -0.450000        1    8.89410933E-09  2.48603800E-09  2.24244426E-09  9.50337424E-09
     84 -0.300000 -0.250000 -0.450000        1    5.64249880E-10  1.34307375E-10  6.35929955E-10  8.60710931E-10
     85 -0.250000 -0.250000 -0.450000        1    4.50552793E-09  1.31102673E-10  1.39354494E-09  4.71793783E-09
     86 -0.200000 -0.250000 -0.450000        1    1.41190907E-09  1.08407098E-09  8.36447033E-10  1.96680979E-09
     87 -0.150000 -0.250000 -0.450000        1    7.51169994E-09  7.24464848E-10  1.76446083E-09  7.75008434E-09
     88 -0.100000 -0.250000 -0.450000        1    3.25328392E-09  9.53803988E-09  8.59840407E-10  1.01142171E-08
