#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.010595  0.454572  0.000572
    9011  0.010599  0.454587  0.000572
    9021  0.010597  0.454602  0.000571
    9031  0.010605  0.454623  0.000571
    9041  0.010603  0.454645  0.000571
    9051  0.010597  0.454664  0.000571
    9061  0.010599  0.454687  0.000571
    9071  0.010603  0.454714  0.000571
    9081  0.010610  0.454745  0.000571
    9091  0.010616  0.454780  0.000571
    9101  0.010635  0.454816  0.000570
    9111  0.010639  0.454855  0.000570
    9121  0.010631  0.454892  0.000570
    9131  0.010611  0.454921  0.000570
    9141  0.010615  0.454953  0.000570
    9151  0.010607  0.454982  0.000570
    9161  0.010604  0.455012  0.000570
    9171  0.010622  0.455043  0.000570
    9181  0.010603  0.455067  0.000569
    9191  0.010598  0.455090  0.000569
    9201  0.010624  0.455101  0.000569
    9211  0.010636  0.455117  0.000569
    9221  0.010627  0.455130  0.000569
    9231  0.010625  0.455144  0.000569
    9241  0.010632  0.455161  0.000569
    9251  0.010620  0.455175  0.000569
    9261  0.010615  0.455187  0.000569
    9271  0.010609  0.455199  0.000569
    9281  0.010612  0.455213  0.000569
    9291  0.010613  0.455230  0.000569
    9301  0.010628  0.455249  0.000569
    9311  0.010636  0.455273  0.000569
    9321  0.010630  0.455295  0.000568
    9331  0.010621  0.455314  0.000568
    9341  0.010604  0.455327  0.000568
    9351  0.010593  0.455337  0.000568
    9361  0.010585  0.455344  0.000568
    9371  0.010586  0.455353  0.000568
    9381  0.010576  0.455359  0.000568
    9391  0.010568  0.455363  0.000568
    9401  0.010560  0.455364  0.000568
    9411  0.010563  0.455369  0.000568
    9421  0.010568  0.455377  0.000568
    9431  0.010569  0.455387  0.000568
    9441  0.010582  0.455399  0.000568
    9451  0.010577  0.455411  0.000567
    9461  0.010571  0.455421  0.000567
    9471  0.010552  0.455426  0.000567
    9481  0.010554  0.455433  0.000567
    9491  0.010548  0.455439  0.000567
    9501  0.010554  0.455448  0.000567
    9511  0.010542  0.455453  0.000567
    9521  0.010531  0.455455  0.000567
    9531  0.010546  0.455459  0.000567
    9541  0.010562  0.455465  0.000567
    9551  0.010567  0.455473  0.000567
    9561  0.010556  0.455479  0.000567
    9571  0.010557  0.455486  0.000567
    9581  0.010549  0.455491  0.000567
    9591  0.010543  0.455495  0.000566
    9601  0.010546  0.455502  0.000566
    9611  0.010534  0.455505  0.000566
    9621  0.010531  0.455508  0.000566
    9631  0.010520  0.455507  0.000566
    9641  0.010525  0.455510  0.000566
    9651  0.010518  0.455511  0.000566
    9661  0.010519  0.455515  0.000566
    9671  0.010504  0.455513  0.000566
    9681  0.010519  0.455513  0.000566
    9691  0.010510  0.455511  0.000566
    9701  0.010509  0.455509  0.000566
    9711  0.010511  0.455510  0.000566
    9721  0.010527  0.455511  0.000566
    9731  0.010521  0.455511  0.000566
    9741  0.010540  0.455509  0.000566
    9751  0.010546  0.455510  0.000565
    9761  0.010560  0.455513  0.000565
    9771  0.010553  0.455515  0.000565
    9781  0.010554  0.455518  0.000565
    9791  0.010550  0.455521  0.000565
    9801  0.010572  0.455517  0.000565
    9811  0.010575  0.455514  0.000565
    9821  0.010593  0.455511  0.000565
    9831  0.010590  0.455508  0.000565
    9841  0.010575  0.455501  0.000565
    9851  0.010588  0.455496  0.000565
    9861  0.010591  0.455494  0.000565
    9871  0.010590  0.455492  0.000565
    9881  0.010593  0.455492  0.000565
    9891  0.010596  0.455494  0.000565
    9901  0.010608  0.455499  0.000565
    9911  0.010602  0.455503  0.000565
    9921  0.010595  0.455505  0.000565
    9931  0.010586  0.455505  0.000565
    9941  0.010573  0.455502  0.000565
    9951  0.010560  0.455495  0.000565
    9961  0.010547  0.455485  0.000565
    9971  0.010545  0.455476  0.000565
    9981  0.010534  0.455463  0.000565
    9991  0.010541  0.455454  0.000565
