   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  3.04427404E-02  9.26760441E-04  8.58884915E-07  6.66666667E-01 -5.52732133E-18  1.64315059E-13 -3.23206503E-01 -3.20494310E-01  0.00000000E+00
      11  3.03895482E-02  1.09502777E-03  1.95188369E-06  4.57396720E-01  1.98098352E-02  4.74145285E-01 -3.20326174E-01 -3.17739619E-01  0.00000000E+00
      21  2.32559577E-02  6.77260771E-04  9.27764097E-07  3.25775598E-01  1.57576224E-02  7.95018413E-01 -3.17446322E-01 -3.14721114E-01  0.00000000E+00
      31  2.62962793E-02  8.37334044E-04  1.28451539E-06  3.89310352E-01  1.68455311E-02  7.77731210E-01 -3.19162489E-01 -3.16528053E-01  0.00000000E+00
      41  2.57899222E-02  8.51602820E-04  1.45524541E-06  3.31131408E-01  2.15400865E-02  8.01445012E-01 -3.19422387E-01 -3.16747688E-01  0.00000000E+00
      51  3.08132271E-02  1.15342636E-03  2.21809428E-06  4.44250598E-01  2.35601516E-02  7.47192058E-01 -3.20016411E-01 -3.17289402E-01  0.00000000E+00
      61  3.21472842E-02  1.26275756E-03  2.61264065E-06  4.53841782E-01  2.64869046E-02  7.39391529E-01 -3.20299738E-01 -3.17622547E-01  0.00000000E+00
      71  3.03866886E-02  1.12700078E-03  2.13275470E-06  4.40279487E-01  2.35230210E-02  6.45936429E-01 -3.20072750E-01 -3.17441529E-01  0.00000000E+00
      81  2.97473561E-02  1.05872245E-03  1.85967639E-06  4.46965941E-01  2.00771337E-02  6.14388665E-01 -3.20553962E-01 -3.17893797E-01  0.00000000E+00
      91  2.86714675E-02  9.79413881E-04  1.61013975E-06  4.40487481E-01  1.81762991E-02  6.22959280E-01 -3.20296069E-01 -3.17669944E-01  0.00000000E+00
     101  2.82966348E-02  9.47884106E-04  1.49715955E-06  4.44561030E-01  1.70008681E-02  6.59807366E-01 -3.20059605E-01 -3.17416318E-01  0.00000000E+00
     111  2.85927750E-02  9.48930604E-04  1.42585920E-06  4.72179224E-01  1.51757694E-02  5.83211689E-01 -3.19970427E-01 -3.17298976E-01  0.00000000E+00
     121  2.94763636E-02  1.02169581E-03  1.69475955E-06  4.58817666E-01  1.76540877E-02  5.37524499E-01 -3.20096170E-01 -3.17425251E-01  0.00000000E+00
     131  2.85535227E-02  9.66883646E-04  1.54883931E-06  4.47748787E-01  1.75085703E-02  6.52869547E-01 -3.19604815E-01 -3.16925668E-01  0.00000000E+00
