   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    6300  1.85018262E-04 -1.47604393E-02  9.28706494E-01  9.28823803E-01  0.00000000E+00
    6400  1.88049074E-04 -1.47606625E-02  9.28568735E-01  9.28686066E-01  0.00000000E+00
    6500  1.90891490E-04 -1.47611905E-02  9.28434487E-01  9.28551844E-01  0.00000000E+00
    6600  1.93549494E-04 -1.47619801E-02  9.28303382E-01  9.28420768E-01  0.00000000E+00
    6700  1.96028023E-04 -1.47629928E-02  9.28175091E-01  9.28292509E-01  0.00000000E+00
    6800  1.98332868E-04 -1.47641935E-02  9.28049326E-01  9.28166780E-01  0.00000000E+00
    6900  2.00470567E-04 -1.47655512E-02  9.27925833E-01  9.28043325E-01  0.00000000E+00
    7000  2.02448303E-04 -1.47670381E-02  9.27804387E-01  9.27921918E-01  0.00000000E+00
    7100  2.04273796E-04 -1.47686300E-02  9.27684792E-01  9.27802364E-01  0.00000000E+00
    7200  2.05955207E-04 -1.47703052E-02  9.27566874E-01  9.27684488E-01  0.00000000E+00
    7300  2.07501031E-04 -1.47720451E-02  9.27450483E-01  9.27568140E-01  0.00000000E+00
    7400  2.08920004E-04 -1.47738336E-02  9.27335486E-01  9.27453187E-01  0.00000000E+00
    7500  2.10221013E-04 -1.47756567E-02  9.27221768E-01  9.27339512E-01  0.00000000E+00
    7600  2.11413003E-04 -1.47775027E-02  9.27109228E-01  9.27227017E-01  0.00000000E+00
    7700  2.12504906E-04 -1.47793617E-02  9.26997780E-01  9.27115612E-01  0.00000000E+00
    7800  2.13505560E-04 -1.47812254E-02  9.26887346E-01  9.27005223E-01  0.00000000E+00
    7900  2.14423652E-04 -1.47830870E-02  9.26777861E-01  9.26895781E-01  0.00000000E+00
    8000  2.15267653E-04 -1.47849413E-02  9.26669267E-01  9.26787231E-01  0.00000000E+00
    8100  2.16045768E-04 -1.47867839E-02  9.26561515E-01  9.26679522E-01  0.00000000E+00
    8200  2.16765901E-04 -1.47886115E-02  9.26454560E-01  9.26572610E-01  0.00000000E+00
    8300  2.17435610E-04 -1.47904220E-02  9.26348365E-01  9.26466458E-01  0.00000000E+00
    8400  2.18062086E-04 -1.47922137E-02  9.26242897E-01  9.26361031E-01  0.00000000E+00
    8500  2.18652126E-04 -1.47939856E-02  9.26138126E-01  9.26256302E-01  0.00000000E+00
    8600  2.19212121E-04 -1.47957374E-02  9.26034026E-01  9.26152244E-01  0.00000000E+00
    8700  2.19748048E-04 -1.47974693E-02  9.25930576E-01  9.26048835E-01  0.00000000E+00
    8800  2.20265458E-04 -1.47991817E-02  9.25827754E-01  9.25946054E-01  0.00000000E+00
    8900  2.20769486E-04 -1.48008754E-02  9.25725542E-01  9.25843882E-01  0.00000000E+00
    9000  2.21264847E-04 -1.48025514E-02  9.25623923E-01  9.25742302E-01  0.00000000E+00
    9100  2.21755848E-04 -1.48042110E-02  9.25522881E-01  9.25641300E-01  0.00000000E+00
    9200  2.22246398E-04 -1.48058556E-02  9.25422402E-01  9.25540861E-01  0.00000000E+00
    9300  2.22740019E-04 -1.48074867E-02  9.25322473E-01  9.25440971E-01  0.00000000E+00
    9400  2.23239864E-04 -1.48091059E-02  9.25223080E-01  9.25341617E-01  0.00000000E+00
    9500  2.23748733E-04 -1.48107147E-02  9.25124212E-01  9.25242787E-01  0.00000000E+00
    9600  2.24269090E-04 -1.48123148E-02  9.25025854E-01  9.25144468E-01  0.00000000E+00
    9700  2.24803083E-04 -1.48139078E-02  9.24927997E-01  9.25046649E-01  0.00000000E+00
    9800  2.25352562E-04 -1.48154953E-02  9.24830628E-01  9.24949318E-01  0.00000000E+00
    9900  2.25919098E-04 -1.48170788E-02  9.24733735E-01  9.24852463E-01  0.00000000E+00
   10000  2.26504006E-04 -1.48186598E-02  9.24637308E-01  9.24756073E-01  0.00000000E+00
   10100  2.27108361E-04 -1.48202398E-02  9.24541333E-01  9.24660137E-01  0.00000000E+00
   10200  2.27733018E-04 -1.48218202E-02  9.24445801E-01  9.24564642E-01  0.00000000E+00
   10300  2.28378632E-04 -1.48234021E-02  9.24350699E-01  9.24469577E-01  0.00000000E+00
   10400  2.29045671E-04 -1.48249870E-02  9.24256015E-01  9.24374931E-01  0.00000000E+00
   10500  2.29734440E-04 -1.48265757E-02  9.24161738E-01  9.24280692E-01  0.00000000E+00
   10600  2.30445091E-04 -1.48281696E-02  9.24067856E-01  9.24186848E-01  0.00000000E+00
   10700  2.31177643E-04 -1.48297693E-02  9.23974357E-01  9.24093387E-01  0.00000000E+00
   10800  2.31931992E-04 -1.48313760E-02  9.23881229E-01  9.24000297E-01  0.00000000E+00
   10900  2.32707929E-04 -1.48329904E-02  9.23788460E-01  9.23907566E-01  0.00000000E+00
   11000  2.33505151E-04 -1.48346131E-02  9.23696039E-01  9.23815183E-01  0.00000000E+00
