   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.81587308E-01  7.92914120E-02  6.28712801E-03  6.66666667E-01 -2.02899294E-37  0.00000000E+00 -5.44476834E+00 -5.25853726E+00  0.00000000E+00
      11  2.98393634E-01  8.90476441E-02  7.93253488E-03  6.66538371E-01  5.53393588E-25  0.00000000E+00 -6.04740819E+00 -5.81978189E+00  0.00000000E+00
      21  2.98160451E-01  8.89031382E-02  7.90497649E-03  6.66615699E-01  2.17010713E-25  0.00000000E+00 -6.07258050E+00 -5.84187890E+00  0.00000000E+00
      31  2.95802658E-01  8.75064135E-02  7.65988895E-03  6.66557119E-01  4.48586854E-25  0.00000000E+00 -6.07872600E+00 -5.84702484E+00  0.00000000E+00
      41  2.93572732E-01  8.61960779E-02  7.43362217E-03  6.66493565E-01  6.93261261E-25  0.00000000E+00 -6.08128544E+00 -5.84899990E+00  0.00000000E+00
      51  2.91755558E-01  8.51347516E-02  7.25255211E-03  6.66453908E-01  8.37627884E-25  0.00000000E+00 -6.08265758E+00 -5.84995822E+00  0.00000000E+00
      61  2.90207547E-01  8.42355487E-02  7.10079405E-03  6.66423964E-01  9.42403769E-25  0.00000000E+00 -6.08351201E+00 -5.85049471E+00  0.00000000E+00
      71  2.88824450E-01  8.34362506E-02  6.96726506E-03  6.66395793E-01  1.03957386E-24  0.00000000E+00 -6.08409921E+00 -5.85082395E+00  0.00000000E+00
      81  2.87567459E-01  8.27132054E-02  6.84758762E-03  6.66368813E-01  1.13139481E-24  0.00000000E+00 -6.08453122E+00 -5.85103725E+00  0.00000000E+00
      91  2.86425944E-01  8.20592585E-02  6.74022186E-03  6.66344905E-01  1.21083490E-24  0.00000000E+00 -6.08486471E+00 -5.85117899E+00  0.00000000E+00
     101  2.85396269E-01  8.14714412E-02  6.64438183E-03  6.66325876E-01  1.27148136E-24  0.00000000E+00 -6.08513118E+00 -5.85127354E+00  0.00000000E+00
     111  2.84473851E-01  8.09464108E-02  6.55928113E-03  6.66312608E-01  1.31060056E-24  0.00000000E+00 -6.08534957E+00 -5.85133570E+00  0.00000000E+00
     121  2.83651214E-01  8.04793457E-02  6.48395214E-03  6.66305021E-01  1.32904595E-24  0.00000000E+00 -6.08553204E+00 -5.85137519E+00  0.00000000E+00
     131  2.82918674E-01  8.00643239E-02  6.41730107E-03  6.66302404E-01  1.32987701E-24  0.00000000E+00 -6.08568682E+00 -5.85139870E+00  0.00000000E+00
     141  2.82265705E-01  7.96950689E-02  6.35821838E-03  6.66303782E-01  1.31694026E-24  0.00000000E+00 -6.08581977E+00 -5.85141090E+00  0.00000000E+00
     151  2.81682019E-01  7.93655315E-02  6.30566190E-03  6.66308174E-01  1.29395728E-24  0.00000000E+00 -6.08593516E+00 -5.85141507E+00  0.00000000E+00
     161  2.81158165E-01  7.90702059E-02  6.25869874E-03  6.66314716E-01  1.26410816E-24  0.00000000E+00 -6.08603621E+00 -5.85141354E+00  0.00000000E+00
     171  2.80685778E-01  7.88042494E-02  6.21651791E-03  6.66322702E-01  1.22992260E-24  0.00000000E+00 -6.08612539E+00 -5.85140796E+00  0.00000000E+00
     181  2.80257622E-01  7.85634904E-02  6.17842670E-03  6.66331581E-01  1.19331936E-24  0.00000000E+00 -6.08620466E+00 -5.85139947E+00  0.00000000E+00
     191  2.79867522E-01  7.83443817E-02  6.14383989E-03  6.66340942E-01  1.15570124E-24  0.00000000E+00 -6.08627555E+00 -5.85138893E+00  0.00000000E+00
     201  2.79510258E-01  7.81439319E-02  6.11226637E-03  6.66350485E-01  1.11805954E-24  0.00000000E+00 -6.08633932E+00 -5.85137695E+00  0.00000000E+00
     211  2.79181442E-01  7.79596319E-02  6.08329572E-03  6.66359998E-01  1.08106908E-24  0.00000000E+00 -6.08639697E+00 -5.85136398E+00  0.00000000E+00
     221  2.78877403E-01  7.77893837E-02  6.05658577E-03  6.66369339E-01  1.04516753E-24  0.00000000E+00 -6.08644935E+00 -5.85135036E+00  0.00000000E+00
     231  2.78595070E-01  7.76314359E-02  6.03185143E-03  6.66378414E-01  1.01061867E-24  0.00000000E+00 -6.08649715E+00 -5.85133636E+00  0.00000000E+00
     241  2.78331878E-01  7.74843267E-02  6.00885507E-03  6.66387168E-01  9.77561534E-25  0.00000000E+00 -6.08654096E+00 -5.85132216E+00  0.00000000E+00
     251  2.78085684E-01  7.73468340E-02  5.98739823E-03  6.66395572E-01  9.46047692E-25  0.00000000E+00 -6.08658126E+00 -5.85130790E+00  0.00000000E+00
     261  2.77854689E-01  7.72179338E-02  5.96731471E-03  6.66403616E-01  9.16069173E-25  0.00000000E+00 -6.08661847E+00 -5.85129369E+00  0.00000000E+00
     271  2.77637383E-01  7.70967646E-02  5.94846468E-03  6.66411303E-01  8.87579105E-25  0.00000000E+00 -6.08665293E+00 -5.85127959E+00  0.00000000E+00
     281  2.77432485E-01  7.69825972E-02  5.93072985E-03  6.66418645E-01  8.60506802E-25  0.00000000E+00 -6.08668495E+00 -5.85126565E+00  0.00000000E+00
     291  2.77238905E-01  7.68748109E-02  5.91400946E-03  6.66425657E-01  8.34768681E-25  0.00000000E+00 -6.08671478E+00 -5.85125189E+00  0.00000000E+00
     301  2.77055707E-01  7.67728720E-02  5.89821697E-03  6.66432358E-01  8.10276042E-25  0.00000000E+00 -6.08674264E+00 -5.85123834E+00  0.00000000E+00
     311  2.76882078E-01  7.66763177E-02  5.88327732E-03  6.66438768E-01  7.86940482E-25  0.00000000E+00 -6.08676872E+00 -5.85122499E+00  0.00000000E+00
     321  2.76717305E-01  7.65847418E-02  5.86912470E-03  6.66444906E-01  7.64677527E-25  0.00000000E+00 -6.08679320E+00 -5.85121185E+00  0.00000000E+00
     331  2.76560753E-01  7.64977837E-02  5.85570078E-03  6.66450790E-01  7.43408885E-25  0.00000000E+00 -6.08681621E+00 -5.85119891E+00  0.00000000E+00
     341  2.76411853E-01  7.64151195E-02  5.84295325E-03  6.66456437E-01  7.23063660E-25  0.00000000E+00 -6.08683789E+00 -5.85118615E+00  0.00000000E+00
     351  2.76270086E-01  7.63364550E-02  5.83083471E-03  6.66461862E-01  7.03578786E-25  0.00000000E+00 -6.08685834E+00 -5.85117358E+00  0.00000000E+00
     361  2.76134978E-01  7.62615204E-02  5.81930180E-03  6.66467078E-01  6.84898900E-25  0.00000000E+00 -6.08687768E+00 -5.85116117E+00  0.00000000E+00
     371  2.76006085E-01  7.61900659E-02  5.80831454E-03  6.66472096E-01  6.66975836E-25  0.00000000E+00 -6.08689599E+00 -5.85114892E+00  0.00000000E+00
     381  2.75882998E-01  7.61218592E-02  5.79783581E-03  6.66476927E-01  6.49767887E-25  0.00000000E+00 -6.08691335E+00 -5.85113681E+00  0.00000000E+00
     391  2.75765331E-01  7.60566829E-02  5.78783102E-03  6.66481578E-01  6.33238960E-25  0.00000000E+00 -6.08692983E+00 -5.85112484E+00  0.00000000E+00
     401  2.75652721E-01  7.59943330E-02  5.77826780E-03  6.66486056E-01  6.17357707E-25  0.00000000E+00 -6.08694551E+00 -5.85111298E+00  0.00000000E+00
     411  2.75544829E-01  7.59346180E-02  5.76911584E-03  6.66490370E-01  6.02096696E-25  0.00000000E+00 -6.08696045E+00 -5.85110123E+00  0.00000000E+00
     421  2.75441333E-01  7.58773575E-02  5.76034668E-03  6.66494523E-01  5.87431669E-25  0.00000000E+00 -6.08697469E+00 -5.85108957E+00  0.00000000E+00
     431  2.75341930E-01  7.58223820E-02  5.75193363E-03  6.66498521E-01  5.73340896E-25  0.00000000E+00 -6.08698830E+00 -5.85107799E+00  0.00000000E+00
     441  2.75246336E-01  7.57695318E-02  5.74385167E-03  6.66502368E-01  5.59804639E-25  0.00000000E+00 -6.08700131E+00 -5.85106649E+00  0.00000000E+00
     451  2.75154283E-01  7.57186572E-02  5.73607731E-03  6.66506070E-01  5.46804715E-25  0.00000000E+00 -6.08701377E+00 -5.85105504E+00  0.00000000E+00
     461  2.75065520E-01  7.56696176E-02  5.72858858E-03  6.66509629E-01  5.34324165E-25  0.00000000E+00 -6.08702572E+00 -5.85104365E+00  0.00000000E+00
     471  2.74979810E-01  7.56222811E-02  5.72136489E-03  6.66513049E-01  5.22346988E-25  0.00000000E+00 -6.08703720E+00 -5.85103229E+00  0.00000000E+00
     481  2.74896932E-01  7.55765240E-02  5.71438698E-03  6.66516335E-01  5.10857962E-25  0.00000000E+00 -6.08704823E+00 -5.85102097E+00  0.00000000E+00
     491  2.74816678E-01  7.55322306E-02  5.70763685E-03  6.66519489E-01  4.99842504E-25  0.00000000E+00 -6.08705885E+00 -5.85100966E+00  0.00000000E+00
     501  2.74738855E-01  7.54892926E-02  5.70109770E-03  6.66522515E-01  4.89286580E-25  0.00000000E+00 -6.08706909E+00 -5.85099837E+00  0.00000000E+00
     511  2.74663279E-01  7.54476089E-02  5.69475380E-03  6.66525417E-01  4.79176647E-25  0.00000000E+00 -6.08707896E+00 -5.85098709E+00  0.00000000E+00
     521  2.74589781E-01  7.54070846E-02  5.68859050E-03  6.66528198E-01  4.69499620E-25  0.00000000E+00 -6.08708851E+00 -5.85097580E+00  0.00000000E+00
     531  2.74518202E-01  7.53676314E-02  5.68259411E-03  6.66530860E-01  4.60242849E-25  0.00000000E+00 -6.08709775E+00 -5.85096450E+00  0.00000000E+00
     541  2.74448393E-01  7.53291665E-02  5.67675185E-03  6.66533408E-01  4.51394113E-25  0.00000000E+00 -6.08710669E+00 -5.85095318E+00  0.00000000E+00
     551  2.74380215E-01  7.52916128E-02  5.67105180E-03  6.66535844E-01  4.42941621E-25  0.00000000E+00 -6.08711537E+00 -5.85094184E+00  0.00000000E+00
     561  2.74313538E-01  7.52548980E-02  5.66548281E-03  6.66538171E-01  4.34874009E-25  0.00000000E+00 -6.08712379E+00 -5.85093046E+00  0.00000000E+00
     571  2.74248240E-01  7.52189547E-02  5.66003450E-03  6.66540391E-01  4.27180349E-25  0.00000000E+00 -6.08713197E+00 -5.85091905E+00  0.00000000E+00
     581  2.74184208E-01  7.51837197E-02  5.65469716E-03  6.66542509E-01  4.19850146E-25  0.00000000E+00 -6.08713994E+00 -5.85090760E+00  0.00000000E+00
     591  2.74121336E-01  7.51491343E-02  5.64946173E-03  6.66544525E-01  4.12873345E-25  0.00000000E+00 -6.08714770E+00 -5.85089610E+00  0.00000000E+00
     601  2.74059523E-01  7.51151433E-02  5.64431975E-03  6.66546444E-01  4.06240322E-25  0.00000000E+00 -6.08715526E+00 -5.85088454E+00  0.00000000E+00
     611  2.73998677E-01  7.50816952E-02  5.63926331E-03  6.66548267E-01  3.99941885E-25  0.00000000E+00 -6.08716265E+00 -5.85087293E+00  0.00000000E+00
     621  2.73938711E-01  7.50487419E-02  5.63428504E-03  6.66549996E-01  3.93969266E-25  0.00000000E+00 -6.08716987E+00 -5.85086126E+00  0.00000000E+00
     631  2.73879545E-01  7.50162385E-02  5.62937804E-03  6.66551635E-01  3.88314106E-25  0.00000000E+00 -6.08717694E+00 -5.85084951E+00  0.00000000E+00
     641  2.73821101E-01  7.49841429E-02  5.62453589E-03  6.66553184E-01  3.82968445E-25  0.00000000E+00 -6.08718385E+00 -5.85083770E+00  0.00000000E+00
     651  2.73763309E-01  7.49524160E-02  5.61975260E-03  6.66554647E-01  3.77924701E-25  0.00000000E+00 -6.08719063E+00 -5.85082581E+00  0.00000000E+00
     661  2.73706103E-01  7.49210213E-02  5.61502258E-03  6.66556025E-01  3.73175652E-25  0.00000000E+00 -6.08719729E+00 -5.85081385E+00  0.00000000E+00
     671  2.73649422E-01  7.48899248E-02  5.61034065E-03  6.66557320E-01  3.68714410E-25  0.00000000E+00 -6.08720382E+00 -5.85080180E+00  0.00000000E+00
     681  2.73593207E-01  7.48590948E-02  5.60570197E-03  6.66558533E-01  3.64534396E-25  0.00000000E+00 -6.08721024E+00 -5.85078966E+00  0.00000000E+00
     691  2.73537407E-01  7.48285020E-02  5.60110208E-03  6.66559667E-01  3.60629308E-25  0.00000000E+00 -6.08721656E+00 -5.85077744E+00  0.00000000E+00
     701  2.73481971E-01  7.47981194E-02  5.59653684E-03  6.66560724E-01  3.56993095E-25  0.00000000E+00 -6.08722278E+00 -5.85076513E+00  0.00000000E+00
     711  2.73426856E-01  7.47679219E-02  5.59200245E-03  6.66561704E-01  3.53619917E-25  0.00000000E+00 -6.08722891E+00 -5.85075273E+00  0.00000000E+00
     721  2.73372018E-01  7.47378865E-02  5.58749540E-03  6.66562609E-01  3.50504114E-25  0.00000000E+00 -6.08723496E+00 -5.85074023E+00  0.00000000E+00
     731  2.73317419E-01  7.47079923E-02  5.58301251E-03  6.66563441E-01  3.47640166E-25  0.00000000E+00 -6.08724093E+00 -5.85072764E+00  0.00000000E+00
     741  2.73263027E-01  7.46782202E-02  5.57855086E-03  6.66564202E-01  3.45022659E-25  0.00000000E+00 -6.08724682E+00 -5.85071495E+00  0.00000000E+00
     751  2.73208808E-01  7.46485530E-02  5.57410785E-03  6.66564892E-01  3.42646243E-25  0.00000000E+00 -6.08725265E+00 -5.85070216E+00  0.00000000E+00
     761  2.73154735E-01  7.46189752E-02  5.56968112E-03  6.66565514E-01  3.40505600E-25  0.00000000E+00 -6.08725841E+00 -5.85068927E+00  0.00000000E+00
     771  2.73100783E-01  7.45894733E-02  5.56526859E-03  6.66566068E-01  3.38595398E-25  0.00000000E+00 -6.08726411E+00 -5.85067629E+00  0.00000000E+00
     781  2.73046932E-01  7.45600352E-02  5.56086843E-03  6.66566557E-01  3.36910265E-25  0.00000000E+00 -6.08726976E+00 -5.85066320E+00  0.00000000E+00
     791  2.72993161E-01  7.45306507E-02  5.55647909E-03  6.66566982E-01  3.35444750E-25  0.00000000E+00 -6.08727535E+00 -5.85065002E+00  0.00000000E+00
     801  2.72939456E-01  7.45013112E-02  5.55209922E-03  6.66567344E-01  3.34193294E-25  0.00000000E+00 -6.08728090E+00 -5.85063675E+00  0.00000000E+00
     811  2.72885803E-01  7.44720094E-02  5.54772773E-03  6.66567645E-01  3.33150203E-25  0.00000000E+00 -6.08728640E+00 -5.85062337E+00  0.00000000E+00
     821  2.72832192E-01  7.44427397E-02  5.54336373E-03  6.66567887E-01  3.32309627E-25  0.00000000E+00 -6.08729186E+00 -5.85060991E+00  0.00000000E+00
     831  2.72778617E-01  7.44134979E-02  5.53900655E-03  6.66568071E-01  3.31665542E-25  0.00000000E+00 -6.08729728E+00 -5.85059635E+00  0.00000000E+00
     841  2.72725071E-01  7.43842811E-02  5.53465574E-03  6.66568199E-01  3.31211739E-25  0.00000000E+00 -6.08730266E+00 -5.85058270E+00  0.00000000E+00
     851  2.72671552E-01  7.43550876E-02  5.53031101E-03  6.66568274E-01  3.30941816E-25  0.00000000E+00 -6.08730801E+00 -5.85056896E+00  0.00000000E+00
     861  2.72618059E-01  7.43259170E-02  5.52597224E-03  6.66568296E-01  3.30849180E-25  0.00000000E+00 -6.08731332E+00 -5.85055514E+00  0.00000000E+00
     871  2.72564593E-01  7.42967698E-02  5.52163950E-03  6.66568268E-01  3.30927056E-25  0.00000000E+00 -6.08731860E+00 -5.85054123E+00  0.00000000E+00
     881  2.72511159E-01  7.42676477E-02  5.51731298E-03  6.66568191E-01  3.31168498E-25  0.00000000E+00 -6.08732385E+00 -5.85052725E+00  0.00000000E+00
     891  2.72457759E-01  7.42385532E-02  5.51299300E-03  6.66568069E-01  3.31566408E-25  0.00000000E+00 -6.08732908E+00 -5.85051319E+00  0.00000000E+00
     901  2.72404402E-01  7.42094894E-02  5.50868002E-03  6.66567902E-01  3.32113563E-25  0.00000000E+00 -6.08733428E+00 -5.85049906E+00  0.00000000E+00
     911  2.72351093E-01  7.41804602E-02  5.50437456E-03  6.66567693E-01  3.32802645E-25  0.00000000E+00 -6.08733945E+00 -5.85048486E+00  0.00000000E+00
     921  2.72297842E-01  7.41514703E-02  5.50007725E-03  6.66567444E-01  3.33626273E-25  0.00000000E+00 -6.08734460E+00 -5.85047060E+00  0.00000000E+00
     931  2.72244657E-01  7.41225243E-02  5.49578877E-03  6.66567157E-01  3.34577045E-25  0.00000000E+00 -6.08734972E+00 -5.85045627E+00  0.00000000E+00
     941  2.72191550E-01  7.40936277E-02  5.49150985E-03  6.66566835E-01  3.35647576E-25  0.00000000E+00 -6.08735482E+00 -5.85044189E+00  0.00000000E+00
     951  2.72138529E-01  7.40647858E-02  5.48724126E-03  6.66566479E-01  3.36830541E-25  0.00000000E+00 -6.08735991E+00 -5.85042746E+00  0.00000000E+00
     961  2.72085605E-01  7.40360043E-02  5.48298379E-03  6.66566092E-01  3.38118715E-25  0.00000000E+00 -6.08736497E+00 -5.85041298E+00  0.00000000E+00
     971  2.72032790E-01  7.40072889E-02  5.47873823E-03  6.66565675E-01  3.39505017E-25  0.00000000E+00 -6.08737001E+00 -5.85039846E+00  0.00000000E+00
     981  2.71980094E-01  7.39786451E-02  5.47450536E-03  6.66565231E-01  3.40982551E-25  0.00000000E+00 -6.08737503E+00 -5.85038389E+00  0.00000000E+00
     991  2.71927526E-01  7.39500784E-02  5.47028595E-03  6.66564761E-01  3.42544639E-25  0.00000000E+00 -6.08738003E+00 -5.85036929E+00  0.00000000E+00
    1001  2.71875098E-01  7.39215941E-02  5.46608073E-03  6.66564267E-01  3.44184862E-25  0.00000000E+00 -6.08738502E+00 -5.85035465E+00  0.00000000E+00
    1011  2.71822819E-01  7.38931973E-02  5.46189041E-03  6.66563752E-01  3.45897086E-25  0.00000000E+00 -6.08738999E+00 -5.85033998E+00  0.00000000E+00
    1021  2.71770696E-01  7.38648925E-02  5.45771563E-03  6.66563216E-01  3.47675489E-25  0.00000000E+00 -6.08739494E+00 -5.85032528E+00  0.00000000E+00
    1031  2.71718740E-01  7.38366842E-02  5.45355700E-03  6.66562662E-01  3.49514590E-25  0.00000000E+00 -6.08739987E+00 -5.85031056E+00  0.00000000E+00
    1041  2.71666957E-01  7.38085764E-02  5.44941504E-03  6.66562090E-01  3.51409258E-25  0.00000000E+00 -6.08740479E+00 -5.85029582E+00  0.00000000E+00
    1051  2.71615353E-01  7.37805724E-02  5.44529026E-03  6.66561503E-01  3.53354730E-25  0.00000000E+00 -6.08740970E+00 -5.85028105E+00  0.00000000E+00
    1061  2.71563936E-01  7.37526754E-02  5.44118304E-03  6.66560902E-01  3.55346623E-25  0.00000000E+00 -6.08741459E+00 -5.85026627E+00  0.00000000E+00
    1071  2.71512709E-01  7.37248880E-02  5.43709375E-03  6.66560287E-01  3.57380932E-25  0.00000000E+00 -6.08741946E+00 -5.85025148E+00  0.00000000E+00
    1081  2.71461677E-01  7.36972124E-02  5.43302267E-03  6.66559660E-01  3.59454039E-25  0.00000000E+00 -6.08742432E+00 -5.85023666E+00  0.00000000E+00
    1091  2.71410844E-01  7.36696502E-02  5.42897000E-03  6.66559021E-01  3.61562702E-25  0.00000000E+00 -6.08742917E+00 -5.85022184E+00  0.00000000E+00
    1101  2.71360211E-01  7.36422025E-02  5.42493589E-03  6.66558372E-01  3.63704058E-25  0.00000000E+00 -6.08743401E+00 -5.85020700E+00  0.00000000E+00
    1111  2.71309781E-01  7.36148703E-02  5.42092043E-03  6.66557714E-01  3.65875610E-25  0.00000000E+00 -6.08743883E+00 -5.85019215E+00  0.00000000E+00
    1121  2.71259553E-01  7.35876537E-02  5.41692362E-03  6.66557046E-01  3.68075216E-25  0.00000000E+00 -6.08744364E+00 -5.85017729E+00  0.00000000E+00
    1131  2.71209529E-01  7.35605527E-02  5.41294542E-03  6.66556370E-01  3.70301080E-25  0.00000000E+00 -6.08744844E+00 -5.85016242E+00  0.00000000E+00
    1141  2.71159706E-01  7.35335667E-02  5.40898572E-03  6.66555686E-01  3.72551735E-25  0.00000000E+00 -6.08745323E+00 -5.85014754E+00  0.00000000E+00
    1151  2.71110084E-01  7.35066948E-02  5.40504437E-03  6.66554993E-01  3.74826029E-25  0.00000000E+00 -6.08745801E+00 -5.85013265E+00  0.00000000E+00
    1161  2.71060661E-01  7.34799357E-02  5.40112115E-03  6.66554294E-01  3.77123114E-25  0.00000000E+00 -6.08746278E+00 -5.85011775E+00  0.00000000E+00
    1171  2.71011433E-01  7.34532877E-02  5.39721579E-03  6.66553587E-01  3.79442420E-25  0.00000000E+00 -6.08746754E+00 -5.85010284E+00  0.00000000E+00
    1181  2.70962396E-01  7.34267488E-02  5.39332800E-03  6.66552873E-01  3.81783649E-25  0.00000000E+00 -6.08747229E+00 -5.85008791E+00  0.00000000E+00
    1191  2.70913548E-01  7.34003168E-02  5.38945740E-03  6.66552151E-01  3.84146754E-25  0.00000000E+00 -6.08747704E+00 -5.85007297E+00  0.00000000E+00
    1201  2.70864882E-01  7.33739892E-02  5.38560362E-03  6.66551423E-01  3.86531923E-25  0.00000000E+00 -6.08748177E+00 -5.85005802E+00  0.00000000E+00
    1211  2.70816394E-01  7.33477630E-02  5.38176621E-03  6.66550687E-01  3.88939564E-25  0.00000000E+00 -6.08748650E+00 -5.85004305E+00  0.00000000E+00
    1221  2.70768079E-01  7.33216351E-02  5.37794472E-03  6.66549943E-01  3.91370293E-25  0.00000000E+00 -6.08749122E+00 -5.85002806E+00  0.00000000E+00
    1231  2.70719930E-01  7.32956024E-02  5.37413865E-03  6.66549191E-01  3.93824915E-25  0.00000000E+00 -6.08749594E+00 -5.85001305E+00  0.00000000E+00
    1241  2.70671941E-01  7.32696613E-02  5.37034748E-03  6.66548432E-01  3.96304416E-25  0.00000000E+00 -6.08750065E+00 -5.84999802E+00  0.00000000E+00
    1251  2.70624105E-01  7.32438081E-02  5.36657065E-03  6.66547664E-01  3.98809946E-25  0.00000000E+00 -6.08750536E+00 -5.84998297E+00  0.00000000E+00
    1261  2.70576415E-01  7.32180389E-02  5.36280760E-03  6.66546887E-01  4.01342809E-25  0.00000000E+00 -6.08751006E+00 -5.84996789E+00  0.00000000E+00
    1271  2.70528864E-01  7.31923498E-02  5.35905773E-03  6.66546101E-01  4.03904453E-25  0.00000000E+00 -6.08751475E+00 -5.84995279E+00  0.00000000E+00
    1281  2.70481444E-01  7.31667367E-02  5.35532043E-03  6.66545305E-01  4.06496461E-25  0.00000000E+00 -6.08751945E+00 -5.84993766E+00  0.00000000E+00
    1291  2.70434147E-01  7.31411952E-02  5.35159509E-03  6.66544500E-01  4.09120537E-25  0.00000000E+00 -6.08752414E+00 -5.84992249E+00  0.00000000E+00
    1301  2.70386965E-01  7.31157210E-02  5.34788104E-03  6.66543683E-01  4.11778506E-25  0.00000000E+00 -6.08752883E+00 -5.84990729E+00  0.00000000E+00
    1311  2.70339890E-01  7.30903097E-02  5.34417765E-03  6.66542855E-01  4.14472299E-25  0.00000000E+00 -6.08753351E+00 -5.84989205E+00  0.00000000E+00
    1321  2.70292914E-01  7.30649567E-02  5.34048425E-03  6.66542015E-01  4.17203952E-25  0.00000000E+00 -6.08753820E+00 -5.84987677E+00  0.00000000E+00
    1331  2.70246028E-01  7.30396573E-02  5.33680016E-03  6.66541163E-01  4.19975599E-25  0.00000000E+00 -6.08754288E+00 -5.84986145E+00  0.00000000E+00
    1341  2.70199223E-01  7.30144070E-02  5.33312469E-03  6.66540297E-01  4.22789466E-25  0.00000000E+00 -6.08754757E+00 -5.84984609E+00  0.00000000E+00
    1351  2.70152490E-01  7.29892008E-02  5.32945716E-03  6.66539418E-01  4.25647869E-25  0.00000000E+00 -6.08755225E+00 -5.84983067E+00  0.00000000E+00
    1361  2.70105821E-01  7.29640341E-02  5.32579687E-03  6.66538523E-01  4.28553212E-25  0.00000000E+00 -6.08755694E+00 -5.84981521E+00  0.00000000E+00
    1371  2.70059206E-01  7.29389019E-02  5.32214312E-03  6.66537614E-01  4.31507982E-25  0.00000000E+00 -6.08756162E+00 -5.84979969E+00  0.00000000E+00
    1381  2.70012637E-01  7.29137993E-02  5.31849519E-03  6.66536688E-01  4.34514749E-25  0.00000000E+00 -6.08756631E+00 -5.84978411E+00  0.00000000E+00
    1391  2.69966104E-01  7.28887215E-02  5.31485238E-03  6.66535746E-01  4.37576167E-25  0.00000000E+00 -6.08757100E+00 -5.84976848E+00  0.00000000E+00
    1401  2.69919597E-01  7.28636634E-02  5.31121396E-03  6.66534785E-01  4.40694969E-25  0.00000000E+00 -6.08757569E+00 -5.84975278E+00  0.00000000E+00
    1411  2.69873108E-01  7.28386200E-02  5.30757921E-03  6.66533807E-01  4.43873975E-25  0.00000000E+00 -6.08758039E+00 -5.84973701E+00  0.00000000E+00
    1421  2.69826627E-01  7.28135862E-02  5.30394742E-03  6.66532808E-01  4.47116088E-25  0.00000000E+00 -6.08758509E+00 -5.84972118E+00  0.00000000E+00
    1431  2.69780145E-01  7.27885571E-02  5.30031785E-03  6.66531789E-01  4.50424296E-25  0.00000000E+00 -6.08758979E+00 -5.84970527E+00  0.00000000E+00
    1441  2.69733651E-01  7.27635273E-02  5.29668977E-03  6.66530749E-01  4.53801678E-25  0.00000000E+00 -6.08759450E+00 -5.84968929E+00  0.00000000E+00
    1451  2.69687137E-01  7.27384919E-02  5.29306244E-03  6.66529687E-01  4.57251405E-25  0.00000000E+00 -6.08759921E+00 -5.84967324E+00  0.00000000E+00
    1461  2.69640592E-01  7.27134456E-02  5.28943513E-03  6.66528602E-01  4.60776743E-25  0.00000000E+00 -6.08760393E+00 -5.84965710E+00  0.00000000E+00
