   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  2.78953785E+00  7.78152318E+00  6.05521558E+01  6.66666376E-01  1.09409086E-25  0.00000000E+00 -6.23870424E+00 -5.90256809E+00  0.00000000E+00
     371  2.78953974E+00  7.78153364E+00  6.05523159E+01  6.66666391E-01  1.03602204E-25  0.00000000E+00 -6.23870610E+00 -5.90256959E+00  0.00000000E+00
     381  2.78954149E+00  7.78154330E+00  6.05524635E+01  6.66666406E-01  9.82455503E-26  0.00000000E+00 -6.23870783E+00 -5.90257097E+00  0.00000000E+00
     391  2.78954310E+00  7.78155222E+00  6.05526000E+01  6.66666419E-01  9.32937633E-26  0.00000000E+00 -6.23870942E+00 -5.90257225E+00  0.00000000E+00
     401  2.78954460E+00  7.78156048E+00  6.05527263E+01  6.66666431E-01  8.87070552E-26  0.00000000E+00 -6.23871090E+00 -5.90257344E+00  0.00000000E+00
     411  2.78954598E+00  7.78156814E+00  6.05528435E+01  6.66666442E-01  8.44504065E-26  0.00000000E+00 -6.23871227E+00 -5.90257454E+00  0.00000000E+00
     421  2.78954727E+00  7.78157526E+00  6.05529524E+01  6.66666453E-01  8.04928980E-26  0.00000000E+00 -6.23871354E+00 -5.90257556E+00  0.00000000E+00
     431  2.78954847E+00  7.78158189E+00  6.05530538E+01  6.66666463E-01  7.68071471E-26  0.00000000E+00 -6.23871472E+00 -5.90257651E+00  0.00000000E+00
     441  2.78954959E+00  7.78158807E+00  6.05531483E+01  6.66666472E-01  7.33688340E-26  0.00000000E+00 -6.23871583E+00 -5.90257740E+00  0.00000000E+00
     451  2.78955063E+00  7.78159384E+00  6.05532366E+01  6.66666480E-01  7.01562988E-26  0.00000000E+00 -6.23871686E+00 -5.90257823E+00  0.00000000E+00
     461  2.78955161E+00  7.78159924E+00  6.05533191E+01  6.66666488E-01  6.71502011E-26  0.00000000E+00 -6.23871783E+00 -5.90257901E+00  0.00000000E+00
     471  2.78955252E+00  7.78160429E+00  6.05533964E+01  6.66666496E-01  6.43332273E-26  0.00000000E+00 -6.23871874E+00 -5.90257973E+00  0.00000000E+00
     481  2.78955338E+00  7.78160904E+00  6.05534690E+01  6.66666503E-01  6.16898419E-26  0.00000000E+00 -6.23871959E+00 -5.90258042E+00  0.00000000E+00
     491  2.78955418E+00  7.78161349E+00  6.05535371E+01  6.66666509E-01  5.92060701E-26  0.00000000E+00 -6.23872038E+00 -5.90258106E+00  0.00000000E+00
     501  2.78955494E+00  7.78161768E+00  6.05536011E+01  6.66666516E-01  5.68693183E-26  0.00000000E+00 -6.23872114E+00 -5.90258166E+00  0.00000000E+00
     511  2.78955565E+00  7.78162162E+00  6.05536614E+01  6.66666521E-01  5.46682090E-26  0.00000000E+00 -6.23872184E+00 -5.90258223E+00  0.00000000E+00
     521  2.78955632E+00  7.78162533E+00  6.05537182E+01  6.66666527E-01  5.25924450E-26  0.00000000E+00 -6.23872251E+00 -5.90258277E+00  0.00000000E+00
     531  2.78955696E+00  7.78162884E+00  6.05537718E+01  6.66666532E-01  5.06326873E-26  0.00000000E+00 -6.23872314E+00 -5.90258327E+00  0.00000000E+00
     541  2.78955756E+00  7.78163215E+00  6.05538224E+01  6.66666537E-01  4.87804511E-26  0.00000000E+00 -6.23872374E+00 -5.90258375E+00  0.00000000E+00
     551  2.78955812E+00  7.78163528E+00  6.05538703E+01  6.66666542E-01  4.70280134E-26  0.00000000E+00 -6.23872430E+00 -5.90258420E+00  0.00000000E+00
