#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    4.45219493E-09  3.60614673E-09  1.66551658E-09  5.96659697E-09
      2 -0.400000 -0.450000 -0.450000        1    9.02785832E-10  3.23908282E-09  3.71454503E-09  5.01044156E-09
      3 -0.350000 -0.450000 -0.450000        1    6.37077608E-09  2.95096003E-09  8.26030701E-10  7.06946106E-09
      4 -0.300000 -0.450000 -0.450000        1    1.16637123E-09  6.29174059E-10  1.15133085E-09  1.75551832E-09
      5 -0.250000 -0.450000 -0.450000        1    3.11418378E-09  7.20305559E-10  5.52427815E-10  3.24378747E-09
      6 -0.200000 -0.450000 -0.450000        1    3.54677945E-09  8.71617758E-10  1.94036529E-11  3.65236067E-09
      7 -0.150000 -0.450000 -0.450000        1    2.15943668E-09  4.77751576E-10  3.03302284E-09  3.75375025E-09
      8 -0.100000 -0.450000 -0.450000        1    3.96232171E-09  2.32218024E-09  6.35628278E-09  7.84186490E-09
      9 -0.050000 -0.450000 -0.450000        1    2.95220509E-09  1.52227433E-09  3.16027777E-09  4.58477804E-09
     10  0.000000 -0.450000 -0.450000        1    1.16737257E-09  4.44722975E-09  4.31715096E-09  6.30701226E-09
     11  0.050000 -0.450000 -0.450000        1    1.36845272E-08  3.08139319E-09  1.08329742E-08  1.77232785E-08
     12  0.100000 -0.450000 -0.450000        1    5.22926155E-09  5.60988054E-09  1.70157926E-09  7.85565452E-09
     13  0.150000 -0.450000 -0.450000        1    4.23416829E-09  3.21250637E-09  1.74789020E-10  5.31779367E-09
     14  0.200000 -0.450000 -0.450000        1    7.74278446E-10  5.26431829E-09  7.13761512E-09  8.90270205E-09
     15  0.250000 -0.450000 -0.450000        1    6.02051914E-10  3.15830439E-09  3.33826870E-09  4.63480216E-09
     16  0.300000 -0.450000 -0.450000        1    4.43910658E-10  2.96886023E-09  3.83815335E-09  4.87263880E-09
     17  0.350000 -0.450000 -0.450000        1    1.55464882E-09  2.21269101E-09  1.99602349E-09  3.36110759E-09
     18  0.400000 -0.450000 -0.450000        1    1.68244447E-09  2.94443436E-09  7.23287313E-09  7.98841454E-09
     19  0.450000 -0.450000 -0.450000        1    1.16263910E-09  7.94374584E-10  1.78277545E-09  2.27179422E-09
     20  0.500000 -0.450000 -0.450000        1    1.12738783E-09  2.05671910E-09  4.68902807E-10  2.39185423E-09
     21 -0.450000 -0.400000 -0.450000        1    4.92709650E-09  1.65174265E-09  1.16078970E-10  5.19788496E-09
     22 -0.400000 -0.400000 -0.450000        1    3.70641089E-09  9.48798949E-10  1.03274183E-09  3.96285968E-09
     23 -0.350000 -0.400000 -0.450000        1    1.98374490E-10  3.21097445E-09  7.37554949E-11  3.21794177E-09
     24 -0.300000 -0.400000 -0.450000        1    4.24093288E-11  2.16990534E-09  1.72979340E-09  2.77533295E-09
     25 -0.250000 -0.400000 -0.450000        1    3.16984484E-09  1.57934989E-09  4.14413635E-09  5.45125018E-09
     26 -0.200000 -0.400000 -0.450000        1    2.09250252E-09  1.00224381E-08  2.01278311E-10  1.02405246E-08
     27 -0.150000 -0.400000 -0.450000        1    1.50654124E-09  2.89792032E-09  2.70539574E-09  4.24108179E-09
     28 -0.100000 -0.400000 -0.450000        1    2.50125244E-09  2.87496732E-09  5.51442895E-09  6.70303122E-09
     29 -0.050000 -0.400000 -0.450000        1    2.45122632E-09  2.70298241E-09  6.33768539E-09  7.31306232E-09
     30  0.000000 -0.400000 -0.450000        1    4.52123060E-09  1.36079394E-09  7.05689144E-09  8.49075987E-09
     31  0.050000 -0.400000 -0.450000        1    1.20541656E-09  2.59778624E-10  2.43379274E-09  2.72834402E-09
     32  0.100000 -0.400000 -0.450000        1    5.96966652E-09  1.08354416E-08  2.84874566E-09  1.26948440E-08
     33  0.150000 -0.400000 -0.450000        1    3.57879405E-09  2.29880645E-09  3.23400537E-09  5.34332000E-09
     34  0.200000 -0.400000 -0.450000        1    1.27648109E-10  2.85899572E-10  3.38672153E-09  3.40116382E-09
     35  0.250000 -0.400000 -0.450000        1    8.06118521E-09  6.03616236E-09  1.28452623E-09  1.01522397E-08
     36  0.300000 -0.400000 -0.450000        1    3.80825137E-09  1.51082170E-10  2.30631633E-09  4.45473898E-09
     37  0.350000 -0.400000 -0.450000        1    9.62838525E-10  4.86372654E-10  4.28787289E-09  4.42147829E-09
     38  0.400000 -0.400000 -0.450000        1    1.76766551E-09  6.60091581E-10  3.41091861E-11  1.88720049E-09
     39  0.450000 -0.400000 -0.450000        1    1.26838270E-09  1.57249657E-09  4.00067625E-09  4.48184678E-09
     40  0.500000 -0.400000 -0.450000        1    5.56340258E-10  4.76548428E-09  2.77843187E-10  4.80588720E-09
     41 -0.450000 -0.350000 -0.450000        1    5.29250081E-09  3.28379583E-09  5.87892373E-09  8.56478979E-09
     42 -0.400000 -0.350000 -0.450000        1    6.31850568E-09  5.66297677E-10  2.69152930E-09  6.89119272E-09
     43 -0.350000 -0.350000 -0.450000        1    1.88660106E-10  7.86327703E-09  2.44475849E-09  8.23672037E-09
     44 -0.300000 -0.350000 -0.450000        1    2.83330253E-09  6.30893724E-09  2.22203085E-09  7.26413886E-09
     45 -0.250000 -0.350000 -0.450000        1    7.65760926E-10  3.69841138E-09  4.32072568E-09  5.73875482E-09
     46 -0.200000 -0.350000 -0.450000        1    2.85235043E-10  3.82305508E-10  5.04011895E-09  5.06263919E-09
     47 -0.150000 -0.350000 -0.450000        1    1.22388294E-09  3.55306637E-09  1.34163165E-09  3.99025633E-09
     48 -0.100000 -0.350000 -0.450000        1    5.28366801E-09  1.44445957E-09  4.58918266E-10  5.49674604E-09
     49 -0.050000 -0.350000 -0.450000        1    4.15939941E-09  2.69640383E-10  7.63068837E-09  8.69486713E-09
     50  0.000000 -0.350000 -0.450000        1    1.30825527E-09  4.83472688E-10  6.81554839E-09  6.95679363E-09
     51  0.050000 -0.350000 -0.450000        1    1.86316944E-09  3.43022575E-09  8.34575408E-09  9.21354765E-09
     52  0.100000 -0.350000 -0.450000        1    1.70788944E-10  1.38077392E-09  5.24653362E-10  1.48693195E-09
     53  0.150000 -0.350000 -0.450000        1    1.81207306E-10  1.66079086E-09  1.36678907E-10  1.67622895E-09
     54  0.200000 -0.350000 -0.450000        1    4.10915509E-10  1.26419842E-09  3.82823652E-09  4.05246149E-09
     55  0.250000 -0.350000 -0.450000        1    1.08817888E-10  8.78546886E-10  2.05969316E-09  2.24187909E-09
     56  0.300000 -0.350000 -0.450000        1    1.87469656E-09  7.25061246E-10  1.52829494E-09  2.52505176E-09
     57  0.350000 -0.350000 -0.450000        1    1.68855755E-10  2.39434338E-09  2.86606126E-09  3.73840871E-09
     58  0.400000 -0.350000 -0.450000        1    6.55916865E-10  4.03685642E-09  1.91815562E-09  4.51727326E-09
     59  0.450000 -0.350000 -0.450000        1    1.30519884E-09  4.75791436E-09  1.91298826E-09  5.29157984E-09
     60  0.500000 -0.350000 -0.450000        1    4.77150015E-09  2.54939010E-09  1.11289994E-09  5.52314673E-09
     61 -0.450000 -0.300000 -0.450000        1    3.53689678E-10  6.53574013E-09  1.60299581E-09  6.73873808E-09
     62 -0.400000 -0.300000 -0.450000        1    1.59308308E-10  6.51714189E-09  1.57169597E-10  6.52098304E-09
     63 -0.350000 -0.300000 -0.450000        1    5.12301676E-09  2.62042567E-09  3.26556321E-09  6.61633089E-09
     64 -0.300000 -0.300000 -0.450000        1    2.73907448E-09  5.29279633E-09  3.42640113E-09  6.87433246E-09
     65 -0.250000 -0.300000 -0.450000        1    1.31918348E-09  5.65588648E-09  5.04372314E-09  7.69210244E-09
     66 -0.200000 -0.300000 -0.450000        1    1.62217318E-09  1.04026081E-09  2.56726297E-09  3.21005101E-09
     67 -0.150000 -0.300000 -0.450000        1    4.66732782E-11  2.64202411E-09  3.86727732E-09  4.68383429E-09
     68 -0.100000 -0.300000 -0.450000        1    2.44088853E-09  2.09178690E-09  8.21350326E-12  3.21458811E-09
     69 -0.050000 -0.300000 -0.450000        1    6.97297339E-09  3.78869320E-09  8.51056001E-10  7.98128125E-09
     70  0.000000 -0.300000 -0.450000        1    1.93097193E-09  1.39470546E-08  1.77334057E-09  1.41913255E-08
     71  0.050000 -0.300000 -0.450000        1    1.43338769E-08  4.02605250E-10  1.01780512E-08  1.75845058E-08
     72  0.100000 -0.300000 -0.450000        1    1.01102972E-08  1.31524571E-09  8.31689045E-09  1.31574560E-08
     73  0.150000 -0.300000 -0.450000        1    2.82958183E-09  7.23780566E-09  6.30938653E-09  1.00100311E-08
     74  0.200000 -0.300000 -0.450000        1    7.28693018E-09  7.58690597E-10  2.97956007E-10  7.33237619E-09
     75  0.250000 -0.300000 -0.450000        1    7.56227030E-10  4.08243719E-10  3.35271248E-09  3.46110145E-09
     76  0.300000 -0.300000 -0.450000        1    1.42721974E-09  2.82086779E-09  5.70434069E-09  6.52179070E-09
     77  0.350000 -0.300000 -0.450000        1    3.12654170E-09  3.57654230E-10  1.60793633E-09  3.53392682E-09
     78  0.400000 -0.300000 -0.450000        1    1.66097911E-09  1.76436722E-09  9.73966638E-11  2.42514523E-09
     79  0.450000 -0.300000 -0.450000        1    3.49577489E-10  8.86948171E-09  1.78346178E-08  1.99214332E-08
     80  0.500000 -0.300000 -0.450000        1    1.59646218E-09  5.63446647E-10  2.96400475E-09  3.41342758E-09
     81 -0.450000 -0.250000 -0.450000        1    1.09734151E-09  6.01197454E-10  5.15224850E-10  1.35316422E-09
     82 -0.400000 -0.250000 -0.450000        1    9.17750623E-10  5.38316316E-09  2.43686720E-09  5.97988575E-09
     83 -0.350000 -0.250000 -0.450000        1    9.26307243E-10  4.27696380E-09  4.32279055E-10  4.39742307E-09
     84 -0.300000 -0.250000 -0.450000        1    3.25585251E-09  8.70052066E-10  1.94628461E-09  3.89173354E-09
     85 -0.250000 -0.250000 -0.450000        1    3.92431913E-09  1.73239795E-09  1.13504744E-11  4.28971003E-09
     86 -0.200000 -0.250000 -0.450000        1    1.07145310E-09  6.88164833E-09  2.35893792E-09  7.35320907E-09
     87 -0.150000 -0.250000 -0.450000        1    1.72217939E-10  1.07969702E-08  2.83980043E-09  1.11655135E-08
     88 -0.100000 -0.250000 -0.450000        1    5.12510889E-09  7.12553522E-09  2.55463686E-09  9.14145299E-09
     89 -0.050000 -0.250000 -0.450000        1    4.16161363E-10  3.07503686E-09  2.84525739E-09  4.21005126E-09
     90  0.000000 -0.250000 -0.450000        1    5.74862657E-10  4.52523138E-09  2.98478028E-11  4.56169673E-09
     91  0.050000 -0.250000 -0.450000        1    5.47207185E-09  1.59817250E-09  9.08454801E-09  1.07250519E-08
     92  0.100000 -0.250000 -0.450000        1    1.60785225E-09  3.93650909E-09  6.41721206E-09  7.69817533E-09
     93  0.150000 -0.250000 -0.450000        1    1.46942544E-09  3.25320638E-09  1.36181484E-09  3.82061547E-09
     94  0.200000 -0.250000 -0.450000        1    5.13619686E-09  2.76352108E-09  3.27100645E-09  6.68708084E-09
