#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    1.63230342E-09  3.46616652E-10  1.52265623E-09  2.25899083E-09
      2 -0.400000 -0.450000 -0.450000        1    1.49324127E-09  1.42491160E-10  5.59387994E-10  1.60093353E-09
      3 -0.350000 -0.450000 -0.450000        1    1.34653554E-10  9.54311294E-10  1.53486311E-10  9.75909665E-10
      4 -0.300000 -0.450000 -0.450000        1    2.04925526E-09  3.52954094E-10  4.19514007E-11  2.07985183E-09
      5 -0.250000 -0.450000 -0.450000        1    1.95417488E-09  2.19735078E-09  7.37176884E-10  3.03159689E-09
      6 -0.200000 -0.450000 -0.450000        1    1.38360942E-10  7.99866651E-10  1.32743581E-10  8.22527366E-10
      7 -0.150000 -0.450000 -0.450000        1    1.41842858E-09  2.77761059E-10  1.45172755E-09  2.04856138E-09
      8 -0.100000 -0.450000 -0.450000        1    1.35732930E-11  1.31012629E-09  1.34558298E-10  1.31708810E-09
      9 -0.050000 -0.450000 -0.450000        1    8.12682442E-10  1.81509179E-09  2.56027457E-09  3.24191561E-09
     10  0.000000 -0.450000 -0.450000        1    1.90556532E-09  2.93675528E-10  2.33579615E-09  3.02875687E-09
     11  0.050000 -0.450000 -0.450000        1    1.21364711E-09  8.38234009E-10  3.32660970E-09  3.63894320E-09
     12  0.100000 -0.450000 -0.450000        1    1.06972452E-09  3.31702857E-10  1.65977338E-09  2.00229494E-09
     13  0.150000 -0.450000 -0.450000        1    1.27692888E-09  1.59313289E-09  5.52330121E-10  2.11510953E-09
     14  0.200000 -0.450000 -0.450000        1    9.51561529E-10  1.43668613E-09  4.40133277E-09  4.72665490E-09
     15  0.250000 -0.450000 -0.450000        1    1.54585754E-09  1.23646191E-09  3.60859967E-10  2.01214650E-09
     16  0.300000 -0.450000 -0.450000        1    7.35013139E-10  1.18721837E-09  1.62362572E-09  2.14146965E-09
     17  0.350000 -0.450000 -0.450000        1    2.33268924E-09  3.75327911E-09  3.18933795E-09  5.44980914E-09
