#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     54  0.200000 -0.350000 -0.450000        1    6.70096257E-10  1.68919855E-09  4.17747821E-09  4.55562783E-09
     55  0.250000 -0.350000 -0.450000        1    2.75238471E-09  1.45671767E-09  8.30783510E-10  3.22301865E-09
     56  0.300000 -0.350000 -0.450000        1    2.71307110E-09  5.40683197E-09  6.34972676E-10  6.08257980E-09
     57  0.350000 -0.350000 -0.450000        1    4.90224785E-09  5.38735843E-10  4.64763111E-10  4.95361233E-09
     58  0.400000 -0.350000 -0.450000        1    1.09538013E-09  4.11802399E-09  3.79665454E-09  5.70723794E-09
     59  0.450000 -0.350000 -0.450000        1    1.19135729E-09  3.67434042E-09  1.69283189E-09  4.21732018E-09
     60  0.500000 -0.350000 -0.450000        1    6.56610050E-09  1.06272883E-09  4.13965316E-09  7.83452593E-09
     61 -0.450000 -0.300000 -0.450000        1    1.46837218E-11  8.26308907E-09  8.52924137E-10  8.30700525E-09
     62 -0.400000 -0.300000 -0.450000        1    8.64399083E-09  4.85654886E-09  6.40601399E-10  9.93554299E-09
     63 -0.350000 -0.300000 -0.450000        1    4.02460364E-10  4.41997279E-09  3.52840039E-09  5.66989798E-09
     64 -0.300000 -0.300000 -0.450000        1    1.95888602E-09  5.15651546E-09  4.03504468E-09  6.83435964E-09
     65 -0.250000 -0.300000 -0.450000        1    2.03981848E-09  8.15205631E-09  1.93207102E-08  2.10690941E-08
     66 -0.200000 -0.300000 -0.450000        1    5.38411954E-09  7.12114814E-10  6.14658500E-10  5.46567981E-09
     67 -0.150000 -0.300000 -0.450000        1    4.35013970E-09  1.18169748E-08  1.31898323E-10  1.25929348E-08
     68 -0.100000 -0.300000 -0.450000        1    1.07869551E-08  4.39561490E-09  3.99703350E-09  1.23148734E-08
     69 -0.050000 -0.300000 -0.450000        1    4.77750817E-09  5.16829160E-09  5.36737307E-09  8.85124376E-09
     70  0.000000 -0.300000 -0.450000        1    1.79440865E-10  4.57098422E-09  1.95173355E-09  4.97346556E-09
     71  0.050000 -0.300000 -0.450000        1    2.08219468E-08  3.98322864E-10  9.13085973E-10  2.08457635E-08
     72  0.100000 -0.300000 -0.450000        1    4.39535839E-09  2.16143491E-09  2.35360571E-09  5.43419139E-09
     73  0.150000 -0.300000 -0.450000        1    2.93213348E-10  7.69564105E-09  3.83899940E-09  8.60504397E-09
     74  0.200000 -0.300000 -0.450000        1    7.62071922E-09  4.78405459E-09  1.86089462E-09  9.18833328E-09
     75  0.250000 -0.300000 -0.450000        1    2.51200296E-10  8.56082746E-09  2.60449157E-09  8.95177327E-09
     76  0.300000 -0.300000 -0.450000        1    1.98873880E-09  5.31589880E-09  1.43908413E-09  5.85532452E-09
     77  0.350000 -0.300000 -0.450000        1    9.30247151E-10  1.92122490E-10  1.75939942E-09  1.99943921E-09
     78  0.400000 -0.300000 -0.450000        1    1.44284196E-09  6.29238051E-10  1.38613418E-09  2.09740350E-09
     79  0.450000 -0.300000 -0.450000        1    1.16422954E-09  1.30553998E-12  5.14096031E-09  5.27113888E-09
     80  0.500000 -0.300000 -0.450000        1    2.73495754E-10  1.02834648E-10  5.25035946E-09  5.25848356E-09
     81 -0.450000 -0.250000 -0.450000        1    3.06356106E-09  6.51552799E-09  6.31983392E-10  7.22751094E-09
     82 -0.400000 -0.250000 -0.450000        1    3.82865795E-12  2.87094220E-09  4.81752471E-09  5.60810735E-09
     83 -0.350000 -0.250000 -0.450000        1    6.10269452E-10  8.52216992E-09  3.85971862E-09  9.37535262E-09
     84 -0.300000 -0.250000 -0.450000        1    2.84133300E-11  2.17445788E-09  1.62834480E-09  2.71672251E-09
