#          E(meV)         D(S(q,E))         Int(D(S))  
      0.000000000000    0.067562092203    0.068169978283
      1.008997443084    0.065327961534    0.134085724432
      2.017994886168    0.059032009660    0.193648871239
      3.026992329253    0.049855647984    0.243953092579
      4.035989772337    0.039360699996    0.283667938233
      5.044987215421    0.029059626935    0.312989027507
      6.053984658505    0.020077266795    0.333246938368
      7.062982101590    0.012999839570    0.346363743255
      8.071979544674    0.007912866124    0.354347804941
      9.080976987758    0.004558667376    0.358947488667
     10.089974430842    0.002523291976    0.361493483819
     11.098971873927    0.001385472912    0.362891422445
     12.107969317011    0.000800610252    0.363699236142
     13.116966760095    0.000526304012    0.364230275545
     14.125964203179    0.000411617696    0.364645596748
     15.134961646263    0.000372177909    0.365021123306
     16.143959089348    0.000365447851    0.365389859253
     17.152956532432    0.000372200534    0.365765408640
     18.161953975516    0.000384794634    0.366153665442
     19.170951418600    0.000400592485    0.366557862235
     20.179948861685    0.000418607269    0.366980235899
     21.188946304769    0.000438005953    0.367422182786
     22.197943747853    0.000457675575    0.367883976271
     23.206941190937    0.000476402844    0.368364665522
     24.215938634022    0.000493332953    0.368862437211
     25.224936077106    0.000508395372    0.369375406841
     26.233933520190    0.000522440658    0.369902548128
     27.242930963274    0.000536976716    0.370444356262
     28.251928406358    0.000553589265    0.371002926415
     29.260925849443    0.000573291021    0.371581375590
     30.269923292527    0.000596087758    0.372182826613
     31.278920735611    0.000620955589    0.372809369215
     32.287918178695    0.000646240968    0.373461424699
     33.296915621780    0.000670312372    0.374137768168
     34.305913064864    0.000692193472    0.374836189612
     35.314910507948    0.000711928572    0.375554523720
     36.323907951032    0.000730552276    0.376291649099
     37.332905394117    0.000749697237    0.377048091694
     38.341902837201    0.000771008395    0.377826037193
     39.350900280285    0.000795590497    0.378628785970
     40.359897723369    0.000823683234    0.379459880248
     41.368895166454    0.000854657074    0.380322227050
     42.377892609538    0.000887299572    0.381217510050
     43.386890052622    0.000920266742    0.382146056840
     44.395887495706    0.000952537779    0.383107165023
     45.404884938790    0.000983734431    0.384099750548
     46.413882381875    0.001014225881    0.385123101869
     47.422879824959    0.001045007772    0.386177512040
     48.431877268043    0.001077401422    0.387264607320
     49.440874711127    0.001112660563    0.388387278983
     50.449872154212    0.001151597803    0.389549238222
     51.458869597296    0.001194347824    0.390754332123
     52.467867040380    0.001240359294    0.392005851480
     53.476864483464    0.001288644174    0.393306090157
     54.485861926549    0.001338217701    0.394656348395
     55.494859369633    0.001388566253    0.396057408194
     56.503856812717    0.001439934270    0.397510298190
     57.512854255801    0.001493269551    0.399017003349
     58.521851698885    0.001549810893    0.400580758577
     59.530849141970    0.001610485369    0.402205734196
     60.539846585054    0.001675405807    0.403896214371
     61.548844028138    0.001743737517    0.405655641068
     62.557841471222    0.001814026802    0.407485989472
     63.566838914307    0.001884840278    0.409387788493
     64.575836357391    0.001955399659    0.411360781749
     65.584833800475    0.002025922293    0.413404932163
     66.593831243559    0.002097581868    0.415521386905
     67.602828686644    0.002172242647    0.417713174181
     68.611826129728    0.002252215620    0.419985653983
     69.620823572812    0.002340165031    0.422346874516
     70.629821015896    0.002439066089    0.424807885964
     71.638818458980    0.002551987267    0.427382834591
     72.647815902065    0.002681576706    0.430088538630
     73.656813345149    0.002829405130    0.432943401172
     74.665810788233    0.002995534759    0.435965888085
     75.674808231317    0.003178650609    0.439173138421
     76.683805674402    0.003376806767    0.442580327816
     77.692803117486    0.003588500126    0.446201115267
     78.701800560570    0.003813617776    0.450049045852
     79.710798003654    0.004053899515    0.454139420098
     80.719795446739    0.004312811393    0.458491035765
     81.728792889823    0.004594950158    0.463127328726
     82.737790332907    0.004905163726    0.468076626383
     83.746787775991    0.005247490778    0.473371331161
     84.755785219075    0.005623911746    0.479045843734
     85.764782662160    0.006032894379    0.485133018737
     86.773780105244    0.006467864693    0.491659077674
     87.782777548328    0.006915977061    0.498637280846
     88.791774991412    0.007357741929    0.506061223639
     89.800772434497    0.007768030665    0.513899146718
     90.809769877581    0.008118645610    0.522090839380
     91.818767320665    0.008382118338    0.530548375350
     92.827764763749    0.008535917430    0.539161094212
     93.836762206834    0.008566048189    0.547804214932
     94.845759649918    0.008469200451    0.556349616532
     95.854757093002    0.008253036000    0.564676908755
     96.863754536086    0.007934687716    0.572682988372
     97.872751979170    0.007537902770    0.580288712993
     98.881749422255    0.007089464987    0.587441965037
     99.890746865339    0.006615614591    0.594117103244
    100.899744308423    0.006139154799    0.600311494739
    101.908741751507    0.005677746880    0.606040326823
    102.917739194592    0.005243530632    0.611331035823
    103.926736637676    0.004843772858    0.616218390252
    104.935734080760    0.004481954302    0.620740670683
    105.944731523844    0.004158727304    0.624936815899
    106.953728966929    0.003872495138    0.628844153592
    107.962726410013    0.003619760682    0.632496482865
    108.971723853097    0.003395595380    0.635922629921
    109.980721296181    0.003194460406    0.639145832303
    110.989718739266    0.003011275634    0.642184201718
    111.998716182350    0.002842336395    0.645052111873
    113.007713625434    0.002685647806    0.647761923642
    114.016711068518    0.002540517867    0.650325299674
    115.025708511602    0.002406651894    0.652753605281
    116.034705954687    0.002283263037    0.655057411847
    117.043703397771    0.002168683614    0.657245608068
    118.052700840855    0.002060651663    0.659324800326
    119.061698283939    0.001957052313    0.661299461106
    120.070695727024    0.001856651219    0.663172817439
    121.079693170108    0.001759396300    0.664948043807
    122.088690613192    0.001666136004    0.666629170775
    123.097688056276    0.001577930579    0.668221298695
    124.106685499361    0.001495331876    0.669730084734
    125.115682942445    0.001417988821    0.671160831829
    126.124680385529    0.001344739345    0.672517670389
