   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  1.45726134E-02  2.49539656E-04  1.02378675E-07  4.51963975E-01  3.57866072E-03  3.49793709E-01 -2.44565424E-01 -2.42060151E-01  0.00000000E+00
     371  1.46111197E-02  2.49479020E-04  1.00881742E-07  4.59714567E-01  3.46465600E-03  3.37973464E-01 -2.44625938E-01 -2.42125074E-01  0.00000000E+00
     381  1.44474549E-02  2.44600127E-04  9.80888609E-08  4.53506399E-01  3.45281380E-03  3.31787360E-01 -2.44691069E-01 -2.42180742E-01  0.00000000E+00
     391  1.43170293E-02  2.40613995E-04  9.54544877E-08  4.50416952E-01  3.43024118E-03  3.24754860E-01 -2.44677636E-01 -2.42167491E-01  0.00000000E+00
     401  1.43012831E-02  2.40413559E-04  9.52249357E-08  4.50824040E-01  3.45432380E-03  3.26083816E-01 -2.44757689E-01 -2.42250079E-01  0.00000000E+00
     411  1.43070738E-02  2.40477154E-04  9.54837011E-08  4.49622915E-01  3.44449908E-03  3.29121879E-01 -2.44826807E-01 -2.42311584E-01  0.00000000E+00
     421  1.42783963E-02  2.39173576E-04  9.38941146E-08  4.52869756E-01  3.39792888E-03  3.19728087E-01 -2.44845328E-01 -2.42331039E-01  0.00000000E+00
     431  1.44307486E-02  2.44715343E-04  9.80469644E-08  4.54254078E-01  3.51034253E-03  3.22616870E-01 -2.44990066E-01 -2.42469243E-01  0.00000000E+00
     441  1.44485804E-02  2.44968155E-04  9.74546486E-08  4.58670068E-01  3.48510840E-03  3.19421545E-01 -2.45019686E-01 -2.42499307E-01  0.00000000E+00
     451  1.44114199E-02  2.43933463E-04  9.68393626E-08  4.57514786E-01  3.48874277E-03  3.25326293E-01 -2.45065462E-01 -2.42543491E-01  0.00000000E+00
     461  1.43916261E-02  2.42500052E-04  9.50314135E-08  4.61330654E-01  3.40564609E-03  3.20591038E-01 -2.45064421E-01 -2.42543892E-01  0.00000000E+00
     471  1.43541448E-02  2.43159784E-04  9.73228821E-08  4.51331269E-01  3.57285806E-03  3.17860885E-01 -2.45172612E-01 -2.42650100E-01  0.00000000E+00
     481  1.43531821E-02  2.42925987E-04  9.64616763E-08  4.55139159E-01  3.55301418E-03  3.18830909E-01 -2.45073242E-01 -2.42557530E-01  0.00000000E+00
     491  1.43610924E-02  2.43218321E-04  9.67773069E-08  4.54669605E-01  3.55928948E-03  3.10348400E-01 -2.45007245E-01 -2.42490821E-01  0.00000000E+00
     501  1.43337971E-02  2.42162811E-04  9.58529870E-08  4.55159356E-01  3.53308156E-03  3.12637899E-01 -2.44978601E-01 -2.42458932E-01  0.00000000E+00
     511  1.44408668E-02  2.46834110E-04  1.01846726E-07  4.42794403E-01  3.68616741E-03  3.12719837E-01 -2.45055069E-01 -2.42540157E-01  0.00000000E+00
     521  1.42518298E-02  2.41470144E-04  9.86047280E-08  4.36297965E-01  3.69194412E-03  3.08834219E-01 -2.45083382E-01 -2.42569526E-01  0.00000000E+00
     531  1.42250363E-02  2.39832846E-04  9.68104709E-08  4.38973009E-01  3.60778737E-03  3.13559265E-01 -2.45062700E-01 -2.42550728E-01  0.00000000E+00
     541  1.41093090E-02  2.35916928E-04  9.41821354E-08  4.35935109E-01  3.54648558E-03  3.08355908E-01 -2.45035398E-01 -2.42518935E-01  0.00000000E+00
     551  1.41350318E-02  2.36661035E-04  9.49509312E-08  4.34901112E-01  3.54817814E-03  3.06754909E-01 -2.45054759E-01 -2.42538005E-01  0.00000000E+00
     561  1.40672316E-02  2.34501441E-04  9.33077896E-08  4.34404931E-01  3.52435726E-03  3.10296858E-01 -2.44989279E-01 -2.42473274E-01  0.00000000E+00
     571  1.41483693E-02  2.36245454E-04  9.34896658E-08  4.41638544E-01  3.47186551E-03  3.02737476E-01 -2.44968440E-01 -2.42449628E-01  0.00000000E+00
     581  1.43085958E-02  2.41311603E-04  9.69224744E-08  4.45186744E-01  3.52062756E-03  3.06964742E-01 -2.45021724E-01 -2.42506840E-01  0.00000000E+00
     591  1.42761079E-02  2.40204494E-04  9.59953343E-08  4.45416921E-01  3.50345058E-03  3.04401864E-01 -2.44960086E-01 -2.42443828E-01  0.00000000E+00
     601  1.42816788E-02  2.40198643E-04  9.55794416E-08  4.47792709E-01  3.48757372E-03  3.03446215E-01 -2.45019554E-01 -2.42501434E-01  0.00000000E+00
     611  1.43647861E-02  2.42203240E-04  9.60505944E-08  4.54218380E-01  3.45136862E-03  3.06460123E-01 -2.45038156E-01 -2.42513038E-01  0.00000000E+00
     621  1.44722208E-02  2.45141354E-04  9.72301192E-08  4.60680155E-01  3.43596956E-03  3.03284280E-01 -2.45061493E-01 -2.42531455E-01  0.00000000E+00
     631  1.44454064E-02  2.44867210E-04  9.74750563E-08  4.58110204E-01  3.48421932E-03  3.02344447E-01 -2.45091294E-01 -2.42564374E-01  0.00000000E+00
     641  1.43645404E-02  2.42154364E-04  9.56454271E-08  4.56301222E-01  3.44734362E-03  3.07346385E-01 -2.45046865E-01 -2.42526508E-01  0.00000000E+00
     651  1.43457658E-02  2.42130664E-04  9.63246021E-08  4.52333239E-01  3.49694653E-03  3.11274153E-01 -2.45137546E-01 -2.42622845E-01  0.00000000E+00
     661  1.43292648E-02  2.41025102E-04  9.50119806E-08  4.54829225E-01  3.43607471E-03  3.07721199E-01 -2.45109351E-01 -2.42598522E-01  0.00000000E+00
     671  1.43546694E-02  2.41873282E-04  9.57170782E-08  4.54628569E-01  3.44757494E-03  3.09793234E-01 -2.45089253E-01 -2.42575657E-01  0.00000000E+00
     681  1.43812256E-02  2.42878666E-04  9.62127609E-08  4.56333359E-01  3.47089465E-03  3.07645472E-01 -2.45058994E-01 -2.42547240E-01  0.00000000E+00
     691  1.44694455E-02  2.45604003E-04  9.83681755E-08  4.56421239E-01  3.48823385E-03  3.08466139E-01 -2.45007651E-01 -2.42500005E-01  0.00000000E+00
     701  1.43522150E-02  2.42653383E-04  9.67913791E-08  4.52047739E-01  3.52944629E-03  3.06052560E-01 -2.44984481E-01 -2.42477885E-01  0.00000000E+00
