   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    6300  2.64242838E-03 -8.68986940E-03  3.18278505E-01  3.18408076E-01  0.00000000E+00
    6400  2.61905579E-03 -8.69033751E-03  3.18193123E-01  3.18322549E-01  0.00000000E+00
    6500  2.59707998E-03 -8.69052992E-03  3.18109981E-01  3.18239265E-01  0.00000000E+00
    6600  2.57639642E-03 -8.69044647E-03  3.18028948E-01  3.18158095E-01  0.00000000E+00
    6700  2.55690621E-03 -8.69008952E-03  3.17949902E-01  3.18078914E-01  0.00000000E+00
    6800  2.53851608E-03 -8.68946354E-03  3.17872726E-01  3.18001605E-01  0.00000000E+00
    6900  2.52113829E-03 -8.68857476E-03  3.17797309E-01  3.17926056E-01  0.00000000E+00
    7000  2.50469059E-03 -8.68743079E-03  3.17723546E-01  3.17852162E-01  0.00000000E+00
    7100  2.48909601E-03 -8.68604038E-03  3.17651340E-01  3.17779824E-01  0.00000000E+00
    7200  2.47428274E-03 -8.68441313E-03  3.17580598E-01  3.17708951E-01  0.00000000E+00
    7300  2.46018392E-03 -8.68255925E-03  3.17511235E-01  3.17639455E-01  0.00000000E+00
    7400  2.44673744E-03 -8.68048941E-03  3.17443171E-01  3.17571259E-01  0.00000000E+00
    7500  2.43388575E-03 -8.67821457E-03  3.17376334E-01  3.17504287E-01  0.00000000E+00
    7600  2.42157566E-03 -8.67574583E-03  3.17310655E-01  3.17438473E-01  0.00000000E+00
    7700  2.40975809E-03 -8.67309433E-03  3.17246072E-01  3.17373754E-01  0.00000000E+00
    7800  2.39838791E-03 -8.67027118E-03  3.17182528E-01  3.17310072E-01  0.00000000E+00
    7900  2.38742371E-03 -8.66728740E-03  3.17119972E-01  3.17247377E-01  0.00000000E+00
    8000  2.37682759E-03 -8.66415385E-03  3.17058357E-01  3.17185622E-01  0.00000000E+00
    8100  2.36656502E-03 -8.66088123E-03  3.16997641E-01  3.17124764E-01  0.00000000E+00
    8200  2.35660456E-03 -8.65748002E-03  3.16937785E-01  3.17064764E-01  0.00000000E+00
    8300  2.34691778E-03 -8.65396052E-03  3.16878755E-01  3.17005590E-01  0.00000000E+00
    8400  2.33747898E-03 -8.65033282E-03  3.16820521E-01  3.16947211E-01  0.00000000E+00
    8500  2.32826509E-03 -8.64660677E-03  3.16763056E-01  3.16889599E-01  0.00000000E+00
    8600  2.31925550E-03 -8.64279207E-03  3.16706336E-01  3.16832732E-01  0.00000000E+00
    8700  2.31043182E-03 -8.63889819E-03  3.16650342E-01  3.16776589E-01  0.00000000E+00
    8800  2.30177783E-03 -8.63493446E-03  3.16595054E-01  3.16721153E-01  0.00000000E+00
    8900  2.29327924E-03 -8.63091001E-03  3.16540458E-01  3.16666407E-01  0.00000000E+00
    9000  2.28492359E-03 -8.62683385E-03  3.16486541E-01  3.16612340E-01  0.00000000E+00
    9100  2.27670009E-03 -8.62271483E-03  3.16433291E-01  3.16558940E-01  0.00000000E+00
    9200  2.26859948E-03 -8.61856168E-03  3.16380701E-01  3.16506199E-01  0.00000000E+00
    9300  2.26061391E-03 -8.61438302E-03  3.16328762E-01  3.16454110E-01  0.00000000E+00
    9400  2.25273679E-03 -8.61018734E-03  3.16277470E-01  3.16402667E-01  0.00000000E+00
    9500  2.24496267E-03 -8.60598302E-03  3.16226819E-01  3.16351867E-01  0.00000000E+00
    9600  2.23728715E-03 -8.60177837E-03  3.16176808E-01  3.16301707E-01  0.00000000E+00
    9700  2.22970672E-03 -8.59758157E-03  3.16127435E-01  3.16252186E-01  0.00000000E+00
    9800  2.22221868E-03 -8.59340071E-03  3.16078698E-01  3.16203302E-01  0.00000000E+00
    9900  2.21482104E-03 -8.58924377E-03  3.16030599E-01  3.16155057E-01  0.00000000E+00
   10000  2.20751240E-03 -8.58511863E-03  3.15983138E-01  3.16107451E-01  0.00000000E+00
   10100  2.20029188E-03 -8.58103306E-03  3.15936316E-01  3.16060487E-01  0.00000000E+00
   10200  2.19315903E-03 -8.57699470E-03  3.15890137E-01  3.16014166E-01  0.00000000E+00
   10300  2.18611375E-03 -8.57301109E-03  3.15844602E-01  3.15968492E-01  0.00000000E+00
   10400  2.17915618E-03 -8.56908961E-03  3.15799715E-01  3.15923468E-01  0.00000000E+00
   10500  2.17228671E-03 -8.56523751E-03  3.15755478E-01  3.15879097E-01  0.00000000E+00
   10600  2.16550585E-03 -8.56146188E-03  3.15711897E-01  3.15835384E-01  0.00000000E+00
   10700  2.15881419E-03 -8.55776967E-03  3.15668973E-01  3.15792331E-01  0.00000000E+00
   10800  2.15221240E-03 -8.55416763E-03  3.15626711E-01  3.15749943E-01  0.00000000E+00
   10900  2.14570110E-03 -8.55066234E-03  3.15585115E-01  3.15708224E-01  0.00000000E+00
   11000  2.13928091E-03 -8.54726018E-03  3.15544188E-01  3.15667177E-01  0.00000000E+00
   11100  2.13295235E-03 -8.54396734E-03  3.15503933E-01  3.15626806E-01  0.00000000E+00
   11200  2.12671587E-03 -8.54078978E-03  3.15464355E-01  3.15587115E-01  0.00000000E+00
   11300  2.12057178E-03 -8.53773326E-03  3.15425456E-01  3.15548107E-01  0.00000000E+00
   11400  2.11452027E-03 -8.53480328E-03  3.15387239E-01  3.15509785E-01  0.00000000E+00
   11500  2.10856138E-03 -8.53200512E-03  3.15349707E-01  3.15472152E-01  0.00000000E+00
   11600  2.10269500E-03 -8.52934382E-03  3.15312861E-01  3.15435209E-01  0.00000000E+00
   11700  2.09692088E-03 -8.52682416E-03  3.15276704E-01  3.15398960E-01  0.00000000E+00
   11800  2.09123859E-03 -8.52445067E-03  3.15241237E-01  3.15363405E-01  0.00000000E+00
   11900  2.08564758E-03 -8.52222761E-03  3.15206462E-01  3.15328546E-01  0.00000000E+00
   12000  2.08014713E-03 -8.52015898E-03  3.15172378E-01  3.15294383E-01  0.00000000E+00
   12100  2.07473640E-03 -8.51824853E-03  3.15138986E-01  3.15260916E-01  0.00000000E+00
   12200  2.06941443E-03 -8.51649972E-03  3.15106285E-01  3.15228146E-01  0.00000000E+00
   12300  2.06418013E-03 -8.51491575E-03  3.15074275E-01  3.15196071E-01  0.00000000E+00
   12400  2.05903234E-03 -8.51349957E-03  3.15042954E-01  3.15164690E-01  0.00000000E+00
   12500  2.05396980E-03 -8.51225384E-03  3.15012320E-01  3.15134002E-01  0.00000000E+00
   12600  2.04899118E-03 -8.51118098E-03  3.14982372E-01  3.15104003E-01  0.00000000E+00
   12700  2.04409510E-03 -8.51028315E-03  3.14953105E-01  3.15074692E-01  0.00000000E+00
   12800  2.03928017E-03 -8.50956224E-03  3.14924518E-01  3.15046065E-01  0.00000000E+00
   12900  2.03454493E-03 -8.50901991E-03  3.14896605E-01  3.15018118E-01  0.00000000E+00
   13000  2.02988797E-03 -8.50865758E-03  3.14869364E-01  3.14990847E-01  0.00000000E+00
   13100  2.02530785E-03 -8.50847643E-03  3.14842788E-01  3.14964248E-01  0.00000000E+00
   13200  2.02080316E-03 -8.50847742E-03  3.14816874E-01  3.14938314E-01  0.00000000E+00
   13300  2.01637255E-03 -8.50866130E-03  3.14791615E-01  3.14913042E-01  0.00000000E+00
   13400  2.01201470E-03 -8.50902860E-03  3.14767007E-01  3.14888425E-01  0.00000000E+00
   13500  2.00772834E-03 -8.50957966E-03  3.14743041E-01  3.14864457E-01  0.00000000E+00
   13600  2.00351229E-03 -8.51031464E-03  3.14719713E-01  3.14841131E-01  0.00000000E+00
   13700  1.99936543E-03 -8.51123352E-03  3.14697016E-01  3.14818440E-01  0.00000000E+00
   13800  1.99528674E-03 -8.51233612E-03  3.14674941E-01  3.14796378E-01  0.00000000E+00
   13900  1.99127527E-03 -8.51362211E-03  3.14653483E-01  3.14774937E-01  0.00000000E+00
   14000  1.98733020E-03 -8.51509102E-03  3.14632632E-01  3.14754110E-01  0.00000000E+00
   14100  1.98345076E-03 -8.51674225E-03  3.14612383E-01  3.14733888E-01  0.00000000E+00
   14200  1.97963634E-03 -8.51857509E-03  3.14592726E-01  3.14714265E-01  0.00000000E+00
   14300  1.97588638E-03 -8.52058872E-03  3.14573655E-01  3.14695232E-01  0.00000000E+00
   14400  1.97220046E-03 -8.52278226E-03  3.14555160E-01  3.14676780E-01  0.00000000E+00
   14500  1.96857825E-03 -8.52515472E-03  3.14537234E-01  3.14658903E-01  0.00000000E+00
   14600  1.96501952E-03 -8.52770506E-03  3.14519868E-01  3.14641591E-01  0.00000000E+00
   14700  1.96152415E-03 -8.53043220E-03  3.14503055E-01  3.14624836E-01  0.00000000E+00
   14800  1.95809211E-03 -8.53333502E-03  3.14486786E-01  3.14608631E-01  0.00000000E+00
   14900  1.95472348E-03 -8.53641235E-03  3.14471054E-01  3.14592967E-01  0.00000000E+00
   15000  1.95141841E-03 -8.53966304E-03  3.14455849E-01  3.14577836E-01  0.00000000E+00
   15100  1.94817714E-03 -8.54308592E-03  3.14441164E-01  3.14563230E-01  0.00000000E+00
   15200  1.94500002E-03 -8.54667984E-03  3.14426992E-01  3.14549141E-01  0.00000000E+00
   15300  1.94188745E-03 -8.55044367E-03  3.14413324E-01  3.14535561E-01  0.00000000E+00
   15400  1.93883990E-03 -8.55437630E-03  3.14400152E-01  3.14522483E-01  0.00000000E+00
