#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    5.39846012E-09  7.49895994E-09  9.31333847E-10  9.28682694E-09
      2 -0.400000 -0.450000 -0.450000        1    1.58023046E-09  9.65469521E-09  3.60350135E-09  1.04257129E-08
      3 -0.350000 -0.450000 -0.450000        1    4.05389410E-09  1.24536114E-09  1.10953549E-10  4.24232159E-09
      4 -0.300000 -0.450000 -0.450000        1    6.13497568E-09  1.23335639E-08  5.47335347E-09  1.48226962E-08
      5 -0.250000 -0.450000 -0.450000        1    4.19326824E-09  2.12952227E-10  2.62177214E-09  4.95000367E-09
      6 -0.200000 -0.450000 -0.450000        1    5.36599344E-10  6.53860643E-09  1.79626971E-10  6.56304646E-09
      7 -0.150000 -0.450000 -0.450000        1    3.14255316E-09  1.04380061E-09  7.61603098E-10  3.39782274E-09
      8 -0.100000 -0.450000 -0.450000        1    4.94998685E-09  4.00210501E-09  3.80050159E-09  7.41370533E-09
      9 -0.050000 -0.450000 -0.450000        1    4.54803925E-09  2.53458835E-08  1.76368609E-08  3.12114936E-08
     10  0.000000 -0.450000 -0.450000        1    1.01540889E-08  8.27564915E-09  1.21526218E-08  1.78683549E-08
     11  0.050000 -0.450000 -0.450000        1    2.73741555E-08  2.28256910E-10  1.30794433E-09  2.74063352E-08
     12  0.100000 -0.450000 -0.450000        1    2.23419449E-09  7.11858355E-09  3.34512984E-09  8.17653658E-09
     13  0.150000 -0.450000 -0.450000        1    8.31902269E-09  5.78234496E-09  5.29262132E-09  1.14303759E-08
     14  0.200000 -0.450000 -0.450000        1    2.63763574E-09  5.76013423E-10  3.98864485E-09  4.81645113E-09
     15  0.250000 -0.450000 -0.450000        1    2.96366367E-09  1.44307536E-08  1.77385261E-09  1.48383458E-08
     16  0.300000 -0.450000 -0.450000        1    5.27811553E-09  1.69481352E-09  5.10246519E-09  7.53432461E-09
     17  0.350000 -0.450000 -0.450000        1    2.77127996E-10  8.92920707E-10  9.41788577E-10  1.32705427E-09
     18  0.400000 -0.450000 -0.450000        1    1.21500628E-09  7.65769536E-09  7.35411888E-09  1.06864214E-08
     19  0.450000 -0.450000 -0.450000        1    2.33569332E-09  2.12381660E-09  2.51818514E-09  4.03823187E-09
     20  0.500000 -0.450000 -0.450000        1    4.70696846E-09  3.76283103E-09  4.65106414E-09  7.61228265E-09
     21 -0.450000 -0.400000 -0.450000        1    9.35064719E-09  6.49925439E-09  3.35709139E-09  1.18720248E-08
     22 -0.400000 -0.400000 -0.450000        1    6.74888819E-09  1.51144488E-08  7.89323676E-10  1.65715746E-08
     23 -0.350000 -0.400000 -0.450000        1    7.32608897E-09  7.92339991E-09  3.69627785E-09  1.14067662E-08
     24 -0.300000 -0.400000 -0.450000        1    2.56224957E-09  1.48954027E-10  1.45657259E-10  2.57070539E-09
     25 -0.250000 -0.400000 -0.450000        1    2.74430205E-09  1.16940853E-08  4.32044778E-09  1.27651516E-08
     26 -0.200000 -0.400000 -0.450000        1    3.12682855E-09  3.05617173E-09  6.45573142E-10  4.41972930E-09
     27 -0.150000 -0.400000 -0.450000        1    8.49870195E-09  3.44906979E-09  9.08871655E-09  1.29123501E-08
     28 -0.100000 -0.400000 -0.450000        1    6.58870913E-10  7.43939255E-09  4.82784480E-09  8.89307358E-09
     29 -0.050000 -0.400000 -0.450000        1    3.00024172E-09  2.95196299E-09  5.69331052E-09  7.08020625E-09
     30  0.000000 -0.400000 -0.450000        1    1.05167762E-09  1.15842151E-08  7.25637071E-10  1.16544676E-08
     31  0.050000 -0.400000 -0.450000        1    3.57686284E-09  1.28830148E-09  1.09603008E-09  3.95663372E-09
     32  0.100000 -0.400000 -0.450000        1    2.85444026E-08  1.36337792E-09  6.30448161E-10  2.85838973E-08
     33  0.150000 -0.400000 -0.450000        1    1.31369764E-08  9.57281455E-09  8.38346214E-10  1.62764170E-08
     34  0.200000 -0.400000 -0.450000        1    2.31013597E-08  2.68959715E-09  1.15110766E-09  2.32858713E-08
     35  0.250000 -0.400000 -0.450000        1    6.75528130E-09  9.64767002E-09  7.60261977E-10  1.18020914E-08
     36  0.300000 -0.400000 -0.450000        1    2.94754398E-09  4.27053450E-09  1.66629217E-09  5.44995505E-09
     37  0.350000 -0.400000 -0.450000        1    4.29610936E-09  5.17672214E-09  7.00212569E-09  9.71003460E-09
     38  0.400000 -0.400000 -0.450000        1    5.52291988E-09  1.32031405E-09  1.38432705E-08  1.49626873E-08
     39  0.450000 -0.400000 -0.450000        1    1.12085864E-09  9.57997744E-10  3.86270031E-09  4.13455408E-09
     40  0.500000 -0.400000 -0.450000        1    5.41207744E-09  4.99331948E-09  3.11829073E-09  7.99672175E-09
     41 -0.450000 -0.350000 -0.450000        1    9.97319986E-10  1.93433030E-09  1.16579501E-08  1.18593457E-08
     42 -0.400000 -0.350000 -0.450000        1    1.38654337E-09  6.01355186E-09  5.36351023E-09  8.17634090E-09
