   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.13283869E-02  1.28332351E-04  1.64691922E-08  6.66666667E-01  3.65265323E-19 -1.39574377E-14 -2.09267357E-01 -2.06703328E-01  0.00000000E+00
      11  1.28416791E-02  1.78358459E-04  3.94241167E-08  5.86901810E-01  1.10967194E-03  1.97263171E-01 -2.05366844E-01 -2.03294796E-01  0.00000000E+00
      21  1.04460769E-02  1.20058085E-04  2.03146768E-08  5.30207763E-01  9.02404646E-04  1.37459709E-01 -2.03376708E-01 -2.01151793E-01  0.00000000E+00
      31  1.00244023E-02  1.10613987E-04  1.69180528E-08  5.39097538E-01  8.35392669E-04  2.42670005E-01 -2.02459667E-01 -2.00234077E-01  0.00000000E+00
      41  1.08566396E-02  1.41431930E-04  3.48665338E-08  4.18977994E-01  1.94425800E-03  2.02698140E-01 -2.02768019E-01 -2.00575263E-01  0.00000000E+00
      51  1.17145110E-02  1.61519671E-04  4.39355191E-08  4.38637152E-01  2.00404089E-03  2.11319055E-01 -2.03039881E-01 -2.00847827E-01  0.00000000E+00
      61  1.22226631E-02  1.74444929E-04  4.91141741E-08  4.62016576E-01  2.06687113E-03  2.30704102E-01 -2.03804628E-01 -2.01576773E-01  0.00000000E+00
      71  1.17011523E-02  1.59357874E-04  4.13310400E-08  4.57489651E-01  1.85148930E-03  2.16765533E-01 -2.03900108E-01 -2.01719956E-01  0.00000000E+00
      81  1.16499176E-02  1.60480720E-04  4.39515747E-08  4.31137303E-01  2.04283772E-03  2.39590617E-01 -2.04457577E-01 -2.02259705E-01  0.00000000E+00
      91  1.12831912E-02  1.51303353E-04  3.92550901E-08  4.28419217E-01  1.97954071E-03  2.14163438E-01 -2.04060911E-01 -2.01861633E-01  0.00000000E+00
     101  1.16181999E-02  1.57048046E-04  3.98596588E-08  4.61299665E-01  1.82051431E-03  2.63175495E-01 -2.03607642E-01 -2.01389074E-01  0.00000000E+00
     111  1.21005609E-02  1.69883440E-04  4.57447563E-08  4.71654550E-01  1.93555845E-03  2.48608616E-01 -2.03619677E-01 -2.01406324E-01  0.00000000E+00
     121  1.17674682E-02  1.63088085E-04  4.40500912E-08  4.47946599E-01  2.03084460E-03  2.28469642E-01 -2.03711054E-01 -2.01521365E-01  0.00000000E+00
     131  1.20551298E-02  1.68933606E-04  4.54616883E-08  4.69002839E-01  1.94773512E-03  2.17891324E-01 -2.03653207E-01 -2.01440434E-01  0.00000000E+00
     141  1.18927409E-02  1.65058267E-04  4.33925053E-08  4.69092441E-01  1.94885141E-03  2.20193314E-01 -2.03967345E-01 -2.01724551E-01  0.00000000E+00
     151  1.22047924E-02  1.71719304E-04  4.49186883E-08  4.92229374E-01  1.87800956E-03  2.48116234E-01 -2.03571851E-01 -2.01326529E-01  0.00000000E+00
     161  1.19847584E-02  1.66521715E-04  4.25094230E-08  4.88998466E-01  1.88831748E-03  2.28625116E-01 -2.03691990E-01 -2.01444306E-01  0.00000000E+00
     171  1.18291235E-02  1.62928569E-04  4.11128519E-08  4.83747862E-01  1.89765085E-03  2.46245695E-01 -2.03864220E-01 -2.01620710E-01  0.00000000E+00
     181  1.18218081E-02  1.63742577E-04  4.17011127E-08  4.81554455E-01  1.97908533E-03  2.30426420E-01 -2.03776536E-01 -2.01526623E-01  0.00000000E+00
     191  1.17002401E-02  1.60588088E-04  4.05459098E-08  4.75918127E-01  1.95474957E-03  2.48215973E-01 -2.03635923E-01 -2.01395520E-01  0.00000000E+00
     201  1.15440795E-02  1.56744643E-04  3.86845735E-08  4.75154900E-01  1.93712649E-03  2.41151168E-01 -2.03581001E-01 -2.01358984E-01  0.00000000E+00
     211  1.17167902E-02  1.60857060E-04  4.11583794E-08  4.69779205E-01  1.94496601E-03  2.29225494E-01 -2.03673177E-01 -2.01471478E-01  0.00000000E+00
     221  1.16703647E-02  1.60635091E-04  4.09025154E-08  4.71618121E-01  2.01623315E-03  2.31638806E-01 -2.03791575E-01 -2.01593503E-01  0.00000000E+00
     231  1.20265448E-02  1.69880698E-04  4.47298590E-08  4.83359793E-01  2.08266936E-03  2.37742004E-01 -2.03893635E-01 -2.01703230E-01  0.00000000E+00
     241  1.18275662E-02  1.65171109E-04  4.29195656E-08  4.75596126E-01  2.08571137E-03  2.42038848E-01 -2.03587329E-01 -2.01385658E-01  0.00000000E+00
     251  1.19528749E-02  1.70018585E-04  4.84121108E-08  4.41735553E-01  2.23979610E-03  2.29181756E-01 -2.03618587E-01 -2.01426630E-01  0.00000000E+00
     261  1.19439717E-02  1.69680552E-04  4.79860553E-08  4.44441679E-01  2.22946043E-03  2.41233808E-01 -2.03602038E-01 -2.01393196E-01  0.00000000E+00
     271  1.16851562E-02  1.62830379E-04  4.50279328E-08  4.33904262E-01  2.16885312E-03  2.40303043E-01 -2.03491782E-01 -2.01286146E-01  0.00000000E+00
     281  1.16304465E-02  1.61969980E-04  4.52047491E-08  4.25627348E-01  2.20310837E-03  2.35354672E-01 -2.03589113E-01 -2.01366209E-01  0.00000000E+00
     291  1.15128102E-02  1.58268935E-04  4.31480528E-08  4.25819307E-01  2.12237232E-03  2.26085098E-01 -2.03527593E-01 -2.01306744E-01  0.00000000E+00
     301  1.14585854E-02  1.56746445E-04  4.23892794E-08  4.24905278E-01  2.09952911E-03  2.49966155E-01 -2.03460642E-01 -2.01236006E-01  0.00000000E+00
     311  1.16430492E-02  1.60408813E-04  4.30477378E-08  4.42335975E-01  2.05010470E-03  2.51016044E-01 -2.03579925E-01 -2.01357955E-01  0.00000000E+00
     321  1.18106534E-02  1.64220035E-04  4.43852272E-08  4.51388494E-01  2.04022735E-03  2.47295985E-01 -2.03657778E-01 -2.01438842E-01  0.00000000E+00
     331  1.16329853E-02  1.60069285E-04  4.25824453E-08  4.46020960E-01  2.04141857E-03  2.44889894E-01 -2.03789200E-01 -2.01562191E-01  0.00000000E+00
     341  1.16174311E-02  1.59712761E-04  4.22333637E-08  4.48106624E-01  2.04184077E-03  2.45888198E-01 -2.03802825E-01 -2.01567968E-01  0.00000000E+00
     351  1.18266314E-02  1.65857402E-04  4.54983757E-08  4.48678512E-01  2.14415826E-03  2.40378466E-01 -2.03740492E-01 -2.01491958E-01  0.00000000E+00
     361  1.18048409E-02  1.65212723E-04  4.49768722E-08  4.50736147E-01  2.13345435E-03  2.40243127E-01 -2.03758745E-01 -2.01519434E-01  0.00000000E+00
     371  1.18885683E-02  1.66590526E-04  4.50369818E-08  4.59062082E-01  2.08345748E-03  2.32209787E-01 -2.03764450E-01 -2.01517453E-01  0.00000000E+00
     381  1.18515602E-02  1.65983153E-04  4.50465117E-08  4.54980688E-01  2.10583315E-03  2.30155281E-01 -2.03841100E-01 -2.01582171E-01  0.00000000E+00
     391  1.17711105E-02  1.64289305E-04  4.43619921E-08  4.52137973E-01  2.12287778E-03  2.26244666E-01 -2.03844014E-01 -2.01579974E-01  0.00000000E+00
     401  1.18224921E-02  1.66224285E-04  4.54806740E-08  4.51323078E-01  2.18250455E-03  2.28283770E-01 -2.03837360E-01 -2.01579328E-01  0.00000000E+00
     411  1.18308223E-02  1.66102938E-04  4.52494616E-08  4.53314530E-01  2.15623627E-03  2.30657883E-01 -2.03848253E-01 -2.01582373E-01  0.00000000E+00
     421  1.18497349E-02  1.67114515E-04  4.65943460E-08  4.43860659E-01  2.20274567E-03  2.28773630E-01 -2.03884362E-01 -2.01614486E-01  0.00000000E+00
     431  1.18923804E-02  1.67737747E-04  4.64727225E-08  4.49426570E-01  2.17062952E-03  2.28106346E-01 -2.03978153E-01 -2.01704529E-01  0.00000000E+00
     441  1.18077070E-02  1.65656361E-04  4.56002429E-08  4.46102165E-01  2.16447303E-03  2.22308790E-01 -2.03992197E-01 -2.01726848E-01  0.00000000E+00
     451  1.18086504E-02  1.65014006E-04  4.48208456E-08  4.51322469E-01  2.10963734E-03  2.26383302E-01 -2.04031910E-01 -2.01769424E-01  0.00000000E+00
     461  1.17178013E-02  1.62270048E-04  4.34386364E-08  4.50106990E-01  2.05958961E-03  2.23846971E-01 -2.04036545E-01 -2.01773552E-01  0.00000000E+00
     471  1.17607957E-02  1.64106803E-04  4.52357982E-08  4.40103393E-01  2.12784667E-03  2.21335239E-01 -2.04116239E-01 -2.01845850E-01  0.00000000E+00
     481  1.18006226E-02  1.65476700E-04  4.60313303E-08  4.39651045E-01  2.16344925E-03  2.21622244E-01 -2.04063118E-01 -2.01792875E-01  0.00000000E+00
