   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.86144055E-02  4.26858195E-02 -3.28147652E-02  5.69682727E-02  0.00000000E+00
     100  1.96491213E-02 -4.01758143E-02 -7.68523325E-03  4.53789250E-02  0.00000000E+00
     200  2.65082495E-02 -3.58185835E-03 -4.52562306E-03  2.71292879E-02  0.00000000E+00
     300  2.82366274E-02  6.25708755E-02 -2.32572783E-02  7.24798080E-02  0.00000000E+00
     400 -1.34458642E-02  4.82983030E-03 -2.71297054E-02  3.06616934E-02  0.00000000E+00
     500 -4.28811969E-02 -1.59982321E-02  4.08513951E-02  6.13479988E-02  0.00000000E+00
     600 -3.67753570E-02 -9.27654711E-03 -2.23619202E-03  3.79931805E-02  0.00000000E+00
     700  6.94929387E-03 -3.24643629E-02  3.10161421E-02  4.54337827E-02  0.00000000E+00
     800  1.09204560E-02 -3.74938396E-02  1.03275031E-02  4.03943274E-02  0.00000000E+00
     900  4.35596154E-02  1.28434447E-02 -3.23836636E-02  5.57771982E-02  0.00000000E+00
    1000 -2.00287626E-02 -1.35855005E-02  7.17174784E-03  2.52418526E-02  0.00000000E+00
    1100  2.12740691E-03  3.54802543E-02 -6.58634061E-03  3.61490551E-02  0.00000000E+00
    1200 -1.01204569E-02 -1.64508824E-02 -2.90952684E-02  3.49226262E-02  0.00000000E+00
    1300 -1.96278937E-02  2.88580292E-02  7.11034092E-03  3.56173695E-02  0.00000000E+00
    1400 -1.82584373E-03  4.00941160E-02 -3.35102660E-02  5.22858468E-02  0.00000000E+00
    1500 -7.71076471E-03 -4.85725433E-03 -3.21948418E-02  3.34597766E-02  0.00000000E+00
    1600  1.07315756E-02  1.95224075E-02 -9.50330121E-03  2.42199060E-02  0.00000000E+00
    1700  2.78321532E-02  2.83109958E-03  2.97065633E-02  4.08059283E-02  0.00000000E+00
    1800  4.07126409E-03  5.96296780E-02  6.89145972E-02  9.12222308E-02  0.00000000E+00
    1900 -5.60662362E-02  5.62681141E-03 -4.38913457E-02  7.14250241E-02  0.00000000E+00
    2000 -1.30953773E-02  6.22517962E-02 -2.15069007E-02  6.71514840E-02  0.00000000E+00
    2100 -5.27667627E-04  2.43190538E-03  3.99810670E-03  4.70929443E-03  0.00000000E+00
    2200 -8.82683615E-03  1.89061043E-03 -3.03218553E-02  3.16370409E-02  0.00000000E+00
    2300 -2.44116648E-02 -2.92573374E-03  4.06254317E-02  4.74859453E-02  0.00000000E+00
    2400  1.32511253E-03  3.72750889E-02  2.64314419E-03  3.73921701E-02  0.00000000E+00
    2500  2.92420557E-02 -1.58556331E-02 -1.75695627E-02  3.76189907E-02  0.00000000E+00
    2600  3.35082249E-02  2.79115139E-02 -6.67372327E-03  4.41179366E-02  0.00000000E+00
    2700  6.43393425E-03 -3.06477401E-03  1.70273493E-02  1.84585745E-02  0.00000000E+00
    2800  1.34940334E-02  1.37878101E-02  3.20612101E-02  3.74180951E-02  0.00000000E+00
    2900 -1.37588569E-02 -2.13068557E-02  1.12582336E-02  2.77495238E-02  0.00000000E+00
    3000  1.08448596E-02 -5.90925933E-02  1.62079729E-02  6.22273569E-02  0.00000000E+00
    3100  3.42069172E-03  4.10566813E-03 -1.60038422E-02  1.68724807E-02  0.00000000E+00
    3200 -1.11080083E-02  1.82189679E-02  4.80308833E-02  5.25574390E-02  0.00000000E+00
    3300  1.94665967E-03 -2.73368044E-02 -3.20903682E-03  2.75932650E-02  0.00000000E+00
    3400  1.15352482E-02  4.88443963E-02  3.09090093E-02  5.89423774E-02  0.00000000E+00
    3500  2.35106048E-02 -1.99647069E-02  3.47160965E-02  4.64386199E-02  0.00000000E+00
    3600 -4.22267464E-02 -1.93298751E-02  1.31842794E-02  4.82759506E-02  0.00000000E+00
    3700 -4.77541136E-04  2.28948242E-02  5.81652173E-03  2.36269538E-02  0.00000000E+00
    3800  5.85418705E-02 -2.23843377E-03  5.73180885E-03  5.88643765E-02  0.00000000E+00
    3900  3.55353960E-02  8.91880805E-03  3.53295219E-02  5.08968037E-02  0.00000000E+00
    4000 -1.09702598E-03 -1.60616265E-02 -1.91192485E-02  2.49944989E-02  0.00000000E+00
    4100 -2.79710636E-02  1.89626415E-02 -1.01642984E-02  3.52884561E-02  0.00000000E+00
    4200  2.29817031E-02 -5.38943433E-02  7.83739359E-03  5.91116203E-02  0.00000000E+00
    4300 -2.22467694E-02  1.04874657E-02 -4.01396439E-03  2.49202246E-02  0.00000000E+00
    4400 -2.57910549E-02  3.66092351E-03  1.69880873E-03  2.61049196E-02  0.00000000E+00
    4500 -1.52951875E-02 -1.00530612E-02 -2.44240781E-02  3.05211794E-02  0.00000000E+00
    4600 -1.16173240E-02 -2.48988157E-02  1.23060606E-02  3.01056867E-02  0.00000000E+00
    4700 -1.31600031E-02 -2.42881966E-02  5.50332540E-03  2.81671576E-02  0.00000000E+00
    4800  4.43604458E-02 -2.23132109E-02 -2.16066326E-02  5.41532558E-02  0.00000000E+00
    4900  9.35350607E-04  8.92122202E-03 -1.40557510E-02  1.66741482E-02  0.00000000E+00
    5000  2.93540031E-02  3.99228411E-02 -1.05891397E-04  4.95530216E-02  0.00000000E+00
    5100 -4.50929757E-03  1.77024261E-02  2.47868176E-02  3.07911673E-02  0.00000000E+00
    5200  8.69310985E-04 -2.35323728E-02  2.91075038E-02  3.74402864E-02  0.00000000E+00
    5300 -1.03162590E-02 -4.81333625E-02 -4.42104741E-05  4.92264943E-02  0.00000000E+00
    5400 -1.05637304E-02 -3.38689729E-03 -1.91268824E-02  2.21111081E-02  0.00000000E+00
    5500 -2.96277069E-02  2.15444558E-02  1.82253664E-02  4.09161164E-02  0.00000000E+00
    5600  2.51063307E-02 -4.16783593E-02  4.87542999E-02  6.88795705E-02  0.00000000E+00
    5700 -3.53018026E-02 -2.43222892E-02  2.96514048E-02  5.21248197E-02  0.00000000E+00
    5800 -3.17865357E-02 -3.01387751E-02 -3.92330563E-02  5.88044414E-02  0.00000000E+00
    5900  3.22144239E-02  3.40987824E-02 -1.61660449E-02  4.96169031E-02  0.00000000E+00
    6000  3.14278943E-02  6.07337170E-04 -9.64512893E-03  3.28802359E-02  0.00000000E+00
    6100  6.77818102E-03  1.00362985E-02  1.23896043E-02  1.73255107E-02  0.00000000E+00
    6200 -8.77727659E-03 -1.78425967E-02 -4.50624215E-02  4.92546513E-02  0.00000000E+00
    6300  1.72473712E-02  8.80337725E-03 -6.58591414E-03  2.04534967E-02  0.00000000E+00
    6400 -1.57560378E-02 -3.65077272E-03 -1.71289474E-03  1.62639133E-02  0.00000000E+00
    6500  2.72579926E-02  1.89129706E-02  1.06070185E-02  3.48311277E-02  0.00000000E+00
    6600  1.34043823E-02  1.60800428E-02  1.47629469E-02  2.56162028E-02  0.00000000E+00
    6700 -9.02678788E-03  8.46541188E-03  2.03879521E-03  1.25420407E-02  0.00000000E+00
    6800 -2.15816318E-02 -1.84941548E-02  4.44722959E-04  2.84253121E-02  0.00000000E+00
    6900  1.24382092E-02  1.06260612E-02  2.39338161E-03  1.65333148E-02  0.00000000E+00
    7000  1.09634379E-02 -9.65874728E-05  4.27265900E-02  4.41108580E-02  0.00000000E+00
    7100  1.54933827E-02 -1.59630783E-04  1.74143342E-02  2.33094278E-02  0.00000000E+00
    7200  2.56873523E-04  1.65330686E-02  1.77747570E-02  2.42765386E-02  0.00000000E+00
    7300  3.59502564E-02  4.69174833E-02  2.44049584E-02  6.39474251E-02  0.00000000E+00
    7400  6.15712558E-03 -1.16305443E-02  2.99932686E-02  3.27532582E-02  0.00000000E+00
    7500  1.46835963E-03  2.21182817E-02  1.41855375E-02  2.63173695E-02  0.00000000E+00
    7600  1.80944714E-02 -6.41128493E-03 -3.28456510E-02  3.80440700E-02  0.00000000E+00
    7700 -3.83351741E-02  4.73549289E-02 -6.40983509E-02  8.84345716E-02  0.00000000E+00
    7800 -4.15595358E-02  1.71430766E-03  4.06470104E-03  4.17930097E-02  0.00000000E+00
    7900 -1.83079070E-02 -3.82417907E-02 -5.91897373E-02  7.28082346E-02  0.00000000E+00
    8000  1.91258829E-02 -1.81295184E-02 -4.29508017E-03  2.67006844E-02  0.00000000E+00
    8100 -7.71392831E-03  4.21925657E-03  8.82874299E-03  1.24600770E-02  0.00000000E+00
    8200  6.05806851E-03  9.62496015E-03  3.00877232E-03  1.17640453E-02  0.00000000E+00
    8300  1.79805087E-02 -2.33772938E-02 -1.45379171E-02  3.28808089E-02  0.00000000E+00
    8400 -3.03077941E-02 -2.38133248E-02 -1.20296372E-02  4.03775803E-02  0.00000000E+00
    8500  1.02452771E-02  3.87692589E-02  6.96057486E-02  8.03304511E-02  0.00000000E+00
    8600  1.34316298E-02 -4.26820321E-03  3.39920352E-02  3.67978898E-02  0.00000000E+00
    8700 -2.13516069E-02  4.75172051E-03 -5.08141069E-02  5.53221784E-02  0.00000000E+00
    8800 -2.39206864E-02  1.49407960E-02 -1.73511984E-02  3.31133011E-02  0.00000000E+00
    8900  1.33230469E-02 -1.37900553E-02  7.31970479E-04  1.91886681E-02  0.00000000E+00
    9000  2.15492741E-02  1.89652763E-02  5.16187884E-02  5.90639673E-02  0.00000000E+00
    9100 -1.69258100E-02  2.73767886E-02  1.16810181E-02  3.42405868E-02  0.00000000E+00
    9200 -1.15578729E-03 -4.17664736E-02  2.92115048E-02  5.09812335E-02  0.00000000E+00
    9300 -3.00728136E-02 -3.81934145E-02 -4.37843342E-02  6.54230766E-02  0.00000000E+00
    9400 -3.46756562E-02 -6.67059028E-03  1.30368159E-03  3.53354991E-02  0.00000000E+00
    9500 -2.19518317E-02 -8.75634414E-03 -1.90380314E-02  3.03480332E-02  0.00000000E+00
    9600  1.36818834E-02  4.90040465E-04  7.38116477E-03  1.55536384E-02  0.00000000E+00
    9700  1.46513264E-02  3.63827518E-02 -4.40405749E-03  3.94684902E-02  0.00000000E+00
    9800 -3.59335490E-02 -4.28046720E-03 -2.99237651E-02  4.69571513E-02  0.00000000E+00
    9900 -2.70453245E-03  1.65484770E-03  7.22798149E-03  7.89282795E-03  0.00000000E+00
   10000  4.47612494E-03 -4.22278265E-03 -4.63791346E-03  7.70570107E-03  0.00000000E+00
   10100  3.48900787E-02  2.32723434E-02 -8.56170888E-03  4.28044673E-02  0.00000000E+00
   10200 -2.80026439E-02  1.03005042E-02 -1.83638017E-02  3.50353773E-02  0.00000000E+00
   10300  7.94747584E-03 -2.31260500E-02 -3.85716161E-02  4.56699697E-02  0.00000000E+00
   10400 -8.42466987E-04  8.57766816E-03 -3.26914500E-02  3.38085351E-02  0.00000000E+00
   10500 -8.61671174E-03  2.66300357E-02  6.90362876E-03  2.88282260E-02  0.00000000E+00
   10600  1.70019222E-03  2.47147551E-02 -2.04063321E-02  3.20956097E-02  0.00000000E+00
   10700 -5.71620602E-03 -1.69541377E-02 -1.79473057E-02  2.53421305E-02  0.00000000E+00
   10800  2.28174843E-02  3.74911251E-02 -2.88907511E-02  5.25442437E-02  0.00000000E+00
   10900 -3.04776137E-03  1.13664136E-02 -6.02650618E-03  1.32213079E-02  0.00000000E+00
   11000  2.34689614E-02  1.07701873E-02 -1.87742936E-02  3.19259015E-02  0.00000000E+00
   11100 -4.35431319E-02  2.78807843E-02  1.92955005E-02  5.51874878E-02  0.00000000E+00
   11200  7.59768351E-03  4.23506237E-03  1.48441619E-02  1.72049322E-02  0.00000000E+00
   11300  4.87028666E-02  8.39244759E-04 -2.28583653E-03  4.87637016E-02  0.00000000E+00
   11400  1.24480287E-02 -3.56427997E-02  5.02399846E-02  6.28444002E-02  0.00000000E+00
   11500  9.87270640E-03  5.75915648E-03  1.13971671E-02  1.61410543E-02  0.00000000E+00
   11600 -1.36237482E-02  9.68782466E-03 -2.46461360E-02  2.97807401E-02  0.00000000E+00
   11700  1.60348012E-02  1.14567035E-02 -2.45568700E-02  3.14866761E-02  0.00000000E+00
   11800 -5.10333347E-02 -1.77198046E-02 -2.53453608E-02  5.96722719E-02  0.00000000E+00
   11900 -4.33887664E-02 -6.47010187E-03  3.71067459E-03  4.40251789E-02  0.00000000E+00
   12000 -4.88450762E-02 -3.75363158E-02  3.79407450E-02  7.23485771E-02  0.00000000E+00
   12100  1.55281483E-02 -1.90103153E-02 -1.46053566E-02  2.85627716E-02  0.00000000E+00
   12200 -3.35982006E-02  3.96163002E-02  1.36383157E-02  5.37056233E-02  0.00000000E+00
   12300  2.31793721E-03 -1.64564723E-02 -3.25699336E-02  3.65648586E-02  0.00000000E+00
   12400 -1.37855373E-02  3.01669155E-02 -3.83925023E-02  5.07352743E-02  0.00000000E+00
   12500  1.26993526E-02 -1.37236425E-03  2.82659582E-02  3.10180808E-02  0.00000000E+00
   12600 -2.62727582E-02  3.66921342E-03 -5.62141308E-03  2.71168072E-02  0.00000000E+00
   12700 -5.64947407E-03  5.25231500E-02 -7.00267019E-03  5.32882279E-02  0.00000000E+00
   12800 -1.42055431E-02  1.18636746E-02 -5.04854787E-02  5.37710684E-02  0.00000000E+00
   12900  5.26069541E-02 -2.59098247E-02  5.54441173E-02  8.07022972E-02  0.00000000E+00
   13000  3.19975148E-02 -1.40845708E-02 -1.49018598E-02  3.80037040E-02  0.00000000E+00
   13100 -1.02978678E-01  4.65529391E-03 -2.55357437E-03  1.03115473E-01  0.00000000E+00
   13200  3.13134678E-02 -8.97953173E-05  8.06113069E-03  3.23345505E-02  0.00000000E+00
   13300  3.44491454E-02 -7.83147769E-03  1.25852643E-02  3.75028604E-02  0.00000000E+00
   13400  1.10853004E-02 -1.24265768E-02 -3.06960564E-02  3.49220786E-02  0.00000000E+00
   13500 -6.52834560E-02  3.02154723E-02  1.63762763E-02  7.37772785E-02  0.00000000E+00
   13600  3.50166225E-02  3.06443306E-02  1.64625000E-03  4.65612391E-02  0.00000000E+00
   13700  4.13750824E-02 -1.10326282E-02  3.17180129E-03  4.29380560E-02  0.00000000E+00
   13800 -5.61187281E-03  1.54386445E-02  2.48828528E-02  2.98161236E-02  0.00000000E+00
   13900 -4.05821408E-02  1.11157279E-02 -1.77566120E-03  4.21143982E-02  0.00000000E+00
   14000 -3.87549523E-02  8.86249750E-03 -1.44465866E-02  4.22988659E-02  0.00000000E+00
   14100 -1.62522873E-02 -3.17894144E-02 -1.55382017E-02  3.89376351E-02  0.00000000E+00
   14200 -8.91411421E-03  3.08814207E-02 -9.40839410E-03  3.34909160E-02  0.00000000E+00
   14300  4.37785058E-02  3.43078363E-02 -9.20870967E-03  5.63771721E-02  0.00000000E+00
   14400 -2.27919174E-02 -2.41623535E-02  2.26020226E-02  4.01763892E-02  0.00000000E+00
   14500 -3.44603135E-02  1.88462466E-03 -2.48883106E-02  4.25498886E-02  0.00000000E+00
   14600 -6.25682522E-03  2.35628762E-02  5.50364307E-03  2.49929407E-02  0.00000000E+00
   14700 -1.01887180E-02  2.86121528E-03 -1.35242354E-02  1.71726955E-02  0.00000000E+00
   14800 -2.73749204E-02  2.43130712E-02  1.21398392E-02  3.85731434E-02  0.00000000E+00
   14900 -4.99273045E-02  2.57031382E-02  3.89814851E-02  6.83589293E-02  0.00000000E+00
   15000 -1.85623373E-03 -3.15401885E-02  2.00961479E-02  3.74444156E-02  0.00000000E+00
   15100 -8.26302555E-03 -1.75596466E-02 -3.56892949E-03  1.97321068E-02  0.00000000E+00
   15200  5.30445205E-02  1.16684032E-02  2.67095573E-02  6.05249803E-02  0.00000000E+00
   15300  1.09635224E-02 -5.10535939E-03  4.10597063E-02  4.28037732E-02  0.00000000E+00
   15400 -1.31697992E-03  1.02184784E-02 -3.91425843E-02  4.04758402E-02  0.00000000E+00
   15500 -4.23809397E-02 -4.00238429E-02 -3.71891250E-02  6.91453763E-02  0.00000000E+00
   15600  3.27009077E-03 -3.44607925E-03 -2.35852292E-02  2.40589275E-02  0.00000000E+00
   15700 -4.57676500E-03  3.06015139E-02 -2.33032560E-02  3.87355285E-02  0.00000000E+00
   15800  1.30492172E-02  2.31837839E-02 -1.95305223E-02  3.30032000E-02  0.00000000E+00
   15900 -4.33946698E-03 -1.44026046E-02  4.85898332E-03  1.58074574E-02  0.00000000E+00
   16000  3.63757063E-02  2.14581877E-02 -3.38128076E-04  4.22345848E-02  0.00000000E+00
   16100 -1.64436627E-02  1.63030012E-03  3.46981602E-02  3.84319430E-02  0.00000000E+00
   16200 -4.78479637E-03 -1.40254741E-02  2.41480963E-02  2.83326447E-02  0.00000000E+00
   16300 -3.30482054E-02  9.97115687E-03 -9.65425180E-03  3.58442802E-02  0.00000000E+00
   16400 -1.64765744E-03  6.59157298E-03  2.91396233E-02  2.99212509E-02  0.00000000E+00
   16500  1.34815654E-02 -2.28229531E-02  9.26223848E-03  2.80789754E-02  0.00000000E+00
   16600 -5.25181988E-02 -9.59499359E-03 -1.91382045E-02  5.67141603E-02  0.00000000E+00
   16700 -3.06493183E-02  1.46531239E-02  1.14754837E-02  3.58577952E-02  0.00000000E+00
   16800 -8.19627280E-03  1.43237901E-02  3.71989291E-03  1.69170758E-02  0.00000000E+00
   16900 -1.23208359E-02 -5.66484975E-02 -3.90225128E-03  5.81040690E-02  0.00000000E+00
   17000 -2.73415984E-02 -1.52690190E-02  1.42702997E-02  3.44143487E-02  0.00000000E+00
   17100 -2.56860369E-02  1.91594650E-02 -1.27321516E-02  3.44813758E-02  0.00000000E+00
