   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  3.15252979E-02  9.93844410E-04  9.87726712E-07  6.66666667E-01 -3.57036644E-19  1.28322375E-14 -1.25837475E+00 -1.24144829E+00  0.00000000E+00
      11  4.45447804E-02  2.23768906E-03  7.30235220E-06  5.13881618E-01  1.27063668E-03  2.66292904E-01 -1.38464425E+00 -1.36665301E+00  0.00000000E+00
      21  4.24451069E-02  2.10024603E-03  6.74557829E-06  4.90249587E-01  1.49727596E-03  2.20491798E-01 -1.38991389E+00 -1.37187764E+00  0.00000000E+00
      31  4.12731058E-02  2.00938423E-03  6.73631410E-06  4.43871572E-01  1.53365286E-03  2.03582155E-01 -1.40059675E+00 -1.38253024E+00  0.00000000E+00
      41  4.41949019E-02  2.29906793E-03  8.85537595E-06  4.41552770E-01  1.73400369E-03  2.09182932E-01 -1.40824804E+00 -1.38986105E+00  0.00000000E+00
      51  4.20763413E-02  2.07839158E-03  7.15684811E-06  4.47737191E-01  1.54397088E-03  2.35189234E-01 -1.41090443E+00 -1.39176846E+00  0.00000000E+00
      61  4.01492621E-02  1.90589347E-03  6.04153327E-06  4.45593044E-01  1.47356939E-03  2.42895606E-01 -1.40559911E+00 -1.38661560E+00  0.00000000E+00
      71  4.05505852E-02  1.92735551E-03  5.82740494E-06  4.77085984E-01  1.41880042E-03  1.86536009E-01 -1.40336981E+00 -1.38536323E+00  0.00000000E+00
      81  4.16633676E-02  2.02733154E-03  6.42770089E-06  4.78703448E-01  1.46136247E-03  2.12580785E-01 -1.40279626E+00 -1.38437756E+00  0.00000000E+00
      91  4.06629031E-02  1.91207937E-03  5.67987811E-06  4.82147678E-01  1.29648581E-03  2.28673090E-01 -1.40207597E+00 -1.38388075E+00  0.00000000E+00
     101  4.03285696E-02  1.87642213E-03  5.38025805E-06  4.90644784E-01  1.25347607E-03  2.15950583E-01 -1.40105963E+00 -1.38287778E+00  0.00000000E+00
     111  4.05686611E-02  1.90469089E-03  5.45335731E-06  4.98935435E-01  1.29782407E-03  1.99280515E-01 -1.39954784E+00 -1.38104855E+00  0.00000000E+00
     121  4.20467255E-02  2.03364226E-03  6.14370335E-06  5.04823683E-01  1.33211786E-03  1.74188517E-01 -1.40068250E+00 -1.38222263E+00  0.00000000E+00
     131  4.03290558E-02  1.88909489E-03  5.47142151E-06  4.88940610E-01  1.31681218E-03  1.77172841E-01 -1.40129176E+00 -1.38279317E+00  0.00000000E+00
     141  3.88232846E-02  1.76972453E-03  4.95646518E-06  4.72479350E-01  1.31588447E-03  1.60449223E-01 -1.40111904E+00 -1.38260732E+00  0.00000000E+00
     151  3.81054458E-02  1.70878451E-03  4.68251324E-06  4.65456364E-01  1.28722031E-03  1.60868490E-01 -1.40204637E+00 -1.38359431E+00  0.00000000E+00
     161  3.90120678E-02  1.78404121E-03  5.07678518E-06  4.68310885E-01  1.31399282E-03  2.18240604E-01 -1.40340670E+00 -1.38492598E+00  0.00000000E+00
     171  3.89730933E-02  1.78099531E-03  5.14039936E-06  4.59805627E-01  1.31396041E-03  2.80807353E-01 -1.40210811E+00 -1.38374145E+00  0.00000000E+00
     181  3.86550325E-02  1.73852360E-03  4.84805097E-06  4.65331323E-01  1.22481716E-03  2.64394254E-01 -1.40202150E+00 -1.38357179E+00  0.00000000E+00
     191  3.82414665E-02  1.69267969E-03  4.56449364E-06  4.68966661E-01  1.15441927E-03  2.65212572E-01 -1.40227604E+00 -1.38392882E+00  0.00000000E+00
     201  3.76466011E-02  1.65479542E-03  4.40572280E-06  4.63700619E-01  1.19081062E-03  2.58145831E-01 -1.40051485E+00 -1.38231006E+00  0.00000000E+00
     211  3.77429861E-02  1.65463650E-03  4.40374459E-06  4.63838450E-01  1.15358492E-03  2.63948313E-01 -1.39964889E+00 -1.38158891E+00  0.00000000E+00
     221  3.75142670E-02  1.63371957E-03  4.27773531E-06  4.65758486E-01  1.13501475E-03  2.68924047E-01 -1.40219174E+00 -1.38423297E+00  0.00000000E+00
     231  3.67328221E-02  1.60335829E-03  4.28473914E-06  4.44425929E-01  1.27367711E-03  2.77076219E-01 -1.40449279E+00 -1.38653505E+00  0.00000000E+00
     241  3.70588168E-02  1.63195414E-03  4.39933184E-06  4.49383066E-01  1.29643850E-03  2.75050494E-01 -1.40452410E+00 -1.38657803E+00  0.00000000E+00
     251  3.73540135E-02  1.64396779E-03  4.36986997E-06  4.61034895E-01  1.24654194E-03  2.77763897E-01 -1.40471270E+00 -1.38667854E+00  0.00000000E+00
     261  3.79599289E-02  1.69643206E-03  4.64112745E-06  4.62437086E-01  1.28078490E-03  2.66574261E-01 -1.40492540E+00 -1.38700166E+00  0.00000000E+00
     271  3.89501279E-02  1.81467473E-03  5.87584890E-06  4.05226266E-01  1.49177803E-03  2.67964140E-01 -1.40481729E+00 -1.38685667E+00  0.00000000E+00
