   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  3.65187251E-02  1.53142542E-03  3.68866724E-06  4.75728169E-01  8.92509827E-04  2.28621684E-01 -1.25524027E+00 -1.23811491E+00  0.00000000E+00
     371  3.66017993E-02  1.53222183E-03  3.64669326E-06  4.82232619E-01  8.68695433E-04  2.27388039E-01 -1.25449823E+00 -1.23740293E+00  0.00000000E+00
     381  3.67044120E-02  1.53702738E-03  3.64361093E-06  4.85900083E-01  8.56438147E-04  2.22723168E-01 -1.25472951E+00 -1.23763535E+00  0.00000000E+00
     391  3.72202669E-02  1.58589261E-03  3.89274868E-06  4.84073828E-01  9.04855605E-04  2.17050668E-01 -1.25497356E+00 -1.23791006E+00  0.00000000E+00
     401  3.73497141E-02  1.59729797E-03  3.94960246E-06  4.83987466E-01  9.12762783E-04  2.21071115E-01 -1.25599753E+00 -1.23892317E+00  0.00000000E+00
     411  3.74531424E-02  1.60326189E-03  3.96089672E-06  4.86354694E-01  9.04763862E-04  2.17991346E-01 -1.25553619E+00 -1.23841864E+00  0.00000000E+00
     421  3.76124844E-02  1.61391186E-03  3.98381853E-06  4.90177887E-01  8.98847988E-04  2.15545978E-01 -1.25479955E+00 -1.23771977E+00  0.00000000E+00
     431  3.75490262E-02  1.60509999E-03  3.92217364E-06  4.92540511E-01  8.80609358E-04  2.13827835E-01 -1.25424350E+00 -1.23721376E+00  0.00000000E+00
     441  3.75419366E-02  1.60498439E-03  3.92260655E-06  4.92411388E-01  8.82489799E-04  2.16767479E-01 -1.25349593E+00 -1.23647371E+00  0.00000000E+00
     451  3.76557705E-02  1.61488237E-03  3.99490624E-06  4.89373266E-01  8.88526547E-04  2.09944683E-01 -1.25289040E+00 -1.23586624E+00  0.00000000E+00
     461  3.77285689E-02  1.61810832E-03  3.98168779E-06  4.93090107E-01  8.78320819E-04  2.06798406E-01 -1.25291043E+00 -1.23591868E+00  0.00000000E+00
     471  3.72976757E-02  1.58628583E-03  3.85801405E-06  4.88930860E-01  8.80603066E-04  2.00097997E-01 -1.25260175E+00 -1.23564151E+00  0.00000000E+00
     481  3.69894068E-02  1.56490123E-03  3.77449002E-06  4.86236596E-01  8.87442279E-04  2.01919574E-01 -1.25263874E+00 -1.23569436E+00  0.00000000E+00
     491  3.68477376E-02  1.55491316E-03  3.74846569E-06  4.83202969E-01  8.89573656E-04  1.97911710E-01 -1.25230569E+00 -1.23534128E+00  0.00000000E+00
     501  3.66375733E-02  1.53933293E-03  3.68689481E-06  4.81350010E-01  8.88958962E-04  1.94589298E-01 -1.25217358E+00 -1.23516644E+00  0.00000000E+00
     511  3.71936710E-02  1.59314673E-03  4.01458697E-06  4.72760347E-01  9.46515858E-04  1.91138288E-01 -1.25239508E+00 -1.23541396E+00  0.00000000E+00
     521  3.74095558E-02  1.61558846E-03  4.14884831E-06  4.70159910E-01  9.75104027E-04  1.91185834E-01 -1.25295644E+00 -1.23598526E+00  0.00000000E+00
     531  3.77030473E-02  1.64284152E-03  4.29202657E-06  4.69909760E-01  9.98603141E-04  1.96607761E-01 -1.25272316E+00 -1.23574352E+00  0.00000000E+00
     541  3.78712320E-02  1.65371081E-03  4.31314022E-06  4.74281582E-01  9.90295922E-04  1.98360281E-01 -1.25220515E+00 -1.23519070E+00  0.00000000E+00
     551  3.81285656E-02  1.67157218E-03  4.35674470E-06  4.80254680E-01  9.82643864E-04  1.96356650E-01 -1.25219185E+00 -1.23522824E+00  0.00000000E+00
     561  3.81631557E-02  1.67696565E-03  4.39015586E-06  4.79632277E-01  9.95072321E-04  1.96026926E-01 -1.25262119E+00 -1.23565281E+00  0.00000000E+00
     571  3.83541094E-02  1.68964790E-03  4.41798948E-06  4.84164772E-01  9.86368646E-04  1.95156922E-01 -1.25254242E+00 -1.23554791E+00  0.00000000E+00
     581  3.84266115E-02  1.69532836E-03  4.43349286E-06  4.85817720E-01  9.86881633E-04  1.96664286E-01 -1.25181129E+00 -1.23484254E+00  0.00000000E+00
     591  3.87746199E-02  1.72739558E-03  4.61484819E-06  4.84471649E-01  1.01034652E-03  2.02272096E-01 -1.25069650E+00 -1.23376340E+00  0.00000000E+00
     601  3.86811705E-02  1.72131559E-03  4.59976282E-06  4.82520464E-01  1.01557231E-03  2.02858361E-01 -1.25012833E+00 -1.23320789E+00  0.00000000E+00
     611  3.84022797E-02  1.70050870E-03  4.51734625E-06  4.79279820E-01  1.01869001E-03  1.98472082E-01 -1.25051970E+00 -1.23356236E+00  0.00000000E+00
     621  3.82303662E-02  1.69259792E-03  4.52804232E-06  4.73156510E-01  1.04243848E-03  1.98461596E-01 -1.25006245E+00 -1.23315724E+00  0.00000000E+00
     631  3.82920119E-02  1.69783694E-03  4.56105282E-06  4.72585715E-01  1.04479261E-03  1.97562463E-01 -1.25058752E+00 -1.23368461E+00  0.00000000E+00
     641  3.84239413E-02  1.71039896E-03  4.63420322E-06  4.71969545E-01  1.05580606E-03  2.02470060E-01 -1.25036365E+00 -1.23340598E+00  0.00000000E+00
     651  3.84103415E-02  1.70602738E-03  4.59400078E-06  4.73864245E-01  1.04079620E-03  2.01754834E-01 -1.25031341E+00 -1.23334989E+00  0.00000000E+00
     661  3.83877672E-02  1.70271047E-03  4.57318522E-06  4.74205638E-01  1.03365258E-03  1.99662841E-01 -1.25052705E+00 -1.23353943E+00  0.00000000E+00
     671  3.82681013E-02  1.69665409E-03  4.56348452E-06  4.71568484E-01  1.04771520E-03  1.97172522E-01 -1.25070034E+00 -1.23375215E+00  0.00000000E+00
     681  3.85197623E-02  1.72314330E-03  4.74684991E-06  4.67105237E-01  1.08004235E-03  1.99017242E-01 -1.25078043E+00 -1.23385380E+00  0.00000000E+00
     691  3.85741301E-02  1.73179501E-03  4.84811167E-06  4.61161781E-01  1.10016713E-03  1.95716988E-01 -1.25066120E+00 -1.23371647E+00  0.00000000E+00
     701  3.83934076E-02  1.71786636E-03  4.79851671E-06  4.57990365E-01  1.10008190E-03  1.96065331E-01 -1.25038458E+00 -1.23348792E+00  0.00000000E+00
     711  3.83710603E-02  1.71218938E-03  4.74637546E-06  4.60318864E-01  1.08220764E-03  1.94953529E-01 -1.25032636E+00 -1.23344578E+00  0.00000000E+00
     721  3.81554946E-02  1.69428370E-03  4.66510863E-06  4.58288267E-01  1.07584941E-03  1.97589017E-01 -1.25109473E+00 -1.23419949E+00  0.00000000E+00
     731  3.80754457E-02  1.69219258E-03  4.69074006E-06  4.53964928E-01  1.09394742E-03  1.94554701E-01 -1.25133499E+00 -1.23444473E+00  0.00000000E+00
     741  3.81317515E-02  1.69321409E-03  4.66707056E-06  4.57375544E-01  1.07919592E-03  1.92719079E-01 -1.25142989E+00 -1.23458824E+00  0.00000000E+00
     751  3.79588099E-02  1.68386866E-03  4.64342119E-06  4.54115962E-01  1.09640372E-03  1.96506932E-01 -1.25157347E+00 -1.23472286E+00  0.00000000E+00
     761  3.79279156E-02  1.68854701E-03  4.71617226E-06  4.48631320E-01  1.12809066E-03  1.95208501E-01 -1.25182534E+00 -1.23494800E+00  0.00000000E+00
     771  3.79459597E-02  1.68961710E-03  4.70565737E-06  4.50557238E-01  1.12674160E-03  1.95413439E-01 -1.25209144E+00 -1.23520071E+00  0.00000000E+00
     781  3.81092719E-02  1.70447514E-03  4.81169464E-06  4.47928331E-01  1.13773871E-03  1.94541096E-01 -1.25158214E+00 -1.23473219E+00  0.00000000E+00
     791  3.78720888E-02  1.68486614E-03  4.72182368E-06  4.45555978E-01  1.13057589E-03  1.98486890E-01 -1.25207914E+00 -1.23518750E+00  0.00000000E+00
     801  3.79665763E-02  1.69282866E-03  4.75393634E-06  4.47024232E-01  1.13417064E-03  1.97880483E-01 -1.25231688E+00 -1.23542126E+00  0.00000000E+00
     811  3.79087385E-02  1.68992097E-03  4.73216621E-06  4.47660698E-01  1.14085188E-03  1.96156925E-01 -1.25232887E+00 -1.23541845E+00  0.00000000E+00
     821  3.78340186E-02  1.68439081E-03  4.69062799E-06  4.48908124E-01  1.14143543E-03  2.01112401E-01 -1.25213214E+00 -1.23521851E+00  0.00000000E+00
     831  3.78337826E-02  1.67986440E-03  4.64092978E-06  4.51804725E-01  1.12109286E-03  1.98858943E-01 -1.25244301E+00 -1.23551811E+00  0.00000000E+00
     841  3.78491654E-02  1.68022398E-03  4.63222911E-06  4.53066630E-01  1.11746231E-03  2.05196197E-01 -1.25289793E+00 -1.23598434E+00  0.00000000E+00
     851  3.75829897E-02  1.65840640E-03  4.54036691E-06  4.49714885E-01  1.10961429E-03  2.04626740E-01 -1.25272573E+00 -1.23579964E+00  0.00000000E+00
