   7    5   -1    0    0    0.428113
   7    5    0    0    0    0.428074
   7    6   -1    0    0    0.430232
   7    6   -1    1    0    0.430238
   7    8    0    1   -1    0.431231
   7    8    0    1    0    0.431225
   7    5   -1    0   -1   -0.066350
   7    5    0    0   -1   -0.066341
   7    6    0    0    0   -0.066476
   7    6    0    1    0   -0.066465
   7    8    0    0   -1   -0.064871
   7    8    0    0    0   -0.064867
   7    5   -1    1    0   -0.084431
   7    5    0    1    0   -0.084420
   7    6   -1    0    1   -0.085988
   7    6   -1    1    1   -0.085968
   7    8   -1    1   -1   -0.084619
   7    8   -1    1    0   -0.084616
   7    7   -1    0    0    0.086081
   7    7    0   -1    0    0.088450
   7    7    0    0   -1    0.086998
   7    7    0    0    1    0.086998
   7    7    0    1    0    0.088450
   7    7    1    0    0    0.086081
   7    8   -1    0   -1    0.025399
   7    8   -1    0    0    0.025404
   7    5   -1    1   -1    0.025016
   7    5    0    1   -1    0.025034
   7    6    0    0    1    0.024668
   7    6    0    1    1    0.024686
   7    5   -1   -1    0    0.039798
   7    5    0   -1    0    0.039810
   7    6   -1    0   -1    0.040438
   7    6   -1    1   -1    0.040449
   7    8    1    1   -1    0.039794
   7    8    1    1    0    0.039797
   7    5   -1    0    1    0.029744
   7    5    0    0    1    0.029748
   7    6   -2    0    0    0.029916
   7    6   -2    1    0    0.029928
   7    8    0    2   -1    0.029582
   7    8    0    2    0    0.029583
   7    7   -1   -1    0    0.015515
   7    7   -1    0   -1    0.015416
   7    7   -1    0    1   -0.005752
   7    7   -1    1    0   -0.006045
   7    7    0   -1   -1   -0.005825
   7    7    0   -1    1    0.015633
   7    7    0    1   -1    0.015633
   7    7    0    1    1   -0.005825
   7    7    1   -1    0   -0.006045
   7    7    1    0   -1   -0.005752
   7    7    1    0    1    0.015416
   7    7    1    1    0    0.015515
   7    5   -1   -1   -1   -0.016069
   7    5    0   -1   -1   -0.016070
   7    8    1    0   -1   -0.016020
   7    8    1    0    0   -0.016021
   7    6    0    0   -1   -0.016078
   7    6    0    1   -1   -0.016087
   7    5   -2    0    0    0.029070
   7    5    1    0    0    0.029067
   7    6   -1   -1    0    0.028947
   7    6   -1    2    0    0.028940
   7    8    0    1    1    0.029608
   7    8    0    1   -2    0.029608
   7    5   -1    1    1   -0.011875
   7    5    0    1    1   -0.011886
   7    8   -1    2   -1   -0.012206
   7    8   -1    2    0   -0.012208
   7    6   -2    0    1   -0.012011
   7    6   -2    1    1   -0.012011
   7    5    1    0   -1    0.001680
   7    6    0   -1    0    0.001546
   7    8    0    0    1    0.001131
   7    5   -2    0   -1    0.001676
   7    6    0    2    0    0.001549
   7    8    0    0   -2    0.001130
   7    5    1    1    0   -0.008133
   7    6   -1   -1    1   -0.008079
   7    8   -1    1    1   -0.008067
   7    5   -2    1    0   -0.008137
