   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.80449563E-02  3.25620449E-04  1.06028677E-07  6.66666667E-01  2.36498112E-20 -9.16911055E-14 -1.63195172E+00 -1.60875978E+00  0.00000000E+00
      11  4.08211762E-02  1.98261934E-03  6.05253871E-06  4.86739736E-01  2.03846192E-03  8.51029788E-01 -1.80515022E+00 -1.78196188E+00  0.00000000E+00
      21  4.21745550E-02  2.07560395E-03  6.66298395E-06  4.84464550E-01  1.91380157E-03  8.26644918E-01 -1.81979029E+00 -1.79797293E+00  0.00000000E+00
      31  4.00220994E-02  1.86781299E-03  5.26694992E-06  4.96764635E-01  1.71484620E-03  5.03860532E-01 -1.81528047E+00 -1.79415139E+00  0.00000000E+00
      41  4.41244128E-02  2.29462873E-03  7.91671195E-06  4.98814227E-01  2.24094759E-03  3.69137056E-01 -1.81987880E+00 -1.79807230E+00  0.00000000E+00
      51  4.70819174E-02  2.62189505E-03  1.12984523E-05  4.52143150E-01  2.61172535E-03  4.25385769E-01 -1.82255528E+00 -1.80101704E+00  0.00000000E+00
      61  4.74846874E-02  2.63975244E-03  1.12474868E-05  4.61968333E-01  2.48132085E-03  3.41449787E-01 -1.82243382E+00 -1.80044955E+00  0.00000000E+00
      71  4.64338468E-02  2.51172749E-03  1.00882742E-05  4.66971306E-01  2.29225819E-03  3.04187267E-01 -1.82400213E+00 -1.80199175E+00  0.00000000E+00
      81  4.50166457E-02  2.36701804E-03  9.05328617E-06  4.61380766E-01  2.19489117E-03  2.71095535E-01 -1.82477704E+00 -1.80266609E+00  0.00000000E+00
      91  4.67601491E-02  2.60100403E-03  1.13347302E-05  4.41519667E-01  2.67169865E-03  2.41108521E-01 -1.82608520E+00 -1.80405995E+00  0.00000000E+00
     101  4.55220110E-02  2.47009633E-03  1.03669529E-05  4.33627589E-01  2.56437994E-03  2.57816595E-01 -1.82346364E+00 -1.80172143E+00  0.00000000E+00
     111  4.52776132E-02  2.43070813E-03  9.78517128E-06  4.47946015E-01  2.45353326E-03  2.99254975E-01 -1.82223025E+00 -1.80069644E+00  0.00000000E+00
     121  4.56056690E-02  2.44597240E-03  9.80957855E-06  4.53454917E-01  2.35974475E-03  3.36647847E-01 -1.82657697E+00 -1.80489666E+00  0.00000000E+00
     131  4.58476728E-02  2.45190176E-03  9.60832755E-06  4.67253735E-01  2.25530690E-03  3.28105854E-01 -1.82599598E+00 -1.80436724E+00  0.00000000E+00
     141  4.47741892E-02  2.33101496E-03  8.72030045E-06  4.65041526E-01  2.10315127E-03  3.56410994E-01 -1.82419883E+00 -1.80292563E+00  0.00000000E+00
