   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.53246763E-01  6.41339228E-02  4.11316005E-03  6.66666667E-01 -1.00023811E-37  0.00000000E+00 -5.44818279E+00 -5.26143264E+00  0.00000000E+00
      11  2.61410236E-01  6.83379104E-02  4.67077144E-03  6.66616600E-01  1.61884071E-25  0.00000000E+00 -6.04615842E+00 -5.81996168E+00  0.00000000E+00
      21  2.56727086E-01  6.59215467E-02  4.34902952E-03  6.66407465E-01  7.94274584E-25  0.00000000E+00 -6.07078237E+00 -5.84163463E+00  0.00000000E+00
      31  2.52798023E-01  6.39269539E-02  4.09187623E-03  6.66240826E-01  1.25297080E-24  0.00000000E+00 -6.07665670E+00 -5.84651311E+00  0.00000000E+00
      41  2.50124068E-01  6.25834944E-02  3.92218849E-03  6.66199034E-01  1.33590833E-24  0.00000000E+00 -6.07906239E+00 -5.84829418E+00  0.00000000E+00
      51  2.48322339E-01  6.16839584E-02  3.80998616E-03  6.66222028E-01  1.24429494E-24  0.00000000E+00 -6.08034296E+00 -5.84907886E+00  0.00000000E+00
      61  2.47019151E-01  6.10364752E-02  3.72999944E-03  6.66259724E-01  1.12218604E-24  0.00000000E+00 -6.08113965E+00 -5.84944324E+00  0.00000000E+00
      71  2.45982670E-01  6.05238740E-02  3.66725559E-03  6.66292100E-01  1.02164599E-24  0.00000000E+00 -6.08168805E+00 -5.84959793E+00  0.00000000E+00
      81  2.45095218E-01  6.00869349E-02  3.61424927E-03  6.66314953E-01  9.51178585E-25  0.00000000E+00 -6.08209231E+00 -5.84963609E+00  0.00000000E+00
      91  2.44302485E-01  5.96982430E-02  3.56748542E-03  6.66329468E-01  9.05683341E-25  0.00000000E+00 -6.08240491E+00 -5.84960563E+00  0.00000000E+00
     101  2.43581536E-01  5.93460432E-02  3.52542280E-03  6.66338254E-01  8.77025481E-25  0.00000000E+00 -6.08265511E+00 -5.84953410E+00  0.00000000E+00
     111  2.42923356E-01  5.90255251E-02  3.48738637E-03  6.66343882E-01  8.57674937E-25  0.00000000E+00 -6.08286061E+00 -5.84943839E+00  0.00000000E+00
     121  2.42323624E-01  5.87342570E-02  3.45300783E-03  6.66348294E-01  8.42115062E-25  0.00000000E+00 -6.08303281E+00 -5.84932912E+00  0.00000000E+00
     131  2.41778589E-01  5.84701625E-02  3.42198030E-03  6.66352674E-01  8.27056918E-25  0.00000000E+00 -6.08317949E+00 -5.84921298E+00  0.00000000E+00
     141  2.41283894E-01  5.82309358E-02  3.39398612E-03  6.66357576E-01  8.10970747E-25  0.00000000E+00 -6.08330613E+00 -5.84909404E+00  0.00000000E+00
     151  2.40834673E-01  5.80140766E-02  3.36869760E-03  6.66363156E-01  7.93432216E-25  0.00000000E+00 -6.08341679E+00 -5.84897475E+00  0.00000000E+00
     161  2.40425966E-01  5.78170792E-02  3.34579620E-03  6.66369357E-01  7.74581690E-25  0.00000000E+00 -6.08351450E+00 -5.84885652E+00  0.00000000E+00
     171  2.40053063E-01  5.76375892E-02  3.32498818E-03  6.66376038E-01  7.54778292E-25  0.00000000E+00 -6.08360160E+00 -5.84874010E+00  0.00000000E+00
     181  2.39711693E-01  5.74734852E-02  3.30601211E-03  6.66383042E-01  7.34418099E-25  0.00000000E+00 -6.08367994E+00 -5.84862584E+00  0.00000000E+00
     191  2.39398075E-01  5.73228975E-02  3.28863968E-03  6.66390224E-01  7.13858085E-25  0.00000000E+00 -6.08375096E+00 -5.84851388E+00  0.00000000E+00
     201  2.39108886E-01  5.71841901E-02  3.27267254E-03  6.66397460E-01  6.93396648E-25  0.00000000E+00 -6.08381584E+00 -5.84840422E+00  0.00000000E+00
     211  2.38841198E-01  5.70559258E-02  3.25793758E-03  6.66404648E-01  6.73278742E-25  0.00000000E+00 -6.08387553E+00 -5.84829678E+00  0.00000000E+00
     221  2.38592404E-01  5.69368291E-02  3.24428217E-03  6.66411700E-01  6.53707761E-25  0.00000000E+00 -6.08393080E+00 -5.84819146E+00  0.00000000E+00
     231  2.38360158E-01  5.68257562E-02  3.23157029E-03  6.66418541E-01  6.34855593E-25  0.00000000E+00 -6.08398229E+00 -5.84808815E+00  0.00000000E+00
     241  2.38142337E-01  5.67216751E-02  3.21967999E-03  6.66425106E-01  6.16867787E-25  0.00000000E+00 -6.08403049E+00 -5.84798675E+00  0.00000000E+00
     251  2.37937023E-01  5.66236563E-02  3.20850199E-03  6.66431341E-01  5.99863907E-25  0.00000000E+00 -6.08407584E+00 -5.84788719E+00  0.00000000E+00
     261  2.37742505E-01  5.65308723E-02  3.19793942E-03  6.66437205E-01  5.83934841E-25  0.00000000E+00 -6.08411866E+00 -5.84778942E+00  0.00000000E+00
     271  2.37557286E-01  5.64426002E-02  3.18790795E-03  6.66442667E-01  5.69139449E-25  0.00000000E+00 -6.08415923E+00 -5.84769344E+00  0.00000000E+00
     281  2.37380090E-01  5.63582244E-02  3.17833582E-03  6.66447712E-01  5.55502670E-25  0.00000000E+00 -6.08419777E+00 -5.84759925E+00  0.00000000E+00
     291  2.37209861E-01  5.62772350E-02  3.16916359E-03  6.66452338E-01  5.43016354E-25  0.00000000E+00 -6.08423445E+00 -5.84750690E+00  0.00000000E+00
     301  2.37045747E-01  5.61992204E-02  3.16034318E-03  6.66456556E-01  5.31642994E-25  0.00000000E+00 -6.08426944E+00 -5.84741646E+00  0.00000000E+00
     311  2.36887077E-01  5.61238559E-02  3.15183649E-03  6.66460385E-01  5.21321645E-25  0.00000000E+00 -6.08430284E+00 -5.84732798E+00  0.00000000E+00
     321  2.36733332E-01  5.60508889E-02  3.14361370E-03  6.66463851E-01  5.11974871E-25  0.00000000E+00 -6.08433477E+00 -5.84724154E+00  0.00000000E+00
     331  2.36584111E-01  5.59801244E-02  3.13565159E-03  6.66466986E-01  5.03515608E-25  0.00000000E+00 -6.08436533E+00 -5.84715721E+00  0.00000000E+00
     341  2.36439107E-01  5.59114110E-02  3.12793193E-03  6.66469823E-01  4.95853126E-25  0.00000000E+00 -6.08439458E+00 -5.84707505E+00  0.00000000E+00
     351  2.36298077E-01  5.58446291E-02  3.12044018E-03  6.66472395E-01  4.88897707E-25  0.00000000E+00 -6.08442262E+00 -5.84699510E+00  0.00000000E+00
     361  2.36160825E-01  5.57796819E-02  3.11316444E-03  6.66474734E-01  4.82563985E-25  0.00000000E+00 -6.08444951E+00 -5.84691740E+00  0.00000000E+00
     371  2.36027190E-01  5.57164881E-02  3.10609464E-03  6.66476868E-01  4.76773110E-25  0.00000000E+00 -6.08447531E+00 -5.84684197E+00  0.00000000E+00
     381  2.35897030E-01  5.56549768E-02  3.09922194E-03  6.66478826E-01  4.71453978E-25  0.00000000E+00 -6.08450008E+00 -5.84676881E+00  0.00000000E+00
     391  2.35770215E-01  5.55950835E-02  3.09253834E-03  6.66480629E-01  4.66543796E-25  0.00000000E+00 -6.08452390E+00 -5.84669793E+00  0.00000000E+00
     401  2.35646625E-01  5.55367478E-02  3.08603631E-03  6.66482299E-01  4.61988179E-25  0.00000000E+00 -6.08454680E+00 -5.84662929E+00  0.00000000E+00
     411  2.35526141E-01  5.54799110E-02  3.07970864E-03  6.66483853E-01  4.57740937E-25  0.00000000E+00 -6.08456886E+00 -5.84656286E+00  0.00000000E+00
     421  2.35408646E-01  5.54245150E-02  3.07354821E-03  6.66485306E-01  4.53763684E-25  0.00000000E+00 -6.08459011E+00 -5.84649860E+00  0.00000000E+00
     431  2.35294023E-01  5.53705013E-02  3.06754797E-03  6.66486669E-01  4.50025315E-25  0.00000000E+00 -6.08461061E+00 -5.84643646E+00  0.00000000E+00
     441  2.35182149E-01  5.53178106E-02  3.06170080E-03  6.66487952E-01  4.46501423E-25  0.00000000E+00 -6.08463041E+00 -5.84637637E+00  0.00000000E+00
     451  2.35072899E-01  5.52663821E-02  3.05599950E-03  6.66489161E-01  4.43173679E-25  0.00000000E+00 -6.08464956E+00 -5.84631827E+00  0.00000000E+00
     461  2.34966147E-01  5.52161538E-02  3.05043676E-03  6.66490301E-01  4.40029209E-25  0.00000000E+00 -6.08466809E+00 -5.84626208E+00  0.00000000E+00
     471  2.34861759E-01  5.51670620E-02  3.04500517E-03  6.66491376E-01  4.37059991E-25  0.00000000E+00 -6.08468606E+00 -5.84620773E+00  0.00000000E+00
     481  2.34759602E-01  5.51190417E-02  3.03969721E-03  6.66492386E-01  4.34262273E-25  0.00000000E+00 -6.08470350E+00 -5.84615513E+00  0.00000000E+00
     491  2.34659536E-01  5.50720268E-02  3.03450529E-03  6.66493330E-01  4.31636047E-25  0.00000000E+00 -6.08472045E+00 -5.84610420E+00  0.00000000E+00
     501  2.34561422E-01  5.50259501E-02  3.02942172E-03  6.66494208E-01  4.29184557E-25  0.00000000E+00 -6.08473695E+00 -5.84605487E+00  0.00000000E+00
     511  2.34465116E-01  5.49807436E-02  3.02443879E-03  6.66495017E-01  4.26913874E-25  0.00000000E+00 -6.08475303E+00 -5.84600705E+00  0.00000000E+00
     521  2.34370474E-01  5.49363386E-02  3.01954875E-03  6.66495753E-01  4.24832507E-25  0.00000000E+00 -6.08476873E+00 -5.84596065E+00  0.00000000E+00
     531  2.34277350E-01  5.48926664E-02  3.01474386E-03  6.66496412E-01  4.22951071E-25  0.00000000E+00 -6.08478409E+00 -5.84591560E+00  0.00000000E+00
     541  2.34185600E-01  5.48496580E-02  3.01001640E-03  6.66496989E-01  4.21281985E-25  0.00000000E+00 -6.08479913E+00 -5.84587183E+00  0.00000000E+00
     551  2.34095077E-01  5.48072448E-02  3.00535874E-03  6.66497477E-01  4.19839210E-25  0.00000000E+00 -6.08481388E+00 -5.84582924E+00  0.00000000E+00
     561  2.34005638E-01  5.47653588E-02  3.00076331E-03  6.66497871E-01  4.18638015E-25  0.00000000E+00 -6.08482837E+00 -5.84578778E+00  0.00000000E+00
     571  2.33917138E-01  5.47239327E-02  2.99622267E-03  6.66498163E-01  4.17694750E-25  0.00000000E+00 -6.08484264E+00 -5.84574735E+00  0.00000000E+00
     581  2.33829438E-01  5.46829006E-02  2.99172955E-03  6.66498347E-01  4.17026644E-25  0.00000000E+00 -6.08485670E+00 -5.84570791E+00  0.00000000E+00
     591  2.33742400E-01  5.46421979E-02  2.98727687E-03  6.66498415E-01  4.16651608E-25  0.00000000E+00 -6.08487059E+00 -5.84566937E+00  0.00000000E+00
     601  2.33655890E-01  5.46017621E-02  2.98285777E-03  6.66498360E-01  4.16588039E-25  0.00000000E+00 -6.08488432E+00 -5.84563168E+00  0.00000000E+00
     611  2.33569778E-01  5.45615329E-02  2.97846566E-03  6.66498173E-01  4.16854644E-25  0.00000000E+00 -6.08489793E+00 -5.84559477E+00  0.00000000E+00
     621  2.33483941E-01  5.45214522E-02  2.97409424E-03  6.66497848E-01  4.17470266E-25  0.00000000E+00 -6.08491143E+00 -5.84555859E+00  0.00000000E+00
     631  2.33398260E-01  5.44814651E-02  2.96973753E-03  6.66497376E-01  4.18453745E-25  0.00000000E+00 -6.08492485E+00 -5.84552308E+00  0.00000000E+00
     641  2.33312623E-01  5.44415193E-02  2.96538987E-03  6.66496749E-01  4.19823798E-25  0.00000000E+00 -6.08493820E+00 -5.84548819E+00  0.00000000E+00
     651  2.33226923E-01  5.44015655E-02  2.96104597E-03  6.66495960E-01  4.21598951E-25  0.00000000E+00 -6.08495151E+00 -5.84545387E+00  0.00000000E+00
     661  2.33141062E-01  5.43615577E-02  2.95670087E-03  6.66495001E-01  4.23797507E-25  0.00000000E+00 -6.08496480E+00 -5.84542007E+00  0.00000000E+00
     671  2.33054945E-01  5.43214528E-02  2.95234996E-03  6.66493864E-01  4.26437551E-25  0.00000000E+00 -6.08497807E+00 -5.84538676E+00  0.00000000E+00
     681  2.32968485E-01  5.42812104E-02  2.94798895E-03  6.66492542E-01  4.29536972E-25  0.00000000E+00 -6.08499135E+00 -5.84535390E+00  0.00000000E+00
     691  2.32881602E-01  5.42407933E-02  2.94361388E-03  6.66491028E-01  4.33113438E-25  0.00000000E+00 -6.08500465E+00 -5.84532145E+00  0.00000000E+00
     701  2.32794221E-01  5.42001671E-02  2.93922112E-03  6.66489314E-01  4.37184249E-25  0.00000000E+00 -6.08501797E+00 -5.84528938E+00  0.00000000E+00
     711  2.32706272E-01  5.41593007E-02  2.93480740E-03  6.66487393E-01  4.41765956E-25  0.00000000E+00 -6.08503134E+00 -5.84525768E+00  0.00000000E+00
     721  2.32617698E-01  5.41181670E-02  2.93036991E-03  6.66485259E-01  4.46873617E-25  0.00000000E+00 -6.08504476E+00 -5.84522631E+00  0.00000000E+00
