   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.12796408E-02 -3.48995477E-02  3.15962626E-02  4.84100459E-02  0.00000000E+00
     100 -5.06682815E-02  3.36051764E-02 -9.74987901E-03  6.15763167E-02  0.00000000E+00
     200  1.78485580E-02  8.79891989E-03  4.96058420E-03  2.05085204E-02  0.00000000E+00
     300  2.43651290E-02 -4.88888340E-03 -2.11080950E-02  3.26054040E-02  0.00000000E+00
     400 -2.41819708E-02 -3.06266132E-02  2.93035795E-02  4.88001734E-02  0.00000000E+00
     500 -2.27340872E-02  9.97702235E-03 -5.06382630E-04  2.48321590E-02  0.00000000E+00
     600 -4.25245274E-02  1.90448439E-02 -3.14283879E-02  5.62030700E-02  0.00000000E+00
     700 -5.16576474E-02  1.68697713E-02 -1.48382906E-02  5.63318434E-02  0.00000000E+00
     800 -2.61294562E-02  1.78888235E-02 -3.32098158E-02  4.58873660E-02  0.00000000E+00
     900  1.25106880E-02 -3.90878660E-03 -6.58186905E-02  6.71110717E-02  0.00000000E+00
    1000 -5.46834391E-02 -5.04054639E-02  8.93416517E-03  7.49053310E-02  0.00000000E+00
    1100  2.78910266E-02 -4.70354513E-02  1.42136181E-02  5.65001768E-02  0.00000000E+00
    1200  1.84341040E-02 -1.63898456E-02 -3.01103191E-02  3.89239585E-02  0.00000000E+00
    1300  4.00068895E-03  7.52001336E-03  7.73389204E-03  1.15051814E-02  0.00000000E+00
    1400  3.47416047E-02  6.79855585E-03 -4.83672491E-02  5.99382202E-02  0.00000000E+00
    1500  4.28244343E-02 -1.36873009E-02 -2.29795594E-02  5.04909351E-02  0.00000000E+00
    1600 -1.02981348E-03 -2.18545096E-02  9.02836646E-03  2.36683651E-02  0.00000000E+00
    1700 -5.02752217E-02 -3.22817121E-02 -3.44946926E-02  6.89897867E-02  0.00000000E+00
    1800 -3.76403924E-02 -1.50152192E-02 -1.62922167E-02  4.36771367E-02  0.00000000E+00
    1900  4.36844129E-03  4.06549404E-02  3.16624924E-02  5.17148033E-02  0.00000000E+00
