   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.96840196E-02  8.81141022E-04  7.76409502E-07  6.66666667E-01 -1.22281200E-18  1.61115091E-12 -2.12416880E+00 -2.09994166E+00  0.00000000E+00
      11  6.24496642E-02  4.12055570E-03  1.99654860E-05  6.08035213E-01  4.97662385E-03  1.67889752E+03 -4.47735038E+00 -4.37861939E+00  0.00000000E+00
      21  1.15036140E-01  1.55842538E-02  3.76841624E-04  4.82791578E-01  5.30371830E-02  5.31203743E+02 -4.62068673E+00 -4.50455435E+00  0.00000000E+00
      31  1.10027321E-01  1.35602684E-02  2.66568896E-04  5.16772492E-01  3.28080201E-02  2.56346107E+02 -4.66081567E+00 -4.53923710E+00  0.00000000E+00
      41  9.24511499E-02  9.90864210E-03  1.66017292E-04  4.36357427E-01  3.07137759E-02  1.50458824E+02 -4.67703679E+00 -4.55365047E+00  0.00000000E+00
      51  8.99613730E-02  9.18268347E-03  1.36831389E-04  4.59089697E-01  2.45821486E-02  9.99047789E+01 -4.69024816E+00 -4.56635544E+00  0.00000000E+00
      61  7.84667401E-02  7.26947517E-03  9.86903771E-05  3.77488414E-01  2.50967651E-02  7.07911607E+01 -4.69647356E+00 -4.57149556E+00  0.00000000E+00
      71  7.04299556E-02  6.04392247E-03  7.55806013E-05  3.10314145E-01  2.44447355E-02  5.28919766E+01 -4.70168597E+00 -4.57591867E+00  0.00000000E+00
      81  7.33017559E-02  6.46786065E-03  7.93408038E-05  3.67800668E-01  2.46967173E-02  4.17347581E+01 -4.70786278E+00 -4.58163136E+00  0.00000000E+00
      91  7.77132698E-02  7.01958655E-03  8.15726477E-05  4.48176442E-01  2.21140726E-02  3.32716400E+01 -4.70937509E+00 -4.58259914E+00  0.00000000E+00
     101  8.10925084E-02  7.46698910E-03  8.45535402E-05  4.94501924E-01  2.01008178E-02  2.72703071E+01 -4.71122541E+00 -4.58430123E+00  0.00000000E+00
     111  7.81615909E-02  6.94460046E-03  7.42101824E-05  4.87082266E-01  1.88458505E-02  2.31565274E+01 -4.71419989E+00 -4.58727486E+00  0.00000000E+00
     121  8.30282072E-02  7.81547731E-03  9.21242748E-05  4.97261882E-01  2.07956640E-02  1.96949411E+01 -4.71492036E+00 -4.58803095E+00  0.00000000E+00
     131  8.50181912E-02  8.43868672E-03  1.11522518E-04  4.77974660E-01  2.73109832E-02  1.68998613E+01 -4.71488352E+00 -4.58791498E+00  0.00000000E+00
     141  8.07467297E-02  7.73183127E-03  9.82160052E-05  4.52358595E-01  2.73381234E-02  1.47241988E+01 -4.71362205E+00 -4.58656416E+00  0.00000000E+00
     151  8.47316024E-02  8.36431315E-03  1.07197416E-04  4.89256918E-01  2.67306236E-02  1.30899395E+01 -4.71546028E+00 -4.58773033E+00  0.00000000E+00
     161  8.61144606E-02  8.49797870E-03  1.06061799E-04  5.10439399E-01  2.44161868E-02  1.15745342E+01 -4.71579828E+00 -4.58796610E+00  0.00000000E+00
     171  8.26188948E-02  7.90914775E-03  9.56851926E-05  4.90124547E-01  2.44384670E-02  1.05400907E+01 -4.71737359E+00 -4.58943943E+00  0.00000000E+00
     181  7.93394082E-02  7.41707245E-03  8.75612500E-05  4.69450811E-01  2.53197681E-02  9.69099780E+00 -4.71834590E+00 -4.59044397E+00  0.00000000E+00
     191  7.55209305E-02  6.86048051E-03  7.91581459E-05  4.39384258E-01  2.61034753E-02  8.79161103E+00 -4.71784216E+00 -4.59021325E+00  0.00000000E+00
     201  7.35759270E-02  6.51452298E-03  7.27935118E-05  4.28249996E-01  2.48409367E-02  8.12819534E+00 -4.71878954E+00 -4.59099898E+00  0.00000000E+00
     211  7.19239839E-02  6.22055832E-03  6.73578533E-05  4.19759216E-01  2.36315614E-02  7.60208711E+00 -4.71997871E+00 -4.59210869E+00  0.00000000E+00
     221  6.94202962E-02  5.86998705E-03  6.20755693E-05  3.99483187E-01  2.37062500E-02  6.98089134E+00 -4.71982041E+00 -4.59174140E+00  0.00000000E+00
     231  6.89090448E-02  5.78332071E-03  5.99660676E-05  4.02373617E-01  2.33465248E-02  6.48376144E+00 -4.71954953E+00 -4.59101115E+00  0.00000000E+00
     241  6.98789746E-02  5.88115554E-03  6.00938343E-05  4.20860310E-01  2.25167728E-02  6.01050062E+00 -4.71946186E+00 -4.59085841E+00  0.00000000E+00
     251  6.92370335E-02  5.75921048E-03  5.74857406E-05  4.22285891E-01  2.17803975E-02  5.65017745E+00 -4.71871547E+00 -4.59015745E+00  0.00000000E+00
     261  7.27797928E-02  6.38111901E-03  6.98788216E-05  4.27954427E-01  2.44600073E-02  5.35320380E+00 -4.71952571E+00 -4.59061527E+00  0.00000000E+00
     271  7.71328576E-02  7.27823898E-03  9.64988725E-05  3.92776793E-01  2.99768378E-02  5.19864377E+00 -4.72062067E+00 -4.59126002E+00  0.00000000E+00
     281  8.34266360E-02  8.74393759E-03  1.47777461E-04  3.55722674E-01  4.02455291E-02  4.93976431E+00 -4.72117569E+00 -4.59154028E+00  0.00000000E+00
     291  8.72895873E-02  9.52632598E-03  1.68504228E-04  3.81074081E-01  4.30186012E-02  4.73607197E+00 -4.72147543E+00 -4.59186520E+00  0.00000000E+00
     301  8.95051193E-02  9.88736874E-03  1.73729177E-04  4.07634107E-01  4.23271026E-02  4.55148889E+00 -4.72121424E+00 -4.59176513E+00  0.00000000E+00
     311  8.92327636E-02  9.78389259E-03  1.69046141E-04  4.11345249E-01  4.10909084E-02  4.32087691E+00 -4.72168632E+00 -4.59196349E+00  0.00000000E+00
     321  8.74899103E-02  9.44321228E-03  1.60167200E-04  4.01295085E-01  4.03536789E-02  4.10708363E+00 -4.72133215E+00 -4.59130473E+00  0.00000000E+00
     331  8.49633373E-02  9.02119002E-03  1.51151294E-04  3.80896938E-01  4.06626032E-02  3.92628361E+00 -4.72139387E+00 -4.59133837E+00  0.00000000E+00
     341  8.33074352E-02  8.70230763E-03  1.43473373E-04  3.68488609E-01  3.97547338E-02  3.75705885E+00 -4.72152432E+00 -4.59139873E+00  0.00000000E+00
     351  8.22954455E-02  8.50237777E-03  1.38090130E-04  3.63262265E-01  3.90251109E-02  3.65183312E+00 -4.72189303E+00 -4.59174010E+00  0.00000000E+00
     361  8.18917280E-02  8.35716021E-03  1.32714172E-04  3.66599224E-01  3.72443990E-02  3.54026327E+00 -4.72152584E+00 -4.59139395E+00  0.00000000E+00
     371  8.04138059E-02  8.07209938E-03  1.26181254E-04  3.54493556E-01  3.62250058E-02  3.41569090E+00 -4.72199613E+00 -4.59197502E+00  0.00000000E+00
     381  8.01891446E-02  7.98005212E-03  1.22603707E-04  3.58242591E-01  3.49624133E-02  3.33091228E+00 -4.72284311E+00 -4.59272894E+00  0.00000000E+00
     391  8.44189220E-02  8.97948192E-03  1.60420280E-04  3.36813839E-01  4.18020226E-02  3.25517534E+00 -4.72324592E+00 -4.59328241E+00  0.00000000E+00
     401  8.46749446E-02  8.97220556E-03  1.57786227E-04  3.46644719E-01  4.06612042E-02  3.14823429E+00 -4.72354531E+00 -4.59369637E+00  0.00000000E+00
     411  8.71606896E-02  9.47637332E-03  1.71417307E-04  3.63718801E-01  4.23989590E-02  3.06877796E+00 -4.72323185E+00 -4.59347958E+00  0.00000000E+00
     421  8.82000527E-02  9.62088173E-03  1.72230863E-04  3.79759714E-01  4.15472050E-02  3.10577608E+00 -4.72207003E+00 -4.59248771E+00  0.00000000E+00
     431  9.01266745E-02  9.96730146E-03  1.78540580E-04  4.00953548E-01  4.16115367E-02  2.99622210E+00 -4.72186901E+00 -4.59250255E+00  0.00000000E+00
     441  8.91041423E-02  9.73547019E-03  1.71810466E-04  3.95753004E-01  4.05159787E-02  2.87945127E+00 -4.72179070E+00 -4.59255906E+00  0.00000000E+00
     451  8.90577201E-02  9.66127758E-03  1.67559022E-04  4.01619488E-01  3.90287806E-02  2.81944237E+00 -4.72170916E+00 -4.59248200E+00  0.00000000E+00
     461  8.87215078E-02  9.58918215E-03  1.64990706E-04  4.01898225E-01  3.87507540E-02  2.74305320E+00 -4.72156085E+00 -4.59235552E+00  0.00000000E+00
     471  9.05687614E-02  9.93596660E-03  1.72034379E-04  4.19136958E-01  3.91024611E-02  2.65408874E+00 -4.72166864E+00 -4.59246119E+00  0.00000000E+00
     481  8.90583963E-02  9.65607523E-03  1.65496913E-04  4.08346604E-01  3.89086984E-02  2.62480275E+00 -4.72235062E+00 -4.59308748E+00  0.00000000E+00
     491  8.88200604E-02  9.57168723E-03  1.61854391E-04  4.11120773E-01  3.79613326E-02  2.58281854E+00 -4.72242670E+00 -4.59319091E+00  0.00000000E+00
     501  8.90670383E-02  9.56262145E-03  1.59373667E-04  4.19046487E-01  3.67656545E-02  2.51153338E+00 -4.72264557E+00 -4.59336047E+00  0.00000000E+00
     511  8.85880832E-02  9.47363411E-03  1.56675590E-04  4.18101995E-01  3.66777038E-02  2.44348595E+00 -4.72267776E+00 -4.59339608E+00  0.00000000E+00
     521  8.63826858E-02  9.16600448E-03  1.50907484E-04  4.01272243E-01  3.84430327E-02  2.37914653E+00 -4.72300214E+00 -4.59364220E+00  0.00000000E+00
     531  8.58311685E-02  9.04018015E-03  1.47141854E-04  3.99848634E-01  3.77471609E-02  2.35033832E+00 -4.72339648E+00 -4.59398191E+00  0.00000000E+00
     541  8.51327528E-02  8.89072435E-03  1.42998471E-04  3.96974264E-01  3.70691901E-02  2.32359786E+00 -4.72372011E+00 -4.59426288E+00  0.00000000E+00
     551  8.32576918E-02  8.61653153E-03  1.37942484E-04  3.80684678E-01  3.80065471E-02  2.27901228E+00 -4.72375976E+00 -4.59421980E+00  0.00000000E+00
     561  8.20053094E-02  8.41076211E-03  1.33515061E-04  3.70873031E-01  3.80336880E-02  2.21218430E+00 -4.72353522E+00 -4.59400960E+00  0.00000000E+00
     571  8.09200116E-02  8.22006797E-03  1.29279569E-04  3.62239196E-01  3.77207440E-02  2.15340190E+00 -4.72375173E+00 -4.59417988E+00  0.00000000E+00
     581  8.16403992E-02  8.32462001E-03  1.30558637E-04  3.72005971E-01  3.74375151E-02  2.08686218E+00 -4.72376152E+00 -4.59422022E+00  0.00000000E+00
     591  8.10964322E-02  8.20299405E-03  1.27198238E-04  3.69891921E-01  3.66907233E-02  2.03459023E+00 -4.72395979E+00 -4.59447789E+00  0.00000000E+00
     601  8.05620655E-02  8.07644887E-03  1.23726295E-04  3.67733956E-01  3.57847084E-02  1.97782913E+00 -4.72391504E+00 -4.59459936E+00  0.00000000E+00
     611  8.13833386E-02  8.21545748E-03  1.26470347E-04  3.75397165E-01  3.59202310E-02  1.97063646E+00 -4.72395406E+00 -4.59482745E+00  0.00000000E+00
     621  8.12607502E-02  8.16723842E-03  1.24502749E-04  3.77832646E-01  3.52822169E-02  1.99227481E+00 -4.72437609E+00 -4.59526739E+00  0.00000000E+00
     631  8.04013361E-02  8.01796258E-03  1.21134253E-04  3.71916104E-01  3.50489202E-02  1.99886868E+00 -4.72443086E+00 -4.59531544E+00  0.00000000E+00
     641  8.14242666E-02  8.17529660E-03  1.23058092E-04  3.86263592E-01  3.48638757E-02  1.97561352E+00 -4.72420696E+00 -4.59512152E+00  0.00000000E+00
     651  8.25463396E-02  8.35789529E-03  1.25703373E-04  4.00164969E-01  3.48325560E-02  1.97908457E+00 -4.72453832E+00 -4.59552226E+00  0.00000000E+00
     661  8.29111065E-02  8.40593481E-03  1.26016251E-04  4.05525454E-01  3.45547551E-02  1.96988724E+00 -4.72463470E+00 -4.59565001E+00  0.00000000E+00
     671  8.19669751E-02  8.24198456E-03  1.22605155E-04  3.98377759E-01  3.43678754E-02  1.94703296E+00 -4.72502222E+00 -4.59589141E+00  0.00000000E+00
     681  8.11759013E-02  8.09941548E-03  1.19480101E-04  3.92890583E-01  3.40630669E-02  1.91872706E+00 -4.72493668E+00 -4.59580108E+00  0.00000000E+00
     691  8.13023872E-02  8.08547186E-03  1.17926716E-04  3.98715220E-01  3.32848636E-02  1.89886636E+00 -4.72454945E+00 -4.59543545E+00  0.00000000E+00
     701  8.17351535E-02  8.13129960E-03  1.17669706E-04  4.06769475E-01  3.27269683E-02  1.89747464E+00 -4.72460902E+00 -4.59546532E+00  0.00000000E+00
     711  8.29396595E-02  8.36476152E-03  1.23602864E-04  4.11156137E-01  3.35190523E-02  1.87708418E+00 -4.72478054E+00 -4.59564479E+00  0.00000000E+00
     721  8.29621931E-02  8.33697845E-03  1.21934430E-04  4.15226423E-01  3.28079291E-02  1.84859437E+00 -4.72480722E+00 -4.59573795E+00  0.00000000E+00
     731  8.27866111E-02  8.27733284E-03  1.19837741E-04  4.16969168E-01  3.21188771E-02  1.82459045E+00 -4.72487547E+00 -4.59580665E+00  0.00000000E+00
     741  8.24520206E-02  8.19837749E-03  1.17618358E-04  4.16691861E-01  3.15849258E-02  1.78868110E+00 -4.72485171E+00 -4.59569931E+00  0.00000000E+00
     751  8.24217950E-02  8.16999731E-03  1.16133015E-04  4.20049911E-01  3.10570946E-02  1.76480349E+00 -4.72477963E+00 -4.59561926E+00  0.00000000E+00
     761  8.13594946E-02  8.00669503E-03  1.13236092E-04  4.11214585E-01  3.12980953E-02  1.75668539E+00 -4.72470926E+00 -4.59554947E+00  0.00000000E+00
     771  8.11932521E-02  7.95740603E-03  1.11544380E-04  4.12803578E-01  3.07957784E-02  1.74134526E+00 -4.72465015E+00 -4.59548269E+00  0.00000000E+00
     781  8.02544227E-02  7.81770030E-03  1.08975372E-04  4.05640687E-01  3.10634777E-02  1.71896470E+00 -4.72452313E+00 -4.59532699E+00  0.00000000E+00
     791  7.97664975E-02  7.71766475E-03  1.06658339E-04  4.03099776E-01  3.05681208E-02  1.69843493E+00 -4.72450570E+00 -4.59536704E+00  0.00000000E+00
     801  7.92369772E-02  7.61494058E-03  1.04387016E-04  3.99943438E-01  3.01501156E-02  1.69426139E+00 -4.72446341E+00 -4.59535650E+00  0.00000000E+00
     811  7.86799868E-02  7.52658177E-03  1.02542013E-04  3.96628190E-01  3.01410786E-02  1.68019966E+00 -4.72418894E+00 -4.59511524E+00  0.00000000E+00
     821  7.79791762E-02  7.41776509E-03  1.00427343E-04  3.91606502E-01  3.01630008E-02  1.67773381E+00 -4.72389033E+00 -4.59490630E+00  0.00000000E+00
     831  7.76362525E-02  7.37631194E-03  9.97805418E-05  3.88711742E-01  3.04317143E-02  1.64641759E+00 -4.72389366E+00 -4.59497933E+00  0.00000000E+00
     841  7.75212478E-02  7.33819395E-03  9.85178624E-05  3.90160777E-01  2.99743299E-02  1.63083703E+00 -4.72392666E+00 -4.59503803E+00  0.00000000E+00
     851  7.71236955E-02  7.26016748E-03  9.67428688E-05  3.88207106E-01  2.96010293E-02  1.61964361E+00 -4.72369539E+00 -4.59489974E+00  0.00000000E+00
     861  7.68400404E-02  7.19358260E-03  9.50081507E-05  3.88003215E-01  2.90841287E-02  1.58700800E+00 -4.72370456E+00 -4.59495694E+00  0.00000000E+00
     871  7.62332188E-02  7.09036696E-03  9.30305627E-05  3.83167897E-01  2.88511405E-02  1.59473478E+00 -4.72385965E+00 -4.59516064E+00  0.00000000E+00
     881  7.60090089E-02  7.04018426E-03  9.16174330E-05  3.83846652E-01  2.84890870E-02  1.59198824E+00 -4.72367458E+00 -4.59506961E+00  0.00000000E+00
     891  7.61094161E-02  7.03444430E-03  9.07916154E-05  3.88403631E-01  2.80150170E-02  1.57568460E+00 -4.72359286E+00 -4.59499142E+00  0.00000000E+00
     901  7.55522250E-02  6.95473733E-03  8.92597116E-05  3.84861711E-01  2.81232497E-02  1.55794188E+00 -4.72379416E+00 -4.59513336E+00  0.00000000E+00
     911  7.69086858E-02  7.22597010E-03  9.61913179E-05  3.85923752E-01  2.95766887E-02  1.53548428E+00 -4.72380696E+00 -4.59517395E+00  0.00000000E+00
     921  7.71690665E-02  7.25950332E-03  9.63547101E-05  3.90550285E-01  2.94281165E-02  1.53161320E+00 -4.72379930E+00 -4.59522532E+00  0.00000000E+00
     931  7.71635213E-02  7.24393330E-03  9.55857685E-05  3.92812117E-01  2.90961641E-02  1.52493574E+00 -4.72384359E+00 -4.59526683E+00  0.00000000E+00
     941  7.76232470E-02  7.31067206E-03  9.62451898E-05  3.99734791E-01  2.89964334E-02  1.49706209E+00 -4.72384071E+00 -4.59525959E+00  0.00000000E+00
     951  7.79053459E-02  7.34687030E-03  9.64968571E-05  4.04081088E-01  2.88232579E-02  1.48184299E+00 -4.72387969E+00 -4.59529108E+00  0.00000000E+00
     961  7.80051995E-02  7.34113282E-03  9.56603438E-05  4.08323229E-01  2.83426016E-02  1.46061946E+00 -4.72400863E+00 -4.59541326E+00  0.00000000E+00
     971  7.87373568E-02  7.47458927E-03  9.87774632E-05  4.10665389E-01  2.87643884E-02  1.44387507E+00 -4.72417345E+00 -4.59556618E+00  0.00000000E+00
     981  7.94490301E-02  7.59954273E-03  1.01140733E-04  4.16245930E-01  2.90436005E-02  1.44104743E+00 -4.72436976E+00 -4.59582930E+00  0.00000000E+00
