   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     361  2.91536707E-02  1.00781786E-03  1.71273642E-06  4.37910883E-01  1.82364227E-02  7.72653134E-01 -3.20637324E-01 -3.17969634E-01  0.00000000E+00
     371  2.94254615E-02  1.02231072E-03  1.74050539E-06  4.44878197E-01  1.80714313E-02  7.65146221E-01 -3.20740704E-01 -3.18067160E-01  0.00000000E+00
     381  2.94255825E-02  1.01857657E-03  1.71676213E-06  4.48428897E-01  1.76392874E-02  7.47977710E-01 -3.20768947E-01 -3.18089300E-01  0.00000000E+00
     391  2.96239678E-02  1.03380699E-03  1.76349491E-06  4.49985644E-01  1.80453939E-02  7.82193056E-01 -3.20771983E-01 -3.18079704E-01  0.00000000E+00
     401  2.96137955E-02  1.03263397E-03  1.75173492E-06  4.52411502E-01  1.79795047E-02  7.87148096E-01 -3.20817709E-01 -3.18120104E-01  0.00000000E+00
     411  2.97549495E-02  1.03904390E-03  1.75391555E-06  4.58473604E-01  1.77519312E-02  7.98735344E-01 -3.20838095E-01 -3.18142072E-01  0.00000000E+00
     421  2.92163977E-02  1.00886681E-03  1.68347663E-06  4.48661695E-01  1.79346684E-02  7.83567421E-01 -3.20772691E-01 -3.18076635E-01  0.00000000E+00
     431  2.94324109E-02  1.02712475E-03  1.76379453E-06  4.42711162E-01  1.85802405E-02  8.15652484E-01 -3.20904629E-01 -3.18209266E-01  0.00000000E+00
     441  2.93981861E-02  1.03168250E-03  1.80463355E-06  4.34834499E-01  1.93392624E-02  8.05776862E-01 -3.20939334E-01 -3.18244760E-01  0.00000000E+00
     451  2.92008213E-02  1.02312069E-03  1.78663105E-06  4.31068626E-01  1.96861967E-02  8.17303746E-01 -3.20992803E-01 -3.18289622E-01  0.00000000E+00
     461  2.90275901E-02  1.00857682E-03  1.73655635E-06  4.30951011E-01  1.91713940E-02  7.98326210E-01 -3.20952709E-01 -3.18250953E-01  0.00000000E+00
     471  2.89627586E-02  1.00245198E-03  1.71363286E-06  4.31579970E-01  1.88981909E-02  7.71662031E-01 -3.20982075E-01 -3.18279052E-01  0.00000000E+00
     481  2.89897419E-02  1.00416557E-03  1.72142312E-06  4.30943060E-01  1.89154991E-02  7.81748963E-01 -3.20994011E-01 -3.18294882E-01  0.00000000E+00
     491  2.87555489E-02  9.87307860E-04  1.66987880E-06  4.28970548E-01  1.85303791E-02  7.66229011E-01 -3.21052527E-01 -3.18355048E-01  0.00000000E+00
     501  2.87271247E-02  9.83991416E-04  1.65209013E-06  4.31238930E-01  1.83360331E-02  7.74889741E-01 -3.21116549E-01 -3.18419592E-01  0.00000000E+00
     511  2.87376933E-02  9.82424251E-04  1.64096797E-06  4.33264131E-01  1.80848641E-02  7.71263868E-01 -3.21187292E-01 -3.18490539E-01  0.00000000E+00
     521  2.87966062E-02  9.83848361E-04  1.63451726E-06  4.37125046E-01  1.78578460E-02  7.96644502E-01 -3.21373893E-01 -3.18678178E-01  0.00000000E+00
     531  2.87309725E-02  9.77991582E-04  1.61354410E-06  4.37672463E-01  1.76174723E-02  7.87112368E-01 -3.21431430E-01 -3.18735883E-01  0.00000000E+00
     541  2.86385935E-02  9.74635946E-04  1.60987393E-06  4.35081544E-01  1.78420302E-02  7.67423597E-01 -3.21422503E-01 -3.18723916E-01  0.00000000E+00
     551  2.89763194E-02  1.00242542E-03  1.72920596E-06  4.26383902E-01  1.88043691E-02  8.11412007E-01 -3.21473036E-01 -3.18777290E-01  0.00000000E+00
     561  2.87328774E-02  9.86792998E-04  1.68452213E-06  4.23361882E-01  1.86214546E-02  8.12489761E-01 -3.21333365E-01 -3.18638055E-01  0.00000000E+00
     571  2.90762580E-02  1.00601460E-03  1.71804858E-06  4.34144404E-01  1.85488085E-02  8.10802617E-01 -3.21201116E-01 -3.18508952E-01  0.00000000E+00
     581  2.89239543E-02  9.95934101E-04  1.68840303E-06  4.32594343E-01  1.84047882E-02  7.95008816E-01 -3.21213234E-01 -3.18517861E-01  0.00000000E+00
     591  2.89314173E-02  9.94712257E-04  1.67645566E-06  4.35224462E-01  1.82137833E-02  7.92760248E-01 -3.21166675E-01 -3.18468098E-01  0.00000000E+00
     601  2.88924939E-02  9.90142815E-04  1.65614402E-06  4.36905655E-01  1.79459526E-02  7.95358587E-01 -3.21304224E-01 -3.18606907E-01  0.00000000E+00
     611  2.88561145E-02  9.85955153E-04  1.63761826E-06  4.38464657E-01  1.77049117E-02  7.92354354E-01 -3.21252140E-01 -3.18550404E-01  0.00000000E+00
     621  2.88781164E-02  9.85725888E-04  1.63584528E-06  4.38811653E-01  1.75317059E-02  7.98911311E-01 -3.21204878E-01 -3.18498771E-01  0.00000000E+00
     631  2.89856312E-02  9.92287891E-04  1.65197127E-06  4.40750180E-01  1.75710697E-02  8.05406138E-01 -3.21228452E-01 -3.18520327E-01  0.00000000E+00
     641  2.90400390E-02  9.93528937E-04  1.64202097E-06  4.45506571E-01  1.73497580E-02  7.90307934E-01 -3.21228287E-01 -3.18520895E-01  0.00000000E+00
     651  2.89395481E-02  9.88080524E-04  1.62846121E-06  4.44004233E-01  1.73934205E-02  7.90674236E-01 -3.21277022E-01 -3.18571067E-01  0.00000000E+00
     661  2.87704325E-02  9.76877014E-04  1.59588757E-06  4.42555987E-01  1.72266456E-02  7.76287931E-01 -3.21213310E-01 -3.18511359E-01  0.00000000E+00
     671  2.87494524E-02  9.75109050E-04  1.58997663E-06  4.42604945E-01  1.71618237E-02  7.88669720E-01 -3.21174671E-01 -3.18473755E-01  0.00000000E+00
     681  2.87687443E-02  9.76023968E-04  1.58841386E-06  4.44196281E-01  1.71393326E-02  7.86599761E-01 -3.21158795E-01 -3.18458893E-01  0.00000000E+00
     691  2.89560538E-02  9.89756447E-04  1.62878806E-06  4.45774322E-01  1.74766223E-02  8.07210377E-01 -3.21192015E-01 -3.18492487E-01  0.00000000E+00
     701  2.89705949E-02  9.88980409E-04  1.61774565E-06  4.48667483E-01  1.72896907E-02  8.09524461E-01 -3.21151599E-01 -3.18451706E-01  0.00000000E+00
     711  2.90445448E-02  9.90720178E-04  1.60976767E-06  4.53311510E-01  1.69950962E-02  8.08609112E-01 -3.21201035E-01 -3.18505668E-01  0.00000000E+00
     721  2.89171096E-02  9.81775682E-04  1.58201332E-06  4.52902992E-01  1.68151197E-02  7.95030096E-01 -3.21181062E-01 -3.18486406E-01  0.00000000E+00
