#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     54  0.200000 -0.350000 -0.450000        1    7.87401907E-10  1.38555924E-10  2.77600971E-09  2.88884569E-09
     55  0.250000 -0.350000 -0.450000        1    4.01243826E-09  3.97509641E-09  3.22040904E-09  6.50169875E-09
     56  0.300000 -0.350000 -0.450000        1    6.41879449E-09  7.01233283E-10  1.54788401E-08  1.67716171E-08
     57  0.350000 -0.350000 -0.450000        1    1.18767786E-09  7.43914324E-10  5.74904753E-09  5.91739256E-09
     58  0.400000 -0.350000 -0.450000        1    2.43466911E-09  1.33936864E-09  1.55187399E-09  3.18274016E-09
     59  0.450000 -0.350000 -0.450000        1    1.32719205E-09  2.76686376E-12  6.50757701E-10  1.47815154E-09
     60  0.500000 -0.350000 -0.450000        1    2.57651225E-09  6.21642342E-09  9.37480501E-10  6.79420379E-09
     61 -0.450000 -0.300000 -0.450000        1    6.19938220E-10  5.07252736E-09  1.55875194E-09  5.34271138E-09
     62 -0.400000 -0.300000 -0.450000        1    1.45291680E-09  1.48943246E-09  3.80836233E-09  4.33970044E-09
     63 -0.350000 -0.300000 -0.450000        1    2.97128018E-09  8.17460157E-10  1.52796005E-09  3.43968151E-09
     64 -0.300000 -0.300000 -0.450000        1    4.77042049E-09  4.46214218E-09  1.68156051E-09  6.74501818E-09
     65 -0.250000 -0.300000 -0.450000        1    3.83514769E-09  2.62117336E-09  5.66144672E-09  7.32331118E-09
     66 -0.200000 -0.300000 -0.450000        1    3.82011652E-09  5.21070495E-10  2.81371782E-09  4.77302971E-09
     67 -0.150000 -0.300000 -0.450000        1    4.07906467E-09  2.66396625E-09  2.87007125E-11  4.87199225E-09
     68 -0.100000 -0.300000 -0.450000        1    7.33910271E-10  1.27924896E-08  2.94134795E-10  1.28169001E-08
     69 -0.050000 -0.300000 -0.450000        1    4.00717224E-10  5.22074245E-09  1.21271337E-09  5.37469997E-09
     70  0.000000 -0.300000 -0.450000        1    3.52120744E-10  2.19593188E-11  2.72012202E-09  2.74290631E-09
     71  0.050000 -0.300000 -0.450000        1    6.59388823E-10  4.18067924E-09  6.54092900E-10  4.28260552E-09
     72  0.100000 -0.300000 -0.450000        1    1.07975789E-09  7.36686579E-10  8.73266248E-09  8.82994780E-09
     73  0.150000 -0.300000 -0.450000        1    1.32743748E-09  1.76697386E-08  2.89722392E-10  1.77218987E-08
     74  0.200000 -0.300000 -0.450000        1    5.24892916E-09  2.26058881E-09  8.63887553E-09  1.03581702E-08
     75  0.250000 -0.300000 -0.450000        1    1.00661973E-09  2.08581478E-09  2.89661841E-10  2.33405454E-09
     76  0.300000 -0.300000 -0.450000        1    8.93825658E-10  3.48272920E-09  3.02462867E-09  4.69858549E-09
     77  0.350000 -0.300000 -0.450000        1    1.48318007E-09  1.45257118E-10  2.96019725E-09  3.31416513E-09
     78  0.400000 -0.300000 -0.450000        1    1.60573009E-09  1.62391235E-09  2.72831066E-10  2.29997766E-09
     79  0.450000 -0.300000 -0.450000        1    3.71649067E-09  5.42260947E-10  9.42591442E-10  3.87231564E-09
     80  0.500000 -0.300000 -0.450000        1    1.39171829E-09  4.54038518E-10  2.10389227E-09  2.56308280E-09
     81 -0.450000 -0.250000 -0.450000        1    1.25019705E-09  3.10402645E-09  1.46615903E-09  3.65343608E-09
     82 -0.400000 -0.250000 -0.450000        1    1.00639877E-09  1.43245894E-09  1.01546932E-09  2.02384659E-09
