#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.052150  0.493982  0.017876
    9011  0.052105  0.493970  0.017869
    9021  0.052056  0.493956  0.017862
    9031  0.052028  0.493940  0.017854
    9041  0.051983  0.493922  0.017847
    9051  0.051939  0.493902  0.017840
    9061  0.051867  0.493876  0.017833
    9071  0.051789  0.493845  0.017827
    9081  0.051693  0.493807  0.017821
    9091  0.051606  0.493763  0.017817
    9101  0.051512  0.493713  0.017813
    9111  0.051456  0.493659  0.017810
    9121  0.051411  0.493603  0.017806
    9131  0.051369  0.493546  0.017803
    9141  0.051328  0.493487  0.017800
    9151  0.051322  0.493430  0.017796
    9161  0.051317  0.493375  0.017792
    9171  0.051256  0.493316  0.017789
    9181  0.051212  0.493256  0.017785
    9191  0.051189  0.493195  0.017782
    9201  0.051209  0.493139  0.017778
    9211  0.051240  0.493087  0.017774
    9221  0.051263  0.493040  0.017770
    9231  0.051265  0.492995  0.017766
    9241  0.051272  0.492952  0.017761
    9251  0.051282  0.492913  0.017757
    9261  0.051298  0.492877  0.017752
    9271  0.051300  0.492844  0.017747
    9281  0.051327  0.492814  0.017742
    9291  0.051380  0.492788  0.017737
    9301  0.051407  0.492765  0.017733
    9311  0.051431  0.492746  0.017728
    9321  0.051435  0.492729  0.017722
    9331  0.051419  0.492713  0.017717
    9341  0.051415  0.492698  0.017712
    9351  0.051424  0.492685  0.017706
    9361  0.051427  0.492674  0.017701
    9371  0.051415  0.492664  0.017695
    9381  0.051395  0.492654  0.017689
    9391  0.051391  0.492646  0.017683
    9401  0.051384  0.492638  0.017677
    9411  0.051382  0.492632  0.017670
    9421  0.051399  0.492629  0.017664
    9431  0.051395  0.492626  0.017658
    9441  0.051349  0.492622  0.017651
    9451  0.051325  0.492616  0.017645
    9461  0.051326  0.492613  0.017638
    9471  0.051308  0.492609  0.017632
    9481  0.051283  0.492605  0.017625
    9491  0.051284  0.492603  0.017618
    9501  0.051306  0.492603  0.017611
    9511  0.051336  0.492606  0.017604
    9521  0.051385  0.492612  0.017598
    9531  0.051458  0.492617  0.017591
    9541  0.051502  0.492625  0.017585
    9551  0.051582  0.492632  0.017579
    9561  0.051660  0.492638  0.017574
    9571  0.051737  0.492643  0.017570
    9581  0.051803  0.492650  0.017566
    9591  0.051847  0.492658  0.017561
    9601  0.051889  0.492669  0.017557
    9611  0.051940  0.492683  0.017553
    9621  0.051997  0.492698  0.017549
    9631  0.052044  0.492715  0.017546
    9641  0.052088  0.492735  0.017542
    9651  0.052137  0.492756  0.017539
    9661  0.052211  0.492777  0.017536
    9671  0.052301  0.492794  0.017533
    9681  0.052379  0.492810  0.017531
    9691  0.052480  0.492819  0.017530
    9701  0.052562  0.492826  0.017530
    9711  0.052632  0.492833  0.017530
    9721  0.052701  0.492841  0.017530
    9731  0.052783  0.492847  0.017531
    9741  0.052847  0.492854  0.017532
    9751  0.052909  0.492862  0.017533
    9761  0.053001  0.492866  0.017535
    9771  0.053096  0.492866  0.017538
    9781  0.053175  0.492864  0.017541
    9791  0.053270  0.492858  0.017545
    9801  0.053307  0.492855  0.017548
    9811  0.053342  0.492854  0.017552
    9821  0.053371  0.492855  0.017555
    9831  0.053406  0.492858  0.017559
    9841  0.053446  0.492864  0.017562
    9851  0.053471  0.492872  0.017566
    9861  0.053476  0.492881  0.017569
    9871  0.053482  0.492892  0.017572
    9881  0.053484  0.492903  0.017574
    9891  0.053513  0.492917  0.017577
    9901  0.053548  0.492933  0.017580
    9911  0.053548  0.492950  0.017582
    9921  0.053540  0.492967  0.017584
    9931  0.053530  0.492984  0.017587
    9941  0.053488  0.493000  0.017589
    9951  0.053410  0.493012  0.017591
    9961  0.053335  0.493020  0.017594
    9971  0.053280  0.493026  0.017597
    9981  0.053221  0.493029  0.017600
    9991  0.053143  0.493028  0.017604
