#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    7.83924890E-09  1.74451871E-10  5.39402209E-10  7.85972083E-09
      2 -0.400000 -0.450000 -0.450000        1    2.70093680E-09  9.96809179E-10  1.35875055E-09  3.18353439E-09
      3 -0.350000 -0.450000 -0.450000        1    3.33587504E-10  2.38951109E-09  1.95666398E-09  3.10637696E-09
      4 -0.300000 -0.450000 -0.450000        1    2.47032444E-09  4.73367423E-09  2.73446754E-10  5.34648928E-09
      5 -0.250000 -0.450000 -0.450000        1    1.03794497E-09  1.18868751E-09  1.78807842E-10  1.58816876E-09
      6 -0.200000 -0.450000 -0.450000        1    1.04058261E-10  1.34487306E-10  9.53040256E-11  1.94930281E-10
      7 -0.150000 -0.450000 -0.450000        1    1.29155589E-10  2.34676667E-11  4.44903331E-09  4.45096948E-09
      8 -0.100000 -0.450000 -0.450000        1    1.02583225E-09  7.89608938E-10  8.46634807E-09  8.56474540E-09
      9 -0.050000 -0.450000 -0.450000        1    1.93923260E-09  2.33647959E-09  7.18992287E-09  7.80479025E-09
     10  0.000000 -0.450000 -0.450000        1    3.16007411E-09  2.83154098E-09  3.07991588E-09  5.24305012E-09
     11  0.050000 -0.450000 -0.450000        1    7.19589245E-10  1.33673629E-09  6.11310690E-10  1.63657366E-09
     12  0.100000 -0.450000 -0.450000        1    8.43970593E-09  2.27511436E-09  1.83811155E-12  8.74098307E-09
     13  0.150000 -0.450000 -0.450000        1    7.80784150E-09  6.98216332E-10  3.09438381E-09  8.42763941E-09
     14  0.200000 -0.450000 -0.450000        1    2.61474330E-09  8.73466321E-11  2.53467091E-09  3.64267327E-09
     15  0.250000 -0.450000 -0.450000        1    1.15218727E-10  3.16565910E-09  1.66157774E-10  3.17210991E-09
     16  0.300000 -0.450000 -0.450000        1    2.54244795E-09  1.83309065E-09  2.49020708E-09  4.00317301E-09
     17  0.350000 -0.450000 -0.450000        1    9.25127857E-10  5.42933841E-10  9.73346287E-10  1.44846184E-09
     18  0.400000 -0.450000 -0.450000        1    2.01581367E-09  1.13883718E-09  1.13793577E-09  2.57979703E-09
     19  0.450000 -0.450000 -0.450000        1    7.25326680E-10  2.45898710E-09  2.89574784E-10  2.58003292E-09
     20  0.500000 -0.450000 -0.450000        1    2.91991654E-09  1.34948928E-09  1.51173253E-10  3.22023093E-09
     21 -0.450000 -0.400000 -0.450000        1    4.30808988E-09  2.49428083E-09  1.32435205E-09  5.15121186E-09
     22 -0.400000 -0.400000 -0.450000        1    8.56360142E-10  1.41807725E-09  8.75447557E-09  8.90983379E-09
     23 -0.350000 -0.400000 -0.450000        1    3.90491319E-10  3.20791239E-09  1.21828452E-09  3.45360718E-09
     24 -0.300000 -0.400000 -0.450000        1    9.77250295E-09  2.89509689E-09  6.67918155E-09  1.21858470E-08
     25 -0.250000 -0.400000 -0.450000        1    4.16116144E-09  6.52643255E-09  7.53681105E-09  1.08033841E-08
     26 -0.200000 -0.400000 -0.450000        1    2.12175043E-10  2.66479634E-10  1.01149635E-09  1.06731182E-09
     27 -0.150000 -0.400000 -0.450000        1    4.90016368E-09  3.11259717E-11  5.97437400E-11  4.90062672E-09
     28 -0.100000 -0.400000 -0.450000        1    8.18344778E-09  1.82723511E-09  1.26338840E-09  8.47960824E-09
     29 -0.050000 -0.400000 -0.450000        1    3.84786142E-09  4.99823515E-09  1.97893561E-09  6.61094383E-09
     30  0.000000 -0.400000 -0.450000        1    7.88538997E-11  3.83144243E-09  4.93231142E-10  3.86386413E-09
     31  0.050000 -0.400000 -0.450000        1    6.10010619E-09  1.59505891E-09  2.46519890E-09  6.76998626E-09
     32  0.100000 -0.400000 -0.450000        1    1.19352587E-08  5.53914271E-09  4.77198874E-09  1.39965845E-08
     33  0.150000 -0.400000 -0.450000        1    2.73819610E-10  8.46945247E-10  3.13774881E-09  3.26155807E-09
     34  0.200000 -0.400000 -0.450000        1    7.07730557E-10  2.58716695E-10  1.73323374E-09  1.88995134E-09
     35  0.250000 -0.400000 -0.450000        1    1.19082889E-09  1.21463336E-09  2.44985581E-09  2.98248238E-09
     36  0.300000 -0.400000 -0.450000        1    8.00813886E-10  1.13042737E-09  1.10910286E-09  1.77462054E-09
     37  0.350000 -0.400000 -0.450000        1    2.42591295E-09  1.42827941E-09  3.70112268E-09  4.65009083E-09
     38  0.400000 -0.400000 -0.450000        1    1.01896416E-09  1.49593402E-09  1.31901504E-09  2.23962211E-09
     39  0.450000 -0.400000 -0.450000        1    6.83831375E-10  2.93198965E-09  2.39815485E-09  3.84906941E-09
     40  0.500000 -0.400000 -0.450000        1    3.70679095E-10  2.94175043E-09  1.57800799E-09  3.35878071E-09
     41 -0.450000 -0.350000 -0.450000        1    1.91147788E-09  1.65180221E-10  2.00871478E-10  1.92908827E-09
     42 -0.400000 -0.350000 -0.450000        1    5.61266256E-10  4.38119221E-09  4.50115953E-09  6.30636997E-09
