   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.42520705E+00  5.88162924E+00  3.45935626E+01  6.66666667E-01 -4.55995242E-37  0.00000000E+00 -5.54873016E+00 -5.31073153E+00  0.00000000E+00
      11  2.56109904E+00  6.55999718E+00  4.30531539E+01  6.66514917E-01  4.78967065E-23  0.00000000E+00 -6.14154089E+00 -5.86493281E+00  0.00000000E+00
      21  2.57539306E+00  6.63295092E+00  4.40037671E+01  6.66608107E-01  1.87826671E-23  0.00000000E+00 -6.16592229E+00 -5.88554948E+00  0.00000000E+00
      31  2.57756405E+00  6.64398106E+00  4.41461928E+01  6.66638663E-01  9.00999446E-24  0.00000000E+00 -6.17136610E+00 -5.89006044E+00  0.00000000E+00
      41  2.57808650E+00  6.64661369E+00  4.41796194E+01  6.66650476E-01  5.21355725E-24  0.00000000E+00 -6.17339490E+00 -5.89174002E+00  0.00000000E+00
      51  2.57838992E+00  6.64814910E+00  4.41992842E+01  6.66656125E-01  3.39599098E-24  0.00000000E+00 -6.17436375E+00 -5.89254107E+00  0.00000000E+00
      61  2.57860780E+00  6.64925651E+00  4.42135952E+01  6.66659256E-01  2.38827816E-24  0.00000000E+00 -6.17490042E+00 -5.89298414E+00  0.00000000E+00
      71  2.57874730E+00  6.64996605E+00  4.42227771E+01  6.66661174E-01  1.77036333E-24  0.00000000E+00 -6.17522855E+00 -5.89325506E+00  0.00000000E+00
      81  2.57882525E+00  6.65036154E+00  4.42278700E+01  6.66662436E-01  1.36382781E-24  0.00000000E+00 -6.17544381E+00 -5.89343312E+00  0.00000000E+00
      91  2.57886220E+00  6.65054761E+00  4.42302290E+01  6.66663309E-01  1.08233860E-24  0.00000000E+00 -6.17559269E+00 -5.89355663E+00  0.00000000E+00
     101  2.57887409E+00  6.65060568E+00  4.42309180E+01  6.66663938E-01  8.79614303E-25  0.00000000E+00 -6.17569998E+00 -5.89364598E+00  0.00000000E+00
     111  2.57887108E+00  6.65058775E+00  4.42306174E+01  6.66664406E-01  7.28914601E-25  0.00000000E+00 -6.17577990E+00 -5.89371279E+00  0.00000000E+00
     121  2.57885914E+00  6.65052434E+00  4.42297266E+01  6.66664762E-01  6.13914480E-25  0.00000000E+00 -6.17584105E+00 -5.89376413E+00  0.00000000E+00
     131  2.57884175E+00  6.65043317E+00  4.42284771E+01  6.66665041E-01  5.24204482E-25  0.00000000E+00 -6.17588891E+00 -5.89380451E+00  0.00000000E+00
     141  2.57882098E+00  6.65032494E+00  4.42270082E+01  6.66665262E-01  4.52900974E-25  0.00000000E+00 -6.17592709E+00 -5.89383688E+00  0.00000000E+00
     151  2.57879818E+00  6.65020641E+00  4.42254080E+01  6.66665440E-01  3.95307339E-25  0.00000000E+00 -6.17595804E+00 -5.89386327E+00  0.00000000E+00
     161  2.57877422E+00  6.65008209E+00  4.42237351E+01  6.66665587E-01  3.48131342E-25  0.00000000E+00 -6.17598350E+00 -5.89388510E+00  0.00000000E+00
     171  2.57874971E+00  6.64995502E+00  4.42220289E+01  6.66665708E-01  3.09010398E-25  0.00000000E+00 -6.17600470E+00 -5.89390339E+00  0.00000000E+00
     181  2.57872504E+00  6.64982729E+00  4.42203166E+01  6.66665809E-01  2.76213939E-25  0.00000000E+00 -6.17602256E+00 -5.89391889E+00  0.00000000E+00
     191  2.57870051E+00  6.64970033E+00  4.42186167E+01  6.66665896E-01  2.48451215E-25  0.00000000E+00 -6.17603773E+00 -5.89393216E+00  0.00000000E+00
     201  2.57867631E+00  6.64957511E+00  4.42169417E+01  6.66665969E-01  2.24743908E-25  0.00000000E+00 -6.17605075E+00 -5.89394361E+00  0.00000000E+00
     211  2.57865256E+00  6.64945229E+00  4.42152999E+01  6.66666032E-01  2.04339748E-25  0.00000000E+00 -6.17606200E+00 -5.89395358E+00  0.00000000E+00
     221  2.57862935E+00  6.64933230E+00  4.42136968E+01  6.66666087E-01  1.86652725E-25  0.00000000E+00 -6.17607180E+00 -5.89396233E+00  0.00000000E+00
     231  2.57860673E+00  6.64921539E+00  4.42121358E+01  6.66666135E-01  1.71220948E-25  0.00000000E+00 -6.17608039E+00 -5.89397005E+00  0.00000000E+00
     241  2.57858473E+00  6.64910174E+00  4.42106189E+01  6.66666177E-01  1.57676436E-25  0.00000000E+00 -6.17608795E+00 -5.89397691E+00  0.00000000E+00
     251  2.57856337E+00  6.64899141E+00  4.42091467E+01  6.66666214E-01  1.45723150E-25  0.00000000E+00 -6.17609466E+00 -5.89398304E+00  0.00000000E+00
     261  2.57854266E+00  6.64888441E+00  4.42077196E+01  6.66666247E-01  1.35120779E-25  0.00000000E+00 -6.17610064E+00 -5.89398854E+00  0.00000000E+00
     271  2.57852259E+00  6.64878074E+00  4.42063371E+01  6.66666276E-01  1.25672640E-25  0.00000000E+00 -6.17610598E+00 -5.89399350E+00  0.00000000E+00
     281  2.57850314E+00  6.64868033E+00  4.42049984E+01  6.66666302E-01  1.17216517E-25  0.00000000E+00 -6.17611079E+00 -5.89399799E+00  0.00000000E+00
     291  2.57848431E+00  6.64858311E+00  4.42037025E+01  6.66666326E-01  1.09617678E-25  0.00000000E+00 -6.17611512E+00 -5.89400208E+00  0.00000000E+00
     301  2.57846608E+00  6.64848900E+00  4.42024483E+01  6.66666347E-01  1.02763480E-25  0.00000000E+00 -6.17611905E+00 -5.89400581E+00  0.00000000E+00
     311  2.57844844E+00  6.64839789E+00  4.42012343E+01  6.66666367E-01  9.65591692E-26  0.00000000E+00 -6.17612261E+00 -5.89400923E+00  0.00000000E+00
     321  2.57843135E+00  6.64830970E+00  4.42000594E+01  6.66666384E-01  9.09245828E-26  0.00000000E+00 -6.17612587E+00 -5.89401238E+00  0.00000000E+00
     331  2.57841481E+00  6.64822432E+00  4.41989219E+01  6.66666400E-01  8.57915395E-26  0.00000000E+00 -6.17612884E+00 -5.89401528E+00  0.00000000E+00
     341  2.57839879E+00  6.64814164E+00  4.41978207E+01  6.66666414E-01  8.11017549E-26  0.00000000E+00 -6.17613156E+00 -5.89401796E+00  0.00000000E+00
     351  2.57838328E+00  6.64806157E+00  4.41967543E+01  6.66666428E-01  7.68051714E-26  0.00000000E+00 -6.17613407E+00 -5.89402044E+00  0.00000000E+00
     361  2.57836825E+00  6.64798400E+00  4.41957213E+01  6.66666440E-01  7.28586033E-26  0.00000000E+00 -6.17613638E+00 -5.89402275E+00  0.00000000E+00
     371  2.57835368E+00  6.64790883E+00  4.41947204E+01  6.66666451E-01  6.92246375E-26  0.00000000E+00 -6.17613851E+00 -5.89402490E+00  0.00000000E+00
     381  2.57833957E+00  6.64783598E+00  4.41937503E+01  6.66666462E-01  6.58707346E-26  0.00000000E+00 -6.17614049E+00 -5.89402691E+00  0.00000000E+00
     391  2.57832588E+00  6.64776534E+00  4.41928099E+01  6.66666471E-01  6.27684852E-26  0.00000000E+00 -6.17614232E+00 -5.89402879E+00  0.00000000E+00
     401  2.57831260E+00  6.64769683E+00  4.41918978E+01  6.66666480E-01  5.98929982E-26  0.00000000E+00 -6.17614403E+00 -5.89403055E+00  0.00000000E+00
     411  2.57829972E+00  6.64763036E+00  4.41910130E+01  6.66666489E-01  5.72223909E-26  0.00000000E+00 -6.17614562E+00 -5.89403221E+00  0.00000000E+00
     421  2.57828722E+00  6.64756585E+00  4.41901544E+01  6.66666496E-01  5.47373634E-26  0.00000000E+00 -6.17614710E+00 -5.89403377E+00  0.00000000E+00
     431  2.57827508E+00  6.64750323E+00  4.41893208E+01  6.66666503E-01  5.24208424E-26  0.00000000E+00 -6.17614848E+00 -5.89403524E+00  0.00000000E+00
     441  2.57826329E+00  6.64744241E+00  4.41885114E+01  6.66666510E-01  5.02576789E-26  0.00000000E+00 -6.17614978E+00 -5.89403662E+00  0.00000000E+00
     451  2.57825184E+00  6.64738334E+00  4.41877251E+01  6.66666516E-01  4.82343940E-26  0.00000000E+00 -6.17615100E+00 -5.89403793E+00  0.00000000E+00
     461  2.57824071E+00  6.64732592E+00  4.41869611E+01  6.66666522E-01  4.63389646E-26  0.00000000E+00 -6.17615214E+00 -5.89403918E+00  0.00000000E+00
     471  2.57822990E+00  6.64727011E+00  4.41862184E+01  6.66666528E-01  4.45606357E-26  0.00000000E+00 -6.17615321E+00 -5.89404035E+00  0.00000000E+00
     481  2.57821938E+00  6.64721585E+00  4.41854962E+01  6.66666533E-01  4.28897658E-26  0.00000000E+00 -6.17615423E+00 -5.89404147E+00  0.00000000E+00
     491  2.57820914E+00  6.64716306E+00  4.41847938E+01  6.66666538E-01  4.13176909E-26  0.00000000E+00 -6.17615518E+00 -5.89404253E+00  0.00000000E+00
     501  2.57819919E+00  6.64711169E+00  4.41841103E+01  6.66666542E-01  3.98366063E-26  0.00000000E+00 -6.17615608E+00 -5.89404355E+00  0.00000000E+00
     511  2.57818950E+00  6.64706170E+00  4.41834451E+01  6.66666547E-01  3.84394683E-26  0.00000000E+00 -6.17615694E+00 -5.89404451E+00  0.00000000E+00
     521  2.57818006E+00  6.64701302E+00  4.41827974E+01  6.66666551E-01  3.71199052E-26  0.00000000E+00 -6.17615774E+00 -5.89404543E+00  0.00000000E+00
     531  2.57817087E+00  6.64696561E+00  4.41821667E+01  6.66666555E-01  3.58721427E-26  0.00000000E+00 -6.17615851E+00 -5.89404631E+00  0.00000000E+00
     541  2.57816192E+00  6.64691943E+00  4.41815522E+01  6.66666558E-01  3.46909379E-26  0.00000000E+00 -6.17615923E+00 -5.89404715E+00  0.00000000E+00
     551  2.57815319E+00  6.64687442E+00  4.41809534E+01  6.66666562E-01  3.35715216E-26  0.00000000E+00 -6.17615992E+00 -5.89404795E+00  0.00000000E+00
     561  2.57814469E+00  6.64683055E+00  4.41803698E+01  6.66666565E-01  3.25095469E-26  0.00000000E+00 -6.17616058E+00 -5.89404872E+00  0.00000000E+00
     571  2.57813639E+00  6.64678777E+00  4.41798006E+01  6.66666568E-01  3.15010458E-26  0.00000000E+00 -6.17616120E+00 -5.89404946E+00  0.00000000E+00
     581  2.57812830E+00  6.64674604E+00  4.41792456E+01  6.66666571E-01  3.05423901E-26  0.00000000E+00 -6.17616180E+00 -5.89405017E+00  0.00000000E+00
     591  2.57812041E+00  6.64670534E+00  4.41787041E+01  6.66666574E-01  2.96302565E-26  0.00000000E+00 -6.17616236E+00 -5.89405085E+00  0.00000000E+00
     601  2.57811271E+00  6.64666561E+00  4.41781757E+01  6.66666577E-01  2.87615978E-26  0.00000000E+00 -6.17616290E+00 -5.89405150E+00  0.00000000E+00
     611  2.57810519E+00  6.64662684E+00  4.41776599E+01  6.66666579E-01  2.79336138E-26  0.00000000E+00 -6.17616342E+00 -5.89405213E+00  0.00000000E+00
     621  2.57809785E+00  6.64658898E+00  4.41771562E+01  6.66666582E-01  2.71437284E-26  0.00000000E+00 -6.17616391E+00 -5.89405274E+00  0.00000000E+00
     631  2.57809068E+00  6.64655200E+00  4.41766644E+01  6.66666584E-01  2.63895685E-26  0.00000000E+00 -6.17616438E+00 -5.89405332E+00  0.00000000E+00
     641  2.57808368E+00  6.64651588E+00  4.41761840E+01  6.66666587E-01  2.56689453E-26  0.00000000E+00 -6.17616483E+00 -5.89405388E+00  0.00000000E+00
     651  2.57807684E+00  6.64648059E+00  4.41757145E+01  6.66666589E-01  2.49798366E-26  0.00000000E+00 -6.17616527E+00 -5.89405443E+00  0.00000000E+00
     661  2.57807015E+00  6.64644609E+00  4.41752557E+01  6.66666591E-01  2.43203717E-26  0.00000000E+00 -6.17616568E+00 -5.89405495E+00  0.00000000E+00
