#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     54  0.200000 -0.350000 -0.450000        1    1.03113740E-09  5.21533948E-09  7.87663223E-09  9.50285986E-09
     55  0.250000 -0.350000 -0.450000        1    1.29578013E-09  2.65652858E-09  1.12957418E-09  3.16419469E-09
     56  0.300000 -0.350000 -0.450000        1    4.56071319E-10  3.92036562E-10  6.44952921E-11  6.04858130E-10
     57  0.350000 -0.350000 -0.450000        1    6.49390246E-10  1.78490915E-09  4.95396293E-11  1.90001646E-09
     58  0.400000 -0.350000 -0.450000        1    4.16128133E-09  4.77468342E-10  5.32221450E-09  6.77275465E-09
     59  0.450000 -0.350000 -0.450000        1    8.21701153E-10  2.68351471E-09  6.58263209E-10  2.88266447E-09
     60  0.500000 -0.350000 -0.450000        1    7.71915986E-10  4.42210765E-09  3.52486910E-10  4.50279218E-09
     61 -0.450000 -0.300000 -0.450000        1    6.06827392E-09  7.12790067E-10  2.77632300E-11  6.11005637E-09
     62 -0.400000 -0.300000 -0.450000        1    5.37527704E-10  4.18427151E-11  5.78180207E-10  7.90556258E-10
     63 -0.350000 -0.300000 -0.450000        1    3.48462962E-10  3.64149848E-09  1.19463670E-10  3.66008322E-09
     64 -0.300000 -0.300000 -0.450000        1    9.43258283E-09  3.69665026E-09  3.05482939E-09  1.05816267E-08
     65 -0.250000 -0.300000 -0.450000        1    1.09936778E-09  7.77910957E-10  6.46803347E-11  1.34830950E-09
     66 -0.200000 -0.300000 -0.450000        1    6.32888130E-09  6.46326293E-11  6.64197790E-09  9.17468181E-09
     67 -0.150000 -0.300000 -0.450000        1    5.64716703E-10  3.77369271E-09  3.51301891E-09  5.18661388E-09
     68 -0.100000 -0.300000 -0.450000        1    5.64060536E-09  5.06282952E-09  5.34257154E-09  9.27317325E-09
     69 -0.050000 -0.300000 -0.450000        1    4.52989372E-10  2.19416711E-09  2.67874627E-09  3.49216985E-09
     70  0.000000 -0.300000 -0.450000        1    3.86026610E-09  1.65257171E-08  7.90601446E-09  1.87218067E-08
     71  0.050000 -0.300000 -0.450000        1    1.86840979E-08  3.40041125E-09  3.62291219E-10  1.89944615E-08
     72  0.100000 -0.300000 -0.450000        1    6.18302633E-10  9.18265848E-10  1.88035526E-10  1.12288364E-09
     73  0.150000 -0.300000 -0.450000        1    2.00804068E-09  1.20386791E-09  2.13183814E-09  3.16642688E-09
     74  0.200000 -0.300000 -0.450000        1    5.04091882E-09  4.25187146E-10  5.02412479E-09  7.12975993E-09
