   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    1250 -2.73769397E-01 -2.71582547E-01  0.00000000E+00 -2.18835028E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.49946841E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1300 -2.79150781E-01 -2.76117995E-01  0.00000000E+00 -3.03422247E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.43694508E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1350 -2.70542578E-01 -2.68052836E-01  0.00000000E+00 -2.48916921E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -5.72193060E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1400 -2.70465277E-01 -2.67392923E-01  0.00000000E+00 -3.07363561E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.28113330E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1450 -2.63833638E-01 -2.61700898E-01  0.00000000E+00 -2.13742755E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.68707192E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1500 -2.70901503E-01 -2.67893751E-01  0.00000000E+00 -3.00642215E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.33077151E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1550 -2.67794504E-01 -2.65602050E-01  0.00000000E+00 -2.19165363E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -7.99767684E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1600 -2.65152197E-01 -2.62964194E-01  0.00000000E+00 -2.18689439E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.10909858E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1650 -2.76333225E-01 -2.74286586E-01  0.00000000E+00 -2.04977111E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.13241600E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1700 -2.77109432E-01 -2.74377677E-01  0.00000000E+00 -2.73088736E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -8.67716086E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
