#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    9.91629452E-11  1.97112697E-09  1.84438024E-09  2.70127993E-09
      2 -0.400000 -0.450000 -0.450000        1    9.28214856E-10  1.12055111E-09  7.30959513E-11  1.45690103E-09
      3 -0.350000 -0.450000 -0.450000        1    1.65033100E-10  1.52558372E-10  3.08383152E-09  3.09201016E-09
      4 -0.300000 -0.450000 -0.450000        1    3.11428443E-09  1.61826200E-09  1.77275004E-10  3.51410954E-09
      5 -0.250000 -0.450000 -0.450000        1    1.36629087E-09  2.11890850E-09  7.92382769E-10  2.64280049E-09
      6 -0.200000 -0.450000 -0.450000        1    4.82436324E-09  5.32165524E-09  6.04854093E-09  9.39038565E-09
      7 -0.150000 -0.450000 -0.450000        1    1.05648464E-09  1.65761953E-09  1.84349312E-09  2.69487090E-09
      8 -0.100000 -0.450000 -0.450000        1    5.40673519E-09  3.02140368E-10  2.13514418E-09  5.82090328E-09
      9 -0.050000 -0.450000 -0.450000        1    2.48304054E-09  5.38092428E-09  7.17646244E-10  5.96949349E-09
     10  0.000000 -0.450000 -0.450000        1    3.37480109E-09  2.24854811E-10  2.70542075E-09  4.33118269E-09
     11  0.050000 -0.450000 -0.450000        1    5.60244280E-10  3.31130273E-09  1.81904865E-09  3.81936349E-09
     12  0.100000 -0.450000 -0.450000        1    3.78502440E-09  4.39243166E-09  6.27277734E-10  5.83209593E-09
     13  0.150000 -0.450000 -0.450000        1    5.73463921E-10  5.39669523E-09  5.82686965E-10  5.45826935E-09
     14  0.200000 -0.450000 -0.450000        1    2.62648252E-09  1.09574471E-09  2.42364980E-10  2.85618761E-09
     15  0.250000 -0.450000 -0.450000        1    3.12358946E-09  3.67441472E-09  2.08492521E-10  4.82717348E-09
     16  0.300000 -0.450000 -0.450000        1    8.26521885E-09  6.24361621E-10  1.22173838E-09  8.37832410E-09
     17  0.350000 -0.450000 -0.450000        1    9.64661958E-11  8.10367456E-10  8.91382277E-10  1.20853775E-09
     18  0.400000 -0.450000 -0.450000        1    8.41074102E-10  4.18481506E-09  2.04681097E-09  4.73386923E-09
     19  0.450000 -0.450000 -0.450000        1    3.93987514E-09  1.15135970E-09  2.72631977E-09  4.92758204E-09
     20  0.500000 -0.450000 -0.450000        1    2.31139357E-09  1.09875157E-09  5.79185044E-10  2.62397610E-09
     21 -0.450000 -0.400000 -0.450000        1    4.82384665E-10  5.54632015E-09  8.04968733E-10  5.62515216E-09
     22 -0.400000 -0.400000 -0.450000        1    4.77322249E-09  2.86454047E-09  1.51225446E-09  5.76854909E-09
     23 -0.350000 -0.400000 -0.450000        1    2.20722683E-10  3.34144721E-09  4.37945344E-10  3.37724504E-09
