   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.87772006E-02  3.52583261E-04  1.24314956E-07  6.66666667E-01 -1.32341772E-19  4.10598856E-13 -2.12416880E+00 -2.09994166E+00  0.00000000E+00
      11  5.82461500E-02  3.60785351E-03  1.60352705E-05  5.89363789E-01  3.23720063E-03  3.64631069E+02 -3.77127475E+00 -3.70210442E+00  0.00000000E+00
      21  7.29162350E-02  5.66467052E-03  3.97921031E-05  5.86642017E-01  5.23231072E-03  1.14464191E+02 -3.86733215E+00 -3.79413961E+00  0.00000000E+00
      31  7.28004059E-02  5.51130289E-03  3.49869817E-05  6.16048238E-01  3.17951122E-03  5.45423152E+01 -3.88958398E+00 -3.81270091E+00  0.00000000E+00
      41  5.80609461E-02  3.84452967E-03  2.16103695E-05  5.12634813E-01  7.12077745E-03  3.22389696E+01 -3.89315212E+00 -3.81507730E+00  0.00000000E+00
      51  6.77583271E-02  5.22070884E-03  4.01683360E-05  5.08748781E-01  9.46794481E-03  2.22387084E+01 -3.89846769E+00 -3.82064225E+00  0.00000000E+00
      61  6.31998394E-02  4.61520077E-03  3.27188370E-05  4.87970000E-01  9.33955011E-03  1.57043968E+01 -3.89824001E+00 -3.81976983E+00  0.00000000E+00
      71  6.40131507E-02  4.68960771E-03  3.27351295E-05  5.03842251E-01  8.90253583E-03  1.18677341E+01 -3.89542461E+00 -3.81700563E+00  0.00000000E+00
      81  6.95627090E-02  5.80141885E-03  6.19454925E-05  3.86492308E-01  1.44752156E-02  9.62579300E+00 -3.89656426E+00 -3.81790456E+00  0.00000000E+00
      91  7.59587079E-02  6.85764153E-03  8.13143475E-05  4.23636636E-01  1.63622512E-02  7.88887711E+00 -3.89746886E+00 -3.81820497E+00  0.00000000E+00
     101  7.46794442E-02  6.50275428E-03  7.14678646E-05  4.36628512E-01  1.39230453E-02  6.52747435E+00 -3.89989877E+00 -3.82001489E+00  0.00000000E+00
     111  8.16091828E-02  7.68850010E-03  9.16281185E-05  4.83316889E-01  1.54677501E-02  5.58721155E+00 -3.90200276E+00 -3.82211706E+00  0.00000000E+00
     121  8.60421273E-02  8.40125685E-03  1.02070834E-04  5.17950228E-01  1.50100499E-02  4.80207271E+00 -3.90324005E+00 -3.82360471E+00  0.00000000E+00
     131  9.07950164E-02  9.25246788E-03  1.18134937E-04  5.40016844E-01  1.51713344E-02  4.23197655E+00 -3.90066467E+00 -3.82167207E+00  0.00000000E+00
     141  9.18363357E-02  9.39815637E-03  1.19047409E-04  5.50723857E-01  1.45022192E-02  3.67140717E+00 -3.90048139E+00 -3.82134484E+00  0.00000000E+00
     151  9.03424475E-02  9.14534719E-03  1.14258239E-04  5.44628467E-01  1.47931761E-02  3.29231395E+00 -3.90139544E+00 -3.82239745E+00  0.00000000E+00
     161  9.28081003E-02  9.72134939E-03  1.31547342E-04  5.36010963E-01  1.66643999E-02  2.95825952E+00 -3.90228288E+00 -3.82359137E+00  0.00000000E+00
     171  9.05282034E-02  9.23626539E-03  1.20345383E-04  5.29764544E-01  1.56552746E-02  2.74389262E+00 -3.90171605E+00 -3.82367416E+00  0.00000000E+00
     181  9.21460894E-02  9.47950716E-03  1.23315558E-04  5.42569520E-01  1.48686167E-02  2.56963533E+00 -3.90172724E+00 -3.82374897E+00  0.00000000E+00
     191  8.98574406E-02  9.08650232E-03  1.15805082E-04  5.32466342E-01  1.52226179E-02  2.49143153E+00 -3.90189559E+00 -3.82403305E+00  0.00000000E+00
     201  8.59236371E-02  8.49016621E-03  1.05904805E-04  5.10264006E-01  1.66537046E-02  2.41495627E+00 -3.90285080E+00 -3.82488119E+00  0.00000000E+00
     211  8.62581845E-02  8.57163126E-03  1.07745044E-04  5.11179862E-01  1.70125902E-02  2.25956579E+00 -3.90253375E+00 -3.82481990E+00  0.00000000E+00
     221  9.08333152E-02  9.54765902E-03  1.35746920E-04  5.03619253E-01  1.95063861E-02  2.22706318E+00 -3.90066541E+00 -3.82337011E+00  0.00000000E+00
     231  9.25809466E-02  9.81542939E-03  1.39087058E-04  5.18776466E-01  1.87127235E-02  2.08378743E+00 -3.90064311E+00 -3.82341451E+00  0.00000000E+00
     241  8.80081857E-02  9.14215778E-03  1.28114135E-04  4.89050041E-01  2.10066127E-02  2.02178783E+00 -3.90058310E+00 -3.82319005E+00  0.00000000E+00
     251  8.58462294E-02  8.72868520E-03  1.19586233E-04  4.76806583E-01  2.04410048E-02  1.93920906E+00 -3.90010721E+00 -3.82261387E+00  0.00000000E+00
     261  8.37033628E-02  8.32495179E-03  1.11519954E-04  4.63625808E-01  1.98332198E-02  1.85552907E+00 -3.90035562E+00 -3.82272950E+00  0.00000000E+00
     271  8.52256217E-02  8.57574295E-03  1.15916689E-04  4.74610727E-01  1.97375280E-02  1.81411907E+00 -3.90028401E+00 -3.82269080E+00  0.00000000E+00
     281  8.53360240E-02  8.52967333E-03  1.12887654E-04  4.82797764E-01  1.87614322E-02  1.74087606E+00 -3.90081937E+00 -3.82283864E+00  0.00000000E+00
